frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_armed,transition_guard_pause_frames_remaining,transition_guard_recovery_streak,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.861832380,1624181090.961721897,16,15,0,0.012873842,0.024093260,1,0,0,0,0,-0.011161683,-0.019428282,-0.003742543,-0.000021064,-0.000036275,0.000390576,0.999999923,2351,1901,0.808592088,0.014265934,0.002960613,0.002577275,0.133322665,106.357397900,1581,0.972165282,160.403386642,323.446405435,1053.143518734,0.104361799,0.101456918,0,0,1,0,0,0.000000626,0.000001767,0.000003747,-0.098027613,-0.995163013,0.006415994,0.000000001,0.000000002,0.000000009,-0.005342407,0.007121141,-0.999960373,0.000000000,0.157286304,0.048111411,0.037092643,0.002087798,90.743321502,0,0.122948925,0.118669067,416,406,10,0.176945980,74,0,0,0,0,0,1861,74,4140,6501,1081,0,0,18359
12,1624181090.961829901,1624181091.061767101,17,16,0,0.013354429,0.027166466,1,0,0,0,0,-0.011530001,-0.020658419,-0.004444259,-0.000022024,-0.000047082,0.000372797,0.999999929,2348,1892,0.805792164,0.014285508,0.002858423,0.002415673,0.132677600,107.295018325,1584,0.973427251,165.125958862,328.941528233,1047.841278490,0.107091913,0.104246186,0,0,1,0,0,0.000000618,0.000001786,0.000003800,-0.118048787,-0.992968693,0.008812411,0.000000001,0.000000002,0.000000009,-0.005968794,0.009630430,-0.999935812,0.000000000,0.155235579,0.051389478,0.038555961,0.002123356,92.122629571,0,0.121627508,0.117467160,346,337,9,0.147359455,88,0,0,0,0,0,1913,89,4225,6847,1169,0,0,20272
13,1624181091.061827421,1624181091.161813259,18,17,0,0.012797584,0.026389048,1,0,0,0,0,-0.009983125,-0.020267254,-0.005098702,-0.000012882,-0.000058948,0.000201120,0.999999978,2374,1918,0.807919124,0.013856199,0.003305490,0.002696659,0.134626182,106.326773794,1613,0.971649699,169.201752349,337.140764674,1060.928448122,0.107959476,0.104898793,0,0,1,0,0,0.000000617,0.000001737,0.000003732,-0.105947718,-0.994298003,0.012106324,0.000000001,0.000000002,0.000000009,-0.004318471,0.005855925,-0.999973529,0.000000000,0.153650241,0.056713522,0.040280528,0.002466711,93.215256050,0,0.120576121,0.116500363,298,286,12,0.125526537,84,0,0,0,0,0,1992,84,4312,7145,1253,0,0,22264
14,1624181091.161825180,1624181091.261812449,18,18,0,0.013256795,0.025034932,1,0,0,0,0,-0.008428011,-0.018573709,-0.005021456,-0.000003774,-0.000041748,0.000237598,0.999999971,2373,1922,0.809945217,0.013981965,0.002855216,0.002443032,0.129807036,111.196070238,1607,0.971319352,167.737255342,323.207036685,1069.965907412,0.107461182,0.104379126,0,0,1,0,0,0.000000609,0.000001755,0.000003738,-0.098265557,-0.995103745,0.010602654,0.000000001,0.000000002,0.000000009,0.006185185,-0.015930436,0.999853972,0.000000000,0.151947155,0.059335401,0.042581058,0.002539666,94.499599920,0,0.119639339,0.115634560,225,219,6,0.094816688,71,0,0,0,0,0,2077,71,4375,7370,1324,0,0,24341
15,1624181091.261822701,1624181091.361767054,20,19,0,0.013420033,0.025407400,1,0,0,0,0,-0.004868826,-0.018997469,-0.005062256,-0.000007402,-0.000030632,0.000118850,0.999999992,2372,1914,0.806913997,0.014272411,0.002749995,0.002395821,0.133998343,106.494684900,1610,0.972229694,168.495511308,334.440447278,1062.353849297,0.107644930,0.104655597,0,0,1,0,0,0.000000618,0.000001740,0.000003667,-0.099856853,-0.994935657,0.011473766,0.000000001,0.000000002,0.000000009,-0.005112658,0.008128327,-0.999953894,0.000000000,0.150750567,0.059569490,0.046165614,0.002777162,95.299272252,0,0.118839712,0.114902629,282,276,6,0.118887015,72,0,0,0,0,0,2018,72,4446,7652,1396,0,0,26359
16,1624181091.361820221,1624181091.461771488,21,20,0,0.013218389,0.026174667,1,0,0,0,0,-0.003323808,-0.018940957,-0.004413087,0.000003674,-0.000019299,0.000113896,0.999999993,2364,1921,0.812605753,0.013872341,0.002879323,0.002505902,0.128046859,109.695800367,1614,0.972625022,169.468604652,332.970142150,1067.378038505,0.107954384,0.104999135,0,0,1,0,0,0.000000614,0.000001707,0.000003720,-0.097751235,-0.995172446,0.008746313,0.000000001,0.000000002,0.000000009,-0.005494594,0.017112043,-0.999838481,0.000000000,0.149331585,0.061466658,0.047842424,0.002787072,96.199055259,0,0.118159379,0.114283661,235,227,8,0.099407783,73,0,0,0,0,0,2055,74,4522,7887,1469,0,0,28414
17,1624181091.461817741,1624181091.561782360,22,21,0,0.013214105,0.025940849,1,0,0,0,0,-0.003434067,-0.018256278,-0.004037669,-0.000003026,-0.000055549,0.000099970,0.999999993,2333,1935,0.829404201,0.013794644,0.002923644,0.002563113,0.127102167,112.639624713,1636,0.973878651,170.299292714,325.206378111,1097.759802437,0.106886954,0.104094922,0,0,1,0,0,0.000000601,0.000001705,0.000003761,-0.093828107,-0.995562803,0.007140846,0.000000001,0.000000002,0.000000009,-0.004815696,0.009184895,-0.999946222,0.000000000,0.148023973,0.063147384,0.048631018,0.002814923,97.166147580,0,0.117496295,0.113684323,278,275,3,0.119159880,75,0,0,0,0,0,1980,75,4567,8165,1544,0,0,30394
18,1624181091.561815262,1624181091.661733627,22,22,0,0.013099342,0.025465598,1,0,0,0,0,-0.005779903,-0.019375453,-0.003924425,0.000000358,-0.000045037,0.000300339,0.999999954,2338,1930,0.825491873,0.014077549,0.002788032,0.002499003,0.128523194,110.917706744,1625,0.974052512,167.378496029,331.661118190,1083.795717068,0.105745994,0.103002151,0,0,1,0,0,0.000000607,0.000001716,0.000003707,-0.091603473,-0.995778768,0.005783520,0.000000001,0.000000002,0.000000009,-0.005320887,0.018201869,-0.999820174,0.000000000,0.146940596,0.063138937,0.051232618,0.003215660,97.930123089,0,0.116843501,0.113090869,240,234,6,0.102651839,78,0,0,0,0,0,2020,78,4619,8405,1622,0,0,32414
19,1624181091.661813021,1624181091.761733532,24,23,0,0.013252483,0.024768406,1,0,0,0,0,-0.008103659,-0.021341222,-0.004473426,-0.000018796,-0.000039621,0.000268946,0.999999963,2330,1932,0.829184549,0.014096085,0.002753591,0.002409879,0.123579755,112.684336427,1625,0.975036545,159.179154170,326.245930997,1099.009299933,0.100464340,0.097956403,0,0,1,0,0,0.000000605,0.000001707,0.000003726,-0.086137133,-0.996234639,0.009845709,0.000000001,0.000000002,0.000000009,-0.005958553,0.010005300,-0.999932193,0.000000000,0.145711078,0.062915152,0.054325431,0.003278445,98.706660633,0,0.115981440,0.112294318,219,215,4,0.093991416,66,0,0,0,0,0,2044,67,4671,8624,1688,0,0,34458
20,1624181091.761810541,1624181091.861697197,25,24,0,0.012782362,0.025041461,1,0,0,0,1,-0.008144856,-0.021010165,-0.005012760,-0.000008428,-0.000044678,0.000105191,0.999999993,2350,1942,0.826382979,0.013443079,0.002796296,0.002424314,0.127886850,112.043491231,1635,0.972985116,163.007484448,331.000601797,1096.822577665,0.102466899,0.099698767,0,0,1,0,0,0.000000604,0.000001698,0.000003695,-0.085230204,-0.996310890,0.010021088,0.000000001,0.000000002,0.000000008,-0.007316832,0.019711698,-0.999778932,0.000000000,0.144819867,0.065207222,0.054959606,0.003605955,99.373502163,0,0.115305712,0.111664541,216,213,3,0.091914894,57,0,0,0,0,0,2076,58,4721,8840,1745,0,0,36534
21,1624181091.861808062,1624181091.961688757,26,25,0,0.012429259,0.024127153,1,0,0,0,1,-0.006699617,-0.026239266,-0.004943493,-0.000007239,-0.000048645,0.000230986,0.999999972,2371,1964,0.828342472,0.013225535,0.002671625,0.002259360,0.124541212,112.755543481,1661,0.974216221,169.987914752,331.507728850,1116.677500027,0.105049274,0.102340707,0,0,1,0,0,0.000000598,0.000001709,0.000003650,-0.087396661,-0.996155551,0.005995097,0.000000001,0.000000002,0.000000008,-0.005649317,0.028440678,-0.999579518,0.000000000,0.142440611,0.068939749,0.052870571,0.003778018,101.659826729,0,0.112976107,0.109567340,244,235,9,0.102910164,66,0,0,0,0,0,2061,66,4788,9084,1811,0,0,38595
22,1624181091.961805582,1624181092.061677694,27,26,0,0.014170372,0.026307695,1,0,0,0,1,-0.007329568,-0.025922097,-0.004778729,0.000015005,-0.000030897,0.000161998,0.999999986,2350,1953,0.831063830,0.013892531,0.002716052,0.002373579,0.119235288,111.897332306,1640,0.973901527,156.443409130,334.865522647,1105.889573055,0.097948632,0.095392323,0,0,1,0,0,0.000000598,0.000001696,0.000003693,-0.082517132,-0.996565820,0.006891295,0.000000001,0.000000002,0.000000008,-0.004105723,0.020757169,-0.999776116,0.000000000,0.139013881,0.066139025,0.050825252,0.003709238,103.591242582,0,0.110809077,0.107547918,208,202,6,0.088510638,70,0,0,0,0,0,2071,71,4850,9292,1881,0,0,40666
23,1624181092.061803102,1624181092.161735296,28,27,0,0.012538492,0.024325983,1,0,0,0,1,-0.006872960,-0.023019097,-0.004451748,-0.000010800,-0.000052668,-0.000008428,0.999999999,2346,1957,0.834185848,0.013655085,0.002548530,0.002179396,0.119406468,114.332885198,1664,0.975328727,163.255778764,329.780094460,1129.911128081,0.100592181,0.098110444,0,0,1,0,0,0.000000595,0.000001721,0.000003714,-0.086899235,-0.996177293,0.008906380,0.000000001,0.000000002,0.000000009,-0.004416854,0.020455209,-0.999781014,0.000000000,0.136866658,0.065213281,0.047884537,0.003948708,105.009167838,0,0.109331247,0.106190268,254,253,1,0.108269395,68,0,0,0,0,0,2024,68,4891,9546,1949,0,0,42690
24,1624181092.161800861,1624181092.261734962,29,28,0,0.013360211,0.025365569,1,0,0,0,1,-0.007474994,-0.025324911,-0.004377675,0.000009661,-0.000032822,0.000127796,0.999999991,2359,1979,0.838914794,0.012931680,0.002543429,0.002226178,0.114505377,119.105438416,1658,0.974414739,157.702533125,332.649881763,1125.227223099,0.097613593,0.095116124,0,0,1,0,0,0.000000579,0.000001714,0.000003801,-0.088888099,-0.995977696,0.011284316,0.000000001,0.000000002,0.000000009,-0.009400927,0.014233645,-0.999854502,0.000000000,0.133943612,0.062922518,0.048289626,0.003849078,106.564552465,0,0.107879581,0.104848464,195,188,7,0.082662145,72,0,0,0,0,0,2092,72,4938,9741,2021,0,0,44782
25,1624181092.261798382,1624181092.361763716,30,29,0,0.013096681,0.024463966,1,0,0,0,1,-0.007565855,-0.022301336,-0.004584128,0.000020129,-0.000017058,0.000127347,0.999999992,2372,1992,0.839797639,0.013120114,0.002548388,0.002197663,0.113693968,118.608672714,1688,0.975686898,157.760124579,336.393271494,1152.806087218,0.095788710,0.093459789,0,0,1,0,0,0.000000581,0.000001716,0.000003802,-0.085015092,-0.996324626,0.010472506,0.000000001,0.000000002,0.000000009,-0.007902285,0.018616337,-0.999795472,0.000000000,0.131413094,0.055193378,0.049772904,0.003651653,108.050408200,0,0.106354409,0.103421450,178,173,5,0.075042159,65,0,0,0,0,0,2128,66,4984,9919,2086,0,0,46910
26,1624181092.361795902,1624181092.461874962,31,30,0,0.013016369,0.024501333,1,0,0,0,1,-0.008639129,-0.020424227,-0.004599797,-0.000004586,-0.000028264,0.000124654,0.999999992,2377,1993,0.838451830,0.012884005,0.002320206,0.002017455,0.121255393,112.903420723,1677,0.975905631,161.058667154,334.397600322,1141.137476345,0.098410902,0.096039754,0,0,1,0,0,0.000000582,0.000001682,0.000003640,-0.078910710,-0.996853911,0.007441775,0.000000001,0.000000002,0.000000008,-0.005823044,0.016807264,-0.999841792,0.000000000,0.129664185,0.048464595,0.046653612,0.003656831,109.070859126,0,0.105307504,0.102445342,179,173,6,0.075305006,58,0,0,0,0,0,2139,59,5041,10098,2144,0,0,49049
27,1624181092.461793423,1624181092.561836243,32,31,0,0.013240801,0.025563863,1,0,0,0,1,-0.007858382,-0.020383197,-0.004738068,-0.000014420,-0.000047911,0.000138005,0.999999989,2347,1974,0.841073711,0.013085382,0.002336751,0.002031017,0.117617706,116.193926026,1678,0.975997552,154.964253915,333.339134246,1149.420503981,0.094621721,0.092350568,0,0,1,0,0,0.000000586,0.000001679,0.000003643,-0.069814208,-0.997513292,0.009654466,0.000000001,0.000000002,0.000000008,-0.005421488,0.015317055,-0.999867989,0.000000000,0.127891311,0.041620672,0.045063831,0.003651769,110.082270310,0,0.104139860,0.101347984,158,155,3,0.067319983,59,0,0,0,0,0,2129,60,5091,10256,2203,0,0,51178
28,1624181092.561790943,1624181092.661748648,33,32,0,0.012768117,0.026309971,1,0,0,0,1,-0.009489127,-0.020759603,-0.004968657,-0.000008203,-0.000035728,0.000142712,0.999999989,2387,2008,0.841223293,0.013250086,0.002383139,0.002035345,0.118614966,114.173962308,1699,0.974245456,163.400145736,333.476266812,1158.366616948,0.098716710,0.096174306,0,0,1,0,0,0.000000580,0.000001650,0.000003638,-0.067785636,-0.997662803,0.008604584,0.000000001,0.000000002,0.000000008,-0.008490175,0.020400441,-0.999755840,0.000000000,0.126332507,0.040422652,0.041707164,0.003339234,110.858161692,0,0.103305421,0.100564473,181,176,5,0.075827398,48,0,0,0,0,0,2157,49,5146,10437,2251,0,0,53335
29,1624181092.661788702,1624181092.761736155,33,33,0,0.012817407,0.025220177,1,0,0,0,1,-0.011399964,-0.023801757,-0.004490056,0.000007039,-0.000026086,0.000151655,0.999999988,2332,1965,0.842624357,0.012366357,0.002317360,0.002055056,0.116322802,115.103820917,1683,0.975916952,158.474436235,338.299024377,1145.694769536,0.096485541,0.094161875,0,0,1,0,0,0.000000582,0.000001684,0.000003684,-0.071632033,-0.997387029,0.009379081,0.000000001,0.000000002,0.000000008,-0.005759574,0.022069368,-0.999739851,0.000000000,0.125048849,0.041788409,0.043410940,0.003051662,111.630211528,0,0.102587365,0.099898516,156,154,2,0.066895369,51,0,0,0,0,0,2125,51,5185,10593,2302,0,0,55460
30,1624181092.861783743,1624181092.961729527,35,34,0,0.013442316,0.026313403,1,0,0,0,1,-0.014099909,-0.022863025,-0.004742276,0.000016433,-0.000013557,0.000162045,0.999999987,2340,1957,0.836324786,0.012185652,0.002394390,0.002018955,0.113429833,121.445971329,1682,0.975481060,156.901332442,333.498296971,1150.359514005,0.095627279,0.093282600,0,0,1,0,0,0.000000708,0.000002228,0.000005093,-0.093590423,-0.995584628,0.007216672,0.000000001,0.000000002,0.000000009,-0.012293609,0.023579231,-0.999646381,0.000000000,0.123909683,0.044996302,0.043529441,0.002602084,112.608593903,0,0.101944621,0.099290824,174,167,7,0.074358974,47,0,0,0,0,0,2119,47,5227,10767,2349,0,0,57579
31,1624181092.961781263,1624181093.061702490,36,35,0,0.012006808,0.027462525,1,0,0,0,1,-0.009035997,-0.021596955,-0.005057998,-0.000012137,-0.000048825,0.000049140,0.999999998,2384,2000,0.838926174,0.012895468,0.002449088,0.002073201,0.118739054,115.952218864,1695,0.974754673,164.487063318,330.048581569,1157.673525160,0.099555835,0.097042515,0,0,1,0,0,0.000000585,0.000001798,0.000004049,-0.089727347,-0.995951598,0.005423767,0.000000001,0.000000002,0.000000009,-0.005660604,0.024048836,-0.999694759,0.000000000,0.123180503,0.044484428,0.047295446,0.002792334,113.088334951,0,0.101704323,0.099070104,183,181,2,0.076761745,61,0,0,0,0,0,2140,61,5280,10950,2410,0,0,59719
32,1624181093.061778784,1624181093.161693096,37,36,0,0.012517064,0.025601993,1,0,0,0,1,-0.009485743,-0.022337119,-0.004988572,-0.000021194,-0.000059452,0.000225321,0.999999973,2364,2004,0.847715736,0.013360587,0.002531315,0.002201889,0.115348018,117.028550835,1699,0.975170960,161.794892473,331.705528803,1163.315039994,0.097654142,0.095229484,0,0,1,0,0,0.000000578,0.000001703,0.000003748,-0.080627220,-0.996715384,0.007595711,0.000000001,0.000000002,0.000000008,-0.005111187,0.016147173,-0.999856562,0.000000000,0.122314023,0.042346829,0.046439749,0.002801342,113.575011577,0,0.101232434,0.098619269,147,143,4,0.062182741,54,0,0,0,0,0,2162,55,5324,11097,2464,0,0,61881
33,1624181093.161776543,1624181093.261679649,38,37,0,0.013317997,0.024729287,1,0,0,0,1,-0.009973905,-0.025283604,-0.004887713,0.000002954,-0.000007344,0.000164663,0.999999986,2351,1982,0.843045513,0.012990452,0.002759395,0.002341756,0.112451189,118.693216543,1663,0.976075078,154.383713323,319.582038128,1149.247102650,0.095109962,0.092834464,0,0,1,0,0,0.000000584,0.000001700,0.000003819,-0.090264567,-0.995892933,0.007040927,0.000000001,0.000000002,0.000000009,-0.004586249,0.019568297,-0.999798004,0.000000000,0.121205274,0.042297509,0.047127570,0.002849704,114.193333714,0,0.100589958,0.098016053,152,151,1,0.064653339,60,0,0,0,0,0,2139,60,5366,11249,2524,0,0,64020
34,1624181093.261774063,1624181093.361694336,39,38,0,0.012396059,0.025595897,1,0,0,0,1,-0.012066283,-0.026852905,-0.004511095,-0.000005427,-0.000039289,0.000209929,0.999999977,2344,1992,0.849829352,0.012853919,0.002503836,0.002183743,0.112850760,118.842055995,1697,0.975637373,159.726206516,328.085818407,1167.844596409,0.096473027,0.094122691,0,0,1,0,0,0.000000579,0.000001704,0.000003811,-0.083570212,-0.996478288,0.006858720,0.000000001,0.000000002,0.000000008,-0.005303564,0.014063987,-0.999887032,0.000000000,0.120357460,0.041895127,0.046185474,0.002702739,114.575633002,0,0.100040551,0.097503231,150,147,3,0.063993174,52,0,0,0,0,0,2141,53,5400,11399,2576,0,0,66161
35,1624181093.361771584,1624181093.461661100,40,39,0,0.013384198,0.025848840,1,0,0,0,1,-0.010179821,-0.026005857,-0.004481907,0.000011498,-0.000032698,0.000126932,0.999999991,2353,1991,0.846153846,0.012993180,0.002276365,0.001986805,0.113819212,120.742773919,1683,0.974849194,160.477864730,328.428756956,1151.764571056,0.097812325,0.095352267,0,0,1,0,0,0.000000582,0.000001690,0.000003826,-0.091614530,-0.995778316,0.005685298,0.000000001,0.000000002,0.000000009,-0.005825854,0.015307447,-0.999865862,0.000000000,0.119348503,0.038930221,0.046576774,0.002858823,115.288037453,0,0.099548920,0.097038064,126,125,1,0.053548661,69,0,0,0,0,0,2158,69,5429,11525,2645,0,0,68319
