frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.761834860,1624181090.861717939,16,15,0,0.013352977,0.024980185,1,0,0,0,0,-0.009034968,-0.021855928,-0.003519525,0.000014017,-0.000043398,0.000159591,0.999999986,2366,1931,0.816145393,0.014873951,0.003164946,0.002798253,0.138943579,103.265086583,1587,0.971737251,161.101953896,329.797632971,1051.247430154,0.104466015,0.101513519,0,0,0,1.000000000,0.000000619,0.000001715,0.000003654,-0.093076217,-0.995636354,0.006713359,0.000000001,0.000000002,0.000000008,-0.005266841,0.015423489,-0.999867179,0.000000000,0.157280127,0.044463611,0.034997489,0.001896002,91.273670771,0,0.122391009,0.118129845,329,322,7,0.139053254,86,0,0,0,0,0,1950,87,4100,6448,1100,0,0,18404
12,1624181090.861832380,1624181090.961721897,17,16,0,0.012873842,0.024093260,1,0,0,0,0,-0.010236861,-0.020333599,-0.004049562,-0.000018557,0.000015060,0.000304466,0.999999953,2352,1913,0.813350340,0.014665515,0.003016650,0.002661705,0.135317679,105.725369427,1590,0.972334090,161.071685578,324.127582429,1060.811934775,0.104185329,0.101302947,0,0,0,1.000000000,0.000000624,0.000001728,0.000003683,-0.101667624,-0.994797510,0.006450513,0.000000001,0.000000002,0.000000009,-0.003712433,-0.000342286,-0.999993050,0.000000000,0.155449923,0.045812203,0.037008203,0.002185753,92.477978992,0,0.120873869,0.116727603,373,363,10,0.158588435,73,0,0,0,0,0,1906,73,4181,6821,1173,0,0,20310
13,1624181090.961829901,1624181091.061767101,18,17,0,0.013354429,0.027166466,1,0,0,0,0,-0.010297281,-0.021411666,-0.004963202,-0.000020595,-0.000030105,0.000357861,0.999999935,2348,1900,0.809199319,0.014795805,0.003411903,0.002817422,0.138325146,104.347352971,1594,0.973221860,159.465820875,331.630021963,1060.219802746,0.102793923,0.100041293,0,0,0,1.000000000,0.000000621,0.000001734,0.000003676,-0.119074128,-0.992874491,0.004647358,0.000000001,0.000000002,0.000000008,-0.005835939,0.015812771,-0.999857939,0.000000000,0.154132632,0.045848293,0.038422635,0.002292544,93.391007760,0,0.119483104,0.115444041,349,341,8,0.148637138,87,0,0,0,0,0,1911,88,4263,7170,1260,0,0,22221
14,1624181091.061827421,1624181091.161813259,18,18,0,0.012797584,0.026389048,1,0,0,0,0,-0.009816049,-0.020562719,-0.005223069,-0.000017957,-0.000046122,0.000197129,0.999999979,2374,1931,0.813395114,0.014339577,0.003528938,0.002935781,0.135049892,105.339627216,1609,0.971900823,161.558484514,335.450050432,1066.779890023,0.103312240,0.100409251,0,0,0,1.000000000,0.000000614,0.000001702,0.000003626,-0.107358691,-0.994187701,0.008057758,0.000000001,0.000000002,0.000000009,-0.000066339,0.004474407,-0.999989988,0.000000000,0.152769579,0.048170814,0.039432499,0.002614006,94.244480578,0,0.118328042,0.114370127,290,278,12,0.122156698,87,0,0,0,0,0,1997,87,4351,7460,1347,0,0,24218
15,1624181091.261822701,1624181091.361767054,20,19,0,0.013340507,0.025407400,1,0,0,0,0,-0.004601081,-0.017466023,-0.005007273,-0.000004480,-0.000026932,0.000090944,0.999999995,2373,1910,0.804888327,0.014757830,0.003281635,0.002861320,0.135100619,104.383720117,1603,0.972601162,161.613485357,331.972841302,1065.493335792,0.103659543,0.100819392,0,0,0,1.000000000,0.000000761,0.000002184,0.000004659,-0.097259045,-0.995220697,0.008743117,0.000000001,0.000000002,0.000000009,-0.003160058,0.011376510,-0.999930292,0.000000000,0.151591649,0.047726739,0.045501435,0.002826377,94.920429881,0,0.117350142,0.113466745,276,269,7,0.116308470,78,0,0,0,0,0,2019,78,4426,7736,1425,0,0,26237
16,1624181091.361820221,1624181091.461771488,21,20,0,0.013218389,0.026174667,1,0,0,0,0,-0.002972757,-0.015696821,-0.004475237,0.000006221,-0.000006537,0.000109309,0.999999994,2364,1924,0.813874788,0.014201073,0.003096282,0.002615046,0.135648337,106.263798687,1609,0.973619980,163.859466457,333.305073696,1069.390007736,0.104598634,0.101839320,0,0,0,1.000000000,0.000000623,0.000001790,0.000003847,-0.102984785,-0.994643795,0.008823598,0.000000001,0.000000002,0.000000008,0.002597480,-0.003128260,0.999991734,0.000000000,0.150595192,0.049775284,0.047964072,0.002863107,95.629390431,0,0.116553173,0.112740031,234,227,7,0.098984772,74,0,0,0,0,0,2055,75,4502,7970,1499,0,0,28292
17,1624181091.461817741,1624181091.561782360,22,21,0,0.013214105,0.025940849,1,0,0,0,0,-0.003435202,-0.015412142,-0.004148139,0.000001064,-0.000057985,0.000117707,0.999999991,2332,1926,0.825900515,0.013969956,0.003234445,0.002821066,0.130613002,110.293458319,1626,0.975066919,164.256092132,324.665394415,1096.537323913,0.103601614,0.101018507,0,0,0,1.000000000,0.000000606,0.000001736,0.000003722,-0.100653006,-0.994873674,0.009764510,0.000000001,0.000000002,0.000000009,-0.002286811,0.013912800,-0.999900597,0.000000000,0.149419769,0.052498748,0.048598020,0.002879903,96.491982660,0,0.115791316,0.112050529,253,250,3,0.108490566,73,0,0,0,0,0,2006,73,4557,8223,1572,0,0,30298
18,1624181091.561815262,1624181091.661733627,23,22,0,0.013099342,0.025465598,1,0,0,0,0,-0.005733610,-0.017754976,-0.004093069,-0.000008186,-0.000057040,0.000288079,0.999999957,2338,1930,0.825491873,0.014286805,0.002981570,0.002638176,0.131693325,108.852062494,1625,0.975139687,167.490930257,333.244351409,1083.866710132,0.105699053,0.103071342,0,0,0,1.000000000,0.000000613,0.000001719,0.000003618,-0.096228234,-0.995303195,0.010567709,0.000000001,0.000000002,0.000000008,0.000319418,0.012521387,-0.999921553,0.000000000,0.148434966,0.052966616,0.051880486,0.003220648,97.178653762,0,0.115230635,0.111551686,250,243,7,0.106928999,81,0,0,0,0,0,2007,81,4612,8473,1653,0,0,32305
19,1624181091.661813021,1624181091.761733532,24,23,0,0.013252483,0.024768406,1,0,0,0,0,-0.006686507,-0.020853338,-0.004639858,-0.000018976,-0.000024947,0.000230072,0.999999973,2330,1917,0.822746781,0.014638588,0.002897432,0.002469586,0.126226641,110.922630641,1617,0.976073246,156.486859426,328.015333846,1093.808245040,0.099148340,0.096776042,0,0,0,1.000000000,0.000000612,0.000001697,0.000003683,-0.095875513,-0.995314519,0.012525762,0.000000001,0.000000002,0.000000008,-0.001020664,-0.005624413,0.999983662,0.000000000,0.147266107,0.052164256,0.055167861,0.003336662,97.902020966,0,0.114384198,0.110774020,224,220,4,0.096137339,56,0,0,0,0,0,2049,57,4662,8697,1709,0,0,34354
20,1624181091.761810541,1624181091.861697197,25,24,0,0.012782362,0.025041461,1,0,0,0,1,-0.006553000,-0.021523354,-0.005173579,-0.000011402,-0.000049980,0.000104430,0.999999993,2352,1944,0.826530612,0.014117377,0.003450358,0.002821743,0.133186862,107.649762971,1630,0.974500172,159.934169764,333.250414628,1095.250695783,0.100686614,0.098119123,0,0,0,1.000000000,0.000000610,0.000001682,0.000003590,-0.088352277,-0.996022148,0.011565258,0.000000001,0.000000002,0.000000008,-0.000657155,-0.012173064,0.999925690,0.000000000,0.146562145,0.052995042,0.056034812,0.003587946,98.389408066,0,0.113699319,0.110141275,231,228,3,0.098214286,59,0,0,0,0,0,2061,60,4709,8928,1768,0,0,36415
21,1624181091.861808062,1624181091.961688757,26,25,0,0.012429259,0.024127153,1,0,0,0,1,-0.005168133,-0.025691325,-0.005072468,-0.000006979,-0.000045001,0.000225687,0.999999973,2372,1955,0.824198988,0.013238709,0.002961836,0.002482196,0.126330470,109.997209616,1649,0.975412776,164.202958967,331.619532254,1112.633176985,0.102087339,0.099577295,0,0,0,1.000000000,0.000000601,0.000001696,0.000003589,-0.092110234,-0.995707669,0.009052215,0.000000001,0.000000002,0.000000008,0.001080954,-0.017822441,0.999840583,0.000000000,0.144272352,0.059177032,0.052913373,0.003750933,100.537815939,0,0.111221617,0.107905904,253,243,10,0.106661046,56,0,0,0,0,0,2063,56,4780,9181,1824,0,0,38478
22,1624181091.961805582,1624181092.061677694,27,26,0,0.014170372,0.026307695,1,0,0,0,1,-0.006893703,-0.025689715,-0.004913946,0.000017043,-0.000034265,0.000162515,0.999999986,2350,1951,0.830212766,0.014167945,0.002943560,0.002521277,0.121032272,110.614431752,1638,0.975028509,154.049540157,337.939998444,1105.107159069,0.096455988,0.094047338,0,0,0,1.000000000,0.000000603,0.000001671,0.000003661,-0.088026611,-0.996022188,0.013824509,0.000000001,0.000000002,0.000000008,-0.003637702,0.015584589,-0.999871936,0.000000000,0.140935471,0.057147551,0.051876611,0.003670522,102.405086764,0,0.108979954,0.105819232,207,201,6,0.088085106,69,0,0,0,0,0,2073,70,4838,9388,1893,0,0,40551
23,1624181092.061803102,1624181092.161735296,28,27,0,0.012538492,0.024325983,1,0,0,0,1,-0.006171028,-0.022710215,-0.004858927,-0.000007187,-0.000041059,-0.000054136,0.999999998,2346,1954,0.832907076,0.014210870,0.002843329,0.002391937,0.125166913,109.926957829,1655,0.976472746,158.915143601,329.690988199,1127.456263270,0.098334782,0.096021235,0,0,0,1.000000000,0.000000600,0.000001690,0.000003581,-0.086743095,-0.996112358,0.015355948,0.000000001,0.000000002,0.000000008,-0.000880909,-0.009692174,0.999952642,0.000000000,0.139076271,0.056224693,0.049045455,0.004002442,103.602715652,0,0.107389255,0.104357123,293,292,1,0.124893436,72,0,0,0,0,0,1981,72,4882,9681,1965,0,0,42532
24,1624181092.161800861,1624181092.261734962,29,28,0,0.013360211,0.025365569,1,0,0,0,1,-0.007525502,-0.024840111,-0.004589462,0.000016204,-0.000024921,0.000126758,0.999999992,2358,1969,0.835029686,0.013378903,0.002739340,0.002371584,0.122588681,114.293376980,1652,0.976278840,158.826984648,334.299479044,1119.686179992,0.098478261,0.096142243,0,0,0,1.000000000,0.000000591,0.000001674,0.000003644,-0.102961299,-0.994562205,0.015652207,0.000000001,0.000000002,0.000000009,-0.004468469,0.010298081,-0.999936989,0.000000000,0.136557390,0.054705005,0.049604719,0.003992153,104.917497206,0,0.105980822,0.103066624,195,187,8,0.082697201,74,0,0,0,0,0,2089,74,4932,9876,2039,0,0,44621
25,1624181092.261798382,1624181092.361763716,29,29,0,0.013096681,0.024463966,1,0,0,0,1,-0.006969250,-0.020066592,-0.004604866,0.000020598,-0.000010042,0.000101842,0.999999995,2373,1995,0.840707965,0.013773299,0.002657794,0.002267507,0.119735497,116.507622306,1678,0.977538068,156.332048812,335.176183275,1148.800645634,0.095306470,0.093165703,0,0,0,1.000000000,0.000000589,0.000001671,0.000003687,-0.103460086,-0.994534217,0.014060679,0.000000001,0.000000002,0.000000009,-0.006594569,0.010825164,-0.999919661,0.000000000,0.134328949,0.047584279,0.052861865,0.003843663,106.298300421,0,0.104431538,0.101624906,182,177,5,0.076696165,63,0,0,0,0,0,2127,64,4982,10058,2102,0,0,46748
26,1624181092.361795902,1624181092.461874962,31,30,0,0.013016369,0.024501333,1,0,0,0,1,-0.007280951,-0.018464447,-0.004499354,0.000007461,-0.000026168,0.000075847,0.999999997,2378,1988,0.835996636,0.013649966,0.002762710,0.002395528,0.122132669,112.302830806,1658,0.977042852,155.483322205,339.138090682,1125.315634942,0.095981089,0.093777637,0,0,0,1.000000000,0.000000586,0.000001646,0.000003589,-0.085575782,-0.996243606,0.013246236,0.000000001,0.000000002,0.000000008,-0.003094360,0.010166194,-0.999943535,0.000000000,0.132623903,0.041381260,0.052972977,0.003712729,107.288721852,0,0.103263143,0.100535692,195,189,6,0.082001682,50,0,0,0,0,0,2132,51,5038,10253,2152,0,0,48880
27,1624181092.461793423,1624181092.561836243,32,31,0,0.013240801,0.025563863,1,0,0,0,1,-0.007142206,-0.020647393,-0.004844418,-0.000004874,-0.000036411,0.000177561,0.999999984,2348,1981,0.843696763,0.013327240,0.002744211,0.002380622,0.118568872,115.121452745,1662,0.978076961,151.220289867,332.908164170,1141.435454999,0.093026358,0.090986937,0,0,0,1.000000000,0.000000585,0.000001657,0.000003602,-0.074420125,-0.997083181,0.016934426,0.000000001,0.000000002,0.000000008,-0.002166709,0.007776987,-0.999967411,0.000000000,0.130980238,0.038731027,0.052810039,0.003663172,108.243741484,0,0.102030329,0.099381504,168,165,3,0.071550256,58,0,0,0,0,0,2121,59,5084,10421,2210,0,0,51001
28,1624181092.561790943,1624181092.661748648,33,32,0,0.012768117,0.026309971,1,0,0,0,1,-0.009010774,-0.020253490,-0.005211743,-0.000005981,-0.000031315,0.000168896,0.999999985,2386,2012,0.843252305,0.013391774,0.002638034,0.002196648,0.120339006,112.911457117,1678,0.975444868,160.001824111,331.823543852,1144.971120590,0.097753035,0.095352696,0,0,0,1.000000000,0.000000577,0.000001631,0.000003582,-0.074679290,-0.997064260,0.016907555,0.000000001,0.000000002,0.000000008,-0.005671654,0.011190474,-0.999921300,0.000000000,0.129797470,0.037588387,0.051087826,0.003543786,108.821428426,0,0.101398476,0.098798148,178,173,5,0.074601844,42,0,0,0,0,0,2165,43,5141,10599,2252,0,0,53166
29,1624181092.661788702,1624181092.761736155,34,33,0,0.012817407,0.025220177,1,0,0,0,1,-0.011019022,-0.023645318,-0.004613634,0.000005883,-0.000024389,0.000189856,0.999999982,2333,1981,0.849121303,0.012773717,0.002429741,0.002156884,0.119477835,114.161659270,1676,0.976986423,155.447655615,338.781840129,1143.199749683,0.094933968,0.092749198,0,0,0,1.000000000,0.000000581,0.000001655,0.000003614,-0.090363614,-0.995740960,0.018285433,0.000000001,0.000000002,0.000000008,-0.005762428,0.008493850,-0.999947323,0.000000000,0.128740576,0.043331714,0.050273184,0.003439926,109.256692986,0,0.100665956,0.098116995,159,156,3,0.068152593,49,0,0,0,0,0,2125,49,5180,10758,2301,0,0,55291
30,1624181092.761786222,1624181092.861739397,35,34,0,0.013719094,0.026313403,1,0,0,0,1,-0.010053630,-0.024235243,-0.004654195,0.000000732,-0.000018805,0.000168410,0.999999986,2368,2003,0.845861486,0.012969625,0.002598809,0.002294531,0.123695478,112.386784004,1677,0.977789044,154.436129976,332.034220047,1153.281877578,0.094182601,0.092090716,0,0,0,1.000000000,0.000000587,0.000001653,0.000003509,-0.084295344,-0.996301641,0.016653406,0.000000001,0.000000002,0.000000008,-0.002950327,0.008754518,-0.999957326,0.000000000,0.127958639,0.044289888,0.048487628,0.003263285,109.763332592,0,0.099934560,0.097441087,148,146,2,0.062500000,50,0,0,0,0,0,2169,51,5213,10906,2351,0,0,57460
31,1624181092.861783743,1624181092.961729527,36,35,0,0.013158441,0.025077196,1,0,0,0,1,-0.011808367,-0.022855058,-0.004671952,0.000011596,-0.000019530,0.000187022,0.999999982,2338,1962,0.839178785,0.011903752,0.002342289,0.002021288,0.111974323,121.660262348,1678,0.977076135,152.295348928,333.135375720,1154.103030414,0.092889426,0.090760041,0,0,0,1.000000000,0.000000579,0.000001702,0.000003752,-0.100571196,-0.994795485,0.016351655,0.000000001,0.000000002,0.000000009,-0.005452198,0.008836172,-0.999946096,0.000000000,0.126610176,0.052927546,0.048709475,0.003010758,110.683091381,0,0.099355730,0.096903413,159,153,6,0.068006843,43,0,0,0,0,0,2136,43,5253,11065,2394,0,0,59596
32,1624181092.961781263,1624181093.061702490,37,36,0,0.012006808,0.027462525,1,0,0,0,1,-0.007493887,-0.023719025,-0.005136984,-0.000008894,-0.000049224,0.000107152,0.999999993,2383,2000,0.839278221,0.012984275,0.002494095,0.002053936,0.115659214,118.973390795,1688,0.976764552,159.195988832,332.403945163,1157.178629784,0.096553893,0.094310420,0,0,0,1.000000000,0.000000577,0.000001689,0.000003756,-0.099830133,-0.994911517,0.013602099,0.000000001,0.000000002,0.000000009,-0.007582421,0.010802045,-0.999912908,0.000000000,0.125627253,0.052924260,0.051719682,0.003063705,111.345492449,0,0.098974159,0.096553786,161,159,2,0.067561897,55,0,0,0,0,0,2167,55,5298,11226,2449,0,0,61763
33,1624181093.061778784,1624181093.161693096,38,37,0,0.012517064,0.025601993,1,0,0,0,1,-0.008748027,-0.024614293,-0.004959462,-0.000015349,-0.000057395,0.000249176,0.999999967,2364,2004,0.847715736,0.013277514,0.002586442,0.002314445,0.113715129,117.787601477,1700,0.977050265,158.306996571,332.827564527,1169.850889072,0.095309081,0.093121763,0,0,0,1.000000000,0.000000575,0.000001676,0.000003692,-0.084382878,-0.996315381,0.015335954,0.000000000,0.000000002,0.000000008,-0.003085125,0.003880641,-0.999987711,0.000000000,0.124396752,0.050629597,0.052260910,0.003026289,112.017504874,0,0.098599916,0.096207810,170,166,4,0.071912014,47,0,0,0,0,0,2146,48,5341,11396,2496,0,0,63909
34,1624181093.161776543,1624181093.261679649,38,38,0,0.013317997,0.024729287,1,0,0,0,1,-0.009047259,-0.027466296,-0.004917579,0.000011993,-0.000006948,0.000190020,0.999999982,2351,1987,0.845172267,0.013158766,0.002599827,0.002253342,0.111766062,119.001332907,1658,0.978213544,150.493438554,323.187364134,1148.197253265,0.092789614,0.090768057,0,0,0,1.000000000,0.000000579,0.000001662,0.000003789,-0.082946889,-0.996444652,0.014760353,0.000000001,0.000000002,0.000000008,-0.005455947,0.011702104,-0.999916643,0.000000000,0.123232560,0.050150100,0.049059938,0.002932231,112.700590159,0,0.098073785,0.095725750,158,157,1,0.067205444,51,0,0,0,0,0,2142,51,5379,11554,2547,0,0,66051
35,1624181093.361771584,1624181093.461661100,40,39,0,0.012902797,0.025848840,1,0,0,0,1,-0.007903148,-0.025506259,-0.004662599,0.000013909,-0.000029610,0.000116186,0.999999993,2352,1987,0.844812925,0.013021393,0.002247522,0.002002862,0.114555397,118.872032544,1677,0.976880393,153.856869732,331.993675207,1152.377873658,0.093916616,0.091745301,0,0,0,1.000000000,0.000000712,0.000002121,0.000004954,-0.083830817,-0.996406949,0.012065871,0.000000001,0.000000002,0.000000008,-0.007464657,0.012145194,-0.999898381,0.000000000,0.122205299,0.047324657,0.048881103,0.003043171,113.425005780,0,0.097586639,0.095272046,126,124,2,0.053571429,66,0,0,0,0,0,2160,66,5415,11680,2613,0,0,68211
