frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
13,1624181091.061827421,1624181091.161813259,1,0,0,0,-0.008435709,-0.019478240,-0.005295839,-0.000020123,-0.000058173,0.000154142,0.999999986,2374,1927,0.811710194,0.014313725,0.003393242,0.002790914,0.129736603,107.037646449,1429,0.993750471,126.504594442,295.855907812,997.708921452,0.089083387,0.088526658,0.000000615,0.000001696,0.000003781,-0.092979206,-0.995630090,0.008694271,0.000000001,0.000000002,0.000000009,-0.001948371,0.004360906,-0.999988593,0.000000000,0.152570429,0.048991722,0.038662339,0.002360732,94.102382328,0,293,280,13,0.123420388,88,0,0,0,0,0,1993,88,4291,7114,1267,0,0,22268
14,1624181091.161825180,1624181091.261812449,1,0,0,0,-0.007457003,-0.017207852,-0.005232037,-0.000000368,-0.000053233,0.000228009,0.999999973,2372,1923,0.810708263,0.014191610,0.003211050,0.002688684,0.129509437,109.615817869,1444,0.993876953,134.495433427,286.508561767,1014.154324988,0.093714701,0.093140882,0.000000608,0.000001739,0.000003711,-0.097735618,-0.995178484,0.008217906,0.000000001,0.000000002,0.000000009,-0.002573962,0.008850517,-0.999957521,0.000000000,0.150923216,0.051718227,0.041135515,0.002508464,95.210484867,0,240,232,8,0.101180438,74,0,0,0,0,0,2058,74,4360,7354,1341,0,0,24326
15,1624181091.261822701,1624181091.361767054,1,0,0,0,-0.004688910,-0.018742846,-0.004912948,0.000004912,-0.000032184,0.000110829,0.999999993,2371,1924,0.811471953,0.014843448,0.003160092,0.002701472,0.133132334,105.216431194,1448,0.993859064,135.998250174,295.758168123,1007.351506829,0.094501773,0.093921443,0.000000614,0.000001726,0.000003617,-0.097728667,-0.995157954,0.010476335,0.000000001,0.000000002,0.000000009,-0.000554237,0.008233019,-0.999965955,0.000000000,0.149737157,0.050681257,0.044316767,0.002742826,95.877547955,0,280,274,6,0.118093631,83,0,0,0,0,0,2008,83,4432,7634,1424,0,0,26334
16,1624181091.361820221,1624181091.461771488,1,0,0,0,-0.002792987,-0.016663509,-0.004465855,0.000004686,-0.000013334,0.000068831,0.999999998,2365,1927,0.814799154,0.013831647,0.002850735,0.002488668,0.130487674,107.940255076,1449,0.993881385,133.674839912,291.622108025,1014.837179480,0.092821104,0.092253168,0.000000611,0.000001723,0.000003651,-0.103017775,-0.994622917,0.010610909,0.000000001,0.000000002,0.000000008,0.001272737,-0.001661933,0.999997809,0.000000000,0.148534064,0.054574260,0.047165988,0.002826820,96.631467150,0,256,250,6,0.108245243,70,0,0,0,0,0,2038,71,4505,7890,1494,0,0,28372
17,1624181091.461817741,1624181091.561782360,1,0,0,0,-0.002679602,-0.017118788,-0.004366143,0.000001531,-0.000067827,0.000111711,0.999999991,2333,1933,0.828546935,0.013836235,0.002934941,0.002528112,0.126724867,111.414990242,1467,0.994210512,129.957992021,286.418232441,1042.130596925,0.089103452,0.088587588,0.000000600,0.000001725,0.000003718,-0.097574904,-0.995177545,0.010039516,0.000000001,0.000000002,0.000000009,-0.001104885,0.009179171,-0.999957260,0.000000000,0.147251170,0.057308457,0.047645653,0.002912579,97.501086156,0,270,267,3,0.115730819,76,0,0,0,0,0,1987,76,4558,8160,1570,0,0,30359
18,1624181091.561815262,1624181091.661733627,1,0,0,0,-0.005120291,-0.018141613,-0.004206800,-0.000007952,-0.000075136,0.000275097,0.999999959,2338,1934,0.827202737,0.014355863,0.003101138,0.002670406,0.130966794,108.314484238,1473,0.994436814,135.497726478,295.798422803,1033.509277609,0.092502201,0.091987594,0.000000608,0.000001703,0.000003618,-0.087661941,-0.996104609,0.009538972,0.000000001,0.000000002,0.000000008,-0.002356329,0.014603112,-0.999890592,0.000000000,0.146346483,0.057047774,0.050296789,0.003239354,98.101830494,0,256,250,6,0.109495295,82,0,0,0,0,0,2000,82,4610,8416,1652,0,0,32359
19,1624181091.661813021,1624181091.761733532,1,0,0,0,-0.007138213,-0.021446897,-0.004592637,-0.000022287,-0.000055067,0.000257638,0.999999965,2330,1922,0.824892704,0.014590661,0.003025815,0.002581955,0.126419555,109.886756024,1467,0.994949527,129.288098369,294.702353379,1035.600504335,0.088578309,0.088130946,0.000000610,0.000001686,0.000003671,-0.095260246,-0.995375797,0.012349461,0.000000001,0.000000002,0.000000008,-0.000107356,-0.005466469,0.999985053,0.000000000,0.145297697,0.056089891,0.054188547,0.003274271,98.722089732,0,236,232,4,0.101287554,67,0,0,0,0,0,2026,68,4662,8652,1719,0,0,34385
20,1624181091.761810541,1624181091.861697197,1,0,0,1,-0.006419838,-0.021900036,-0.005026050,-0.000008336,-0.000063037,0.000075434,0.999999995,2350,1947,0.828510638,0.013880668,0.002818205,0.002440866,0.132809625,107.716899686,1477,0.994575115,135.751226774,293.604531369,1039.631686103,0.092411428,0.091910106,0.000000607,0.000001675,0.000003578,-0.087270645,-0.996142730,0.009137667,0.000000001,0.000000002,0.000000008,-0.003131057,0.014920467,-0.999883781,0.000000000,0.144673293,0.057467351,0.055142090,0.003638680,99.171830230,0,233,230,3,0.099148936,59,0,0,0,0,0,2057,60,4707,8885,1778,0,0,36442
21,1624181091.861808062,1624181091.961688757,1,0,0,1,-0.005076883,-0.026039127,-0.004888772,-0.000011234,-0.000056318,0.000202733,0.999999978,2372,1953,0.823355818,0.013574647,0.003015726,0.002560959,0.127418180,108.751734602,1486,0.994714755,131.969240443,293.136228033,1053.040656980,0.089280240,0.088808372,0.000000603,0.000001690,0.000003553,-0.088831968,-0.996040591,0.003467353,0.000000001,0.000000002,0.000000008,0.000081152,-0.015986992,0.999872197,0.000000000,0.142437886,0.060905329,0.051981137,0.003813751,101.257964352,0,262,254,8,0.110455312,57,0,0,0,0,0,2053,57,4778,9147,1835,0,0,38495
22,1624181091.961805582,1624181092.061677694,1,0,0,1,-0.006471537,-0.025509400,-0.004715710,0.000011630,-0.000049201,0.000160614,0.999999986,2350,1949,0.829361702,0.014463584,0.002843643,0.002440630,0.123631850,108.310596900,1478,0.994702159,130.415585202,295.546511687,1044.207693853,0.088707839,0.088237879,0.000000604,0.000001673,0.000003594,-0.088675914,-0.996030217,0.007771035,0.000000001,0.000000002,0.000000008,-0.003349934,-0.011017042,0.999933699,0.000000000,0.139230984,0.057925387,0.050713410,0.003691234,103.010043435,0,202,196,6,0.085957447,72,0,0,0,0,0,2075,73,4842,9349,1907,0,0,40570
23,1624181092.061803102,1624181092.161735296,1,0,0,1,-0.006041881,-0.024394133,-0.004716441,-0.000008921,-0.000049600,-0.000019209,0.999999999,2346,1956,0.833759591,0.014030660,0.002854341,0.002426618,0.125733965,109.202052570,1507,0.995036320,133.518795076,289.996613054,1076.004325595,0.089041039,0.088599068,0.000000600,0.000001692,0.000003544,-0.092069872,-0.995692679,0.010919151,0.000000001,0.000000002,0.000000008,-0.002399896,-0.010173652,0.999945367,0.000000000,0.137400137,0.057275238,0.046011038,0.003949498,104.171427059,0,271,270,1,0.115515772,67,0,0,0,0,0,2008,67,4882,9620,1974,0,0,42578
24,1624181092.161800861,1624181092.261734962,1,0,0,1,-0.006805077,-0.026162735,-0.004447064,0.000017017,-0.000040800,0.000105960,0.999999993,2358,1972,0.836301951,0.013400659,0.002694402,0.002311082,0.120236777,113.973776166,1498,0.994926243,129.910738292,293.598959007,1066.889815168,0.087165043,0.086722789,0.000000586,0.000001683,0.000003632,-0.094972694,-0.995403245,0.012351846,0.000000001,0.000000002,0.000000009,0.001344579,-0.007967348,0.999967356,0.000000000,0.134763660,0.055134005,0.045976854,0.003827757,105.470228573,0,203,194,9,0.086089907,71,0,0,0,0,0,2084,71,4927,9823,2045,0,0,44662
25,1624181092.261798382,1624181092.361763716,1,0,0,1,-0.006713452,-0.024302067,-0.004489311,0.000019417,-0.000012400,0.000123366,0.999999992,2372,1983,0.836003373,0.013613465,0.002642722,0.002307268,0.119947967,115.485220805,1520,0.995413116,129.676202359,295.785651192,1087.566083324,0.085706416,0.085313291,0.000000589,0.000001692,0.000003683,-0.093277772,-0.995571076,0.011725610,0.000000001,0.000000002,0.000000009,-0.001958066,0.011123996,-0.999936209,0.000000000,0.132545843,0.048075094,0.046291558,0.003664247,106.799911713,0,190,184,6,0.080101180,62,0,0,0,0,0,2119,63,4973,10013,2107,0,0,46781
26,1624181092.361795902,1624181092.461874962,1,0,0,1,-0.007455673,-0.022694790,-0.004412116,0.000002394,-0.000037644,0.000104348,0.999999994,2378,1992,0.837678722,0.013353475,0.002540193,0.002247111,0.123459739,111.363108459,1525,0.995174477,131.456238368,298.539515595,1087.645323327,0.086618793,0.086200812,0.000000585,0.000001662,0.000003571,-0.082369571,-0.996554498,0.009715281,0.000000001,0.000000002,0.000000008,0.000465062,-0.013564460,0.999907890,0.000000000,0.130907150,0.042584318,0.046539136,0.003519358,107.743347026,0,194,189,5,0.081581161,53,0,0,0,0,0,2130,54,5032,10207,2160,0,0,48911
27,1624181092.461793423,1624181092.561836243,1,0,0,1,-0.005774900,-0.020905919,-0.005041301,-0.000006149,-0.000039912,0.000072427,0.999999997,2347,1979,0.843204090,0.013229969,0.002636080,0.002272812,0.118495703,116.493093550,1520,0.995164528,124.443838680,291.144736985,1097.061506758,0.082268755,0.081870947,0.000000584,0.000001675,0.000003616,-0.070159971,-0.997469176,0.011524829,0.000000001,0.000000002,0.000000008,-0.000986275,0.009388125,-0.999955444,0.000000000,0.129259827,0.039603934,0.046695752,0.003330215,108.766948699,0,191,188,3,0.081380486,61,0,0,0,0,0,2094,62,5085,10398,2221,0,0,51005
28,1624181092.561790943,1624181092.661748648,1,0,0,1,-0.006257449,-0.019471685,-0.005397570,-0.000014082,-0.000038713,0.000075480,0.999999996,2387,2012,0.842899036,0.013485982,0.002643664,0.002205500,0.120090175,113.606300908,1531,0.995501830,130.682270310,292.354821598,1101.076209876,0.085743147,0.085357459,0.000000578,0.000001645,0.000003611,-0.068237002,-0.997612264,0.010652849,0.000000001,0.000000002,0.000000008,-0.004146275,0.013258214,-0.999903509,0.000000000,0.128064617,0.037214644,0.044583506,0.003199603,109.379377831,0,202,198,4,0.084625052,46,0,0,0,0,0,2138,47,5143,10600,2267,0,0,53143
29,1624181092.661788702,1624181092.761736155,1,0,0,1,-0.008680287,-0.022742955,-0.004507908,-0.000000559,-0.000036888,0.000122553,0.999999992,2334,1979,0.847900600,0.012624730,0.002458222,0.002126931,0.117964050,114.929505789,1522,0.995398305,125.902491405,295.752388117,1093.341341134,0.083104162,0.082721742,0.000000579,0.000001673,0.000003654,-0.075312101,-0.997117873,0.009167036,0.000000001,0.000000002,0.000000008,-0.003664194,0.009795818,-0.999945306,0.000000000,0.126932035,0.043685176,0.044034707,0.003179106,109.853034716,0,152,150,2,0.065124250,50,0,0,0,0,0,2132,50,5182,10752,2317,0,0,55275
30,1624181092.761786222,1624181092.861739397,1,0,0,1,-0.007973056,-0.021054281,-0.004315197,0.000002259,-0.000026506,0.000079769,0.999999996,2370,2010,0.848101266,0.013011780,0.002395518,0.002098074,0.122631882,112.933912631,1537,0.995699328,127.215767434,299.613689420,1103.560410607,0.083126379,0.082768879,0.000000584,0.000001665,0.000003540,-0.068599544,-0.997615775,0.007541090,0.000000001,0.000000002,0.000000007,-0.002671746,0.012684065,-0.999915985,0.000000000,0.126176574,0.043978270,0.043988979,0.002956690,110.369532570,0,138,136,2,0.058227848,54,0,0,0,0,0,2177,55,5217,10890,2371,0,0,57452
31,1624181092.861783743,1624181092.961729527,1,0,0,1,-0.010278889,-0.020650110,-0.004267843,0.000008898,-0.000028458,0.000120113,0.999999992,2337,1964,0.840393667,0.011944729,0.002309125,0.002037847,0.109975063,122.431330124,1524,0.995838663,117.083842655,291.635414458,1108.938865837,0.077147706,0.076826668,0.000000577,0.000001727,0.000003795,-0.087654806,-0.996104031,0.009664076,0.000000001,0.000000002,0.000000009,-0.001719780,0.008061777,-0.999966024,0.000000000,0.125024453,0.051573216,0.043399963,0.002972662,111.120051241,0,150,144,6,0.064184852,42,0,0,0,0,0,2145,42,5258,11040,2413,0,0,59597
32,1624181093.061778784,1624181093.161693096,1,0,0,1,-0.008877701,-0.020659267,-0.004308341,-0.000021717,-0.000060262,0.000130694,0.999999989,2367,2005,0.847063794,0.013420852,0.002330027,0.002071723,0.112027753,119.274981615,1542,0.995503908,122.260743614,297.312434067,1115.493848201,0.079645215,0.079287123,0.000000702,0.000002149,0.000004947,-0.078808205,-0.996844844,0.009466997,0.000000001,0.000000002,0.000000008,-0.004561632,0.011796333,-0.999920016,0.000000000,0.124070000,0.049502434,0.042950525,0.002651126,111.694944745,0,139,135,4,0.058724123,52,0,0,0,0,0,2175,53,5304,11179,2465,0,0,61772
33,1624181093.161776543,1624181093.261679649,1,0,0,1,-0.008943707,-0.025176769,-0.004576296,0.000011904,-0.000010560,0.000133164,0.999999991,2350,1978,0.841702128,0.013130240,0.002575470,0.002237054,0.111798592,117.157154787,1523,0.995288733,120.373289850,291.795320961,1103.656129220,0.079411087,0.079036960,0.000000590,0.000001763,0.000004176,-0.078168098,-0.996913935,0.007235624,0.000000001,0.000000002,0.000000008,-0.000963364,0.013802491,-0.999904277,0.000000000,0.123173099,0.049385687,0.045003272,0.002508331,112.200920162,0,156,155,1,0.066382979,58,0,0,0,0,0,2136,58,5341,11335,2523,0,0,63908
34,1624181093.261774063,1624181093.361694336,1,0,0,1,-0.010028761,-0.026441738,-0.004546580,-0.000010932,-0.000044639,0.000126864,0.999999991,2343,1987,0.848058045,0.013097194,0.002329352,0.002082634,0.113051778,118.945553681,1545,0.995393516,125.085496356,295.611727696,1117.185757804,0.081336160,0.080961486,0.000000582,0.000001703,0.000003904,-0.072981911,-0.997308228,0.007066726,0.000000001,0.000000002,0.000000008,-0.003404130,0.013035300,-0.999909242,0.000000000,0.122350216,0.049398802,0.043488864,0.002286568,112.667406952,0,157,155,2,0.067008109,52,0,0,0,0,0,2133,53,5376,11492,2575,0,0,66041
35,1624181093.361771584,1624181093.461661100,1,0,0,1,-0.008242008,-0.026174211,-0.004627759,0.000015014,-0.000045223,0.000078404,0.999999996,2352,1994,0.847789116,0.013577463,0.002423593,0.002149829,0.112802134,119.857275861,1532,0.995504162,116.931709824,295.594967547,1112.585699453,0.076670881,0.076326181,0.000000587,0.000001652,0.000003823,-0.072659653,-0.997335708,0.006485407,0.000000001,0.000000002,0.000000008,-0.003116478,0.013624242,-0.999902329,0.000000000,0.121333706,0.044821086,0.042448135,0.002299496,113.399449186,0,137,136,1,0.058248299,67,0,0,0,0,0,2148,67,5409,11629,2642,0,0,68189
36,1624181093.461769104,1624181093.561662912,1,0,0,1,-0.008852812,-0.028560955,-0.004614251,0.000004047,-0.000027343,0.000250168,0.999999968,2362,1998,0.845893311,0.012288775,0.002456872,0.002104649,0.109723202,123.724019823,1556,0.995415220,118.248374547,297.867209082,1132.750498787,0.076345125,0.075995099,0.000000575,0.000001684,0.000003853,-0.073096716,-0.997314202,0.004610148,0.000000000,0.000000002,0.000000008,-0.002271162,0.006634200,-0.999975414,0.000000000,0.120295483,0.048927046,0.044432169,0.002557266,114.188637423,0,173,172,1,0.073243014,60,0,0,0,0,0,2128,61,5438,11802,2702,0,0,70317
37,1624181093.561766624,1624181093.661618948,1,0,0,1,-0.008771194,-0.026672761,-0.004422162,0.000018632,-0.000023588,0.000124145,0.999999992,2347,1971,0.839795484,0.012848747,0.002321458,0.002071936,0.111416215,120.453678563,1530,0.995358530,122.366408943,292.262512277,1108.269629673,0.080350992,0.079978045,0.000000580,0.000001703,0.000003835,-0.078426686,-0.996897923,0.006617165,0.000000001,0.000000002,0.000000008,-0.004020371,0.011065326,-0.999930695,0.000000000,0.119530050,0.049544694,0.043680727,0.002482540,114.640571839,0,137,131,6,0.058372390,58,0,0,0,0,0,2152,58,5488,11939,2760,0,0,72469
38,1624181093.661764145,1624181093.761579990,1,0,0,1,-0.007032700,-0.023880736,-0.004459722,-0.000021204,-0.000046565,0.000151825,0.999999987,2383,1997,0.838019303,0.012675147,0.002522957,0.002237432,0.112374843,122.684567954,1531,0.995389552,114.659539563,295.236248415,1114.045615582,0.075238811,0.074891927,0.000000577,0.000001671,0.000003827,-0.070208053,-0.997491719,0.009005499,0.000000000,0.000000002,0.000000008,-0.005072463,0.011229378,-0.999924083,0.000000000,0.118600452,0.048298782,0.043078221,0.002502987,115.359076025,0,140,139,1,0.058749475,54,0,0,0,0,0,2188,55,5546,12079,2814,0,0,74657
39,1624181093.761761904,1624181093.861642361,1,0,0,1,-0.005852156,-0.019946090,-0.004586484,0.000020490,0.000002436,0.000062459,0.999999998,2344,1975,0.842576792,0.013251732,0.002483404,0.002085988,0.116703918,116.004526526,1539,0.995265509,123.793147036,296.003630448,1111.916840512,0.080820034,0.080437392,0.000000585,0.000001677,0.000003760,-0.065289586,-0.997800752,0.011442436,0.000000001,0.000000002,0.000000008,-0.002086714,0.006473559,-0.999976869,0.000000000,0.118114671,0.043197891,0.046234567,0.002317312,115.664964550,0,136,132,4,0.058020478,57,0,0,0,0,0,2150,58,5580,12215,2871,0,0,76807
40,1624181093.861759424,1624181093.961691856,1,0,0,1,-0.009602137,-0.020953137,-0.004973773,-0.000013831,-0.000038938,0.000296410,0.999999955,2342,1962,0.837745517,0.012517541,0.002186538,0.001952034,0.110964189,119.431964624,1525,0.995744046,114.491643405,292.205280802,1111.812746569,0.075397375,0.075076487,0.000000585,0.000001697,0.000003848,-0.067153026,-0.997680770,0.011115424,0.000000001,0.000000002,0.000000008,-0.003503457,0.011826512,-0.999923927,0.000000000,0.117022399,0.043530050,0.045783011,0.002530618,116.250717797,0,174,174,0,0.074295474,60,0,0,0,0,0,2108,60,5622,12389,2931,0,0,78915
