frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
17,1706584507.072429895,1706584507.172256708,58,57,0,0.013152013,0.021578493,1,0,1,0,1,0,-0.060124061,0.004306061,0.011158072,0.002150424,0.000494638,0.000489584,0.999997446,1073,856,0.797763281,0.022126864,0.011924674,0.008267616,0.035301916,101.411149247,851,0.949975682,16.392339345,300.952892529,491.084073719,0.020276775,0.019262443,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003624,0.000006007,0.000024335,0.967699961,-0.251722262,0.013881230,0.000000011,0.000000028,0.000001028,0.975172074,-0.221185812,0.010782531,1.000000000,0.030949406,0.107382877,0.374267157,0.003948055,99.604738469,17,0.023173261,0.022025854,125,125,0,0.116495806,24,0,0,0,0,0,0,924,24,2485,4426,698,0,0,0,13237
18,1706584507.173066378,1706584507.271973133,59,58,0,0.012626033,0.018681840,1,0,1,0,1,0,-0.090183445,0.011560638,0.003667897,0.001787365,0.000180404,0.000729711,0.999998120,1056,828,0.784090909,0.022532045,0.011073405,0.008049435,0.030377539,100.331816691,808,0.946635548,15.864831966,288.171586454,460.845103962,0.020741555,0.019634693,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003939,0.000006473,0.000026346,0.965563904,-0.259304409,0.021155876,0.000000014,0.000000032,0.000001062,0.976679654,-0.214469569,0.009982867,1.000000000,0.030917636,0.105568998,0.406083791,0.004426827,99.645131703,18,0.023038166,0.021893012,110,110,0,0.104166667,22,0,0,0,0,0,0,924,22,2512,4536,720,0,0,0,14161
19,1706584507.272909164,1706584507.370930672,60,59,0,0.012452788,0.016651287,1,0,1,0,1,0,-0.093425369,0.014737903,0.002819825,0.002314291,0.000322111,0.000428926,0.999997178,1084,845,0.779520295,0.022980973,0.011599037,0.008121426,0.035981736,100.079231625,858,0.950493079,19.216241087,302.095740000,494.211080488,0.023563087,0.022396551,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003918,0.000006316,0.000025378,0.965924053,-0.256922015,0.031333718,0.000000012,0.000000030,0.000001092,0.977034011,-0.212488833,0.015907147,1.000000000,0.031184168,0.103284518,0.410701616,0.005027551,99.667979067,19,0.023065794,0.021919514,105,103,2,0.096863469,29,0,0,0,0,0,0,950,29,2537,4641,749,0,0,0,15111
20,1706584507.372763634,1706584507.472606421,61,60,0,0.012639496,0.022864588,1,0,1,0,1,1,-0.085270856,0.012569558,0.005402617,0.002858589,0.000374165,0.000586508,0.999995672,1064,860,0.808270677,0.022264259,0.011039659,0.007850056,0.026025735,123.430770383,830,0.949313043,18.467343763,296.126922949,473.335558775,0.023437803,0.022249812,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003752,0.000006162,0.000028624,0.969488926,-0.242648268,0.034828739,0.000000011,0.000000028,0.000001021,0.974225996,-0.225148326,0.013854254,1.000000000,0.030926246,0.101998052,0.419525936,0.005343361,100.856118633,20,0.023084394,0.021936029,103,102,1,0.096804511,38,0,0,0,0,0,0,923,38,2572,4744,787,0,0,0,16034
21,1706584507.472617388,1706584507.572454929,62,61,0,0.012524980,0.022346594,1,0,1,0,1,1,-0.089674712,0.014686457,0.008209870,0.003482354,0.000323858,0.000522035,0.999993748,1091,859,0.787351054,0.023607678,0.011847287,0.007835718,0.037297372,94.382917396,875,0.949056301,19.286790505,312.861073702,498.276398961,0.023225225,0.022042046,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003838,0.000005915,0.000025709,0.970439024,-0.239250865,0.031735207,0.000000013,0.000000025,0.000001101,0.974156634,-0.224911787,0.020821629,1.000000000,0.031664268,0.086768468,0.396591931,0.004985026,100.269155940,20,0.023028975,0.021872806,106,105,1,0.097158570,28,0,0,0,0,0,0,957,28,2603,4850,815,0,0,0,16991
22,1706584507.572466612,1706584507.672288656,63,62,0,0.010190140,0.015634277,1,0,1,0,1,1,-0.099109134,0.018040910,0.007447987,0.005146564,0.000132047,0.000724705,0.999986485,1131,887,0.784261715,0.025152169,0.013785146,0.008941872,0.032521663,104.015498488,899,0.943806828,18.263588685,323.513620638,506.705128640,0.021525007,0.020315449,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003844,0.000005746,0.000025303,0.968408036,-0.247413363,0.031185002,0.000000012,0.000000027,0.000000959,0.976173856,-0.216796617,0.009155819,1.000000000,0.032419473,0.086439320,0.281105821,0.005245073,99.726703911,20,0.023172357,0.021999619,129,123,6,0.114058355,34,0,0,0,0,0,0,968,34,2645,4979,849,0,0,0,17959
23,1706584507.673099756,1706584507.772921801,64,63,0,0.012853777,0.018519648,1,0,1,0,1,1,-0.095770226,0.015617454,0.004447361,0.004175046,-0.000005183,0.000707734,0.999991034,1123,875,0.779162956,0.025336901,0.012110437,0.008087868,0.041312579,91.532722012,879,0.937956194,22.637976456,309.356704261,492.468813556,0.027457828,0.025754239,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003735,0.000006008,0.000022339,0.963017164,-0.268828879,0.018137669,0.000000012,0.000000025,0.000001088,0.974136346,-0.225339656,0.016745698,1.000000000,0.033518612,0.085534946,0.261229130,0.005000222,98.281697686,20,0.023305606,0.022107795,138,132,6,0.122885129,27,0,0,0,0,0,0,958,27,2684,5117,876,0,0,0,18917
24,1706584507.772933006,1706584507.872766972,65,64,0,0.013453876,0.018961241,1,0,1,0,1,1,-0.095418496,0.014309739,-0.000154235,0.001308334,0.000235631,0.000445409,0.999999017,1099,874,0.795268426,0.023292689,0.011185176,0.008080753,0.036010435,102.232094158,888,0.949679679,19.606338869,319.518945716,504.190270211,0.023249113,0.022079210,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003681,0.000005653,0.000022495,0.966628834,-0.256180794,-0.000314699,0.000000011,0.000000026,0.000001042,0.976706369,-0.214469999,0.006876581,1.000000000,0.034218766,0.085444457,0.232422913,0.005184840,97.896539306,20,0.023410216,0.022204680,110,106,4,0.100090992,33,0,0,0,0,0,0,956,33,2717,5227,909,0,0,0,19873
25,1706584507.872778416,1706584507.972614050,66,65,0,0.014160190,0.022411272,1,0,1,0,1,1,-0.106000801,0.014185429,-0.002398927,0.002768479,0.000014035,0.000619817,0.999995976,1078,843,0.782003711,0.021664125,0.010869899,0.007516242,0.025983830,111.989224525,852,0.944625684,16.644546507,302.446215357,485.730320872,0.020681052,0.019535853,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003841,0.000005526,0.000026214,0.968514166,-0.248946930,0.002394986,0.000000013,0.000000020,0.000001147,0.974700689,-0.222768489,0.018241916,1.000000000,0.034082996,0.086517454,0.231720815,0.005460578,98.645418955,20,0.023237279,0.022033134,99,97,2,0.091836735,26,0,0,0,0,0,0,953,26,2738,5326,935,0,0,0,20826
26,1706584507.972625494,1706584508.072063923,67,66,0,0.013330730,0.026584567,1,0,1,0,1,1,-0.101434194,0.011748146,0.000820361,0.003175625,0.000133935,0.000693838,0.999994708,1066,821,0.770168856,0.022478992,0.011953649,0.008112229,0.037680950,94.864783932,845,0.946576608,19.740563283,303.733433359,476.383237509,0.024680108,0.023361613,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003866,0.000005941,0.000024608,0.965463518,-0.260537489,0.000642252,0.000000012,0.000000034,0.000001165,0.981037216,-0.193678667,0.007386138,1.000000000,0.034323186,0.082545980,0.172687772,0.005103256,98.903377103,20,0.023130591,0.021930518,95,94,1,0.089118199,21,0,0,0,0,0,0,950,21,2766,5421,956,0,0,0,21776
27,1706584508.072475195,1706584508.170465469,68,67,0,0.012841109,0.024518412,1,0,1,0,1,1,-0.109417603,0.012568088,-0.000296746,0.001638458,0.000278245,0.000633434,0.999998418,1068,846,0.792134831,0.023184205,0.011018699,0.007668467,0.031851979,105.757062938,857,0.947468820,18.141455681,298.958607853,494.880715065,0.022342223,0.021168560,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003516,0.000005893,0.000024933,0.965700213,-0.259615156,-0.004803054,0.000000011,0.000000024,0.000001117,0.975094088,-0.220928633,0.019546298,1.000000000,0.034689396,0.082462794,0.172739269,0.004642685,98.793161080,20,0.023192022,0.021981668,88,87,1,0.082397004,27,0,0,0,0,0,0,953,27,2787,5509,983,0,0,0,22729
28,1706584508.172723532,1706584508.272552252,69,68,0,0.017014460,0.027738206,1,0,1,0,1,1,-0.116231441,0.019925081,0.003892209,0.001568456,0.000325013,0.000223419,0.999998692,1061,816,0.769085768,0.020146456,0.010200989,0.007604593,0.035938092,100.315159961,828,0.945353921,19.886891529,295.410485707,467.455669733,0.025406342,0.024017985,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003628,0.000006312,0.000024488,0.966643069,-0.255486600,-0.018104570,0.000000011,0.000000033,0.000001156,0.978199454,-0.207032676,0.016226512,1.000000000,0.035100651,0.086418626,0.173408104,0.005384349,98.752889688,20,0.023511819,0.022280507,85,83,2,0.080113101,23,0,0,0,0,0,0,953,23,2805,5594,1006,0,0,0,23682
29,1706584508.272564650,1706584508.372388363,70,69,0,0.025966517,0.041082764,1,0,1,0,1,1,-0.120344533,0.022266154,0.004751171,0.001318000,0.000214245,-0.000066719,0.999999106,1084,854,0.787822878,0.021955825,0.010533366,0.007702880,0.043090433,93.449672659,864,0.940875115,20.088982545,304.479599203,488.347517954,0.024712246,0.023251137,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003619,0.000005951,0.000021952,0.970035500,-0.242957655,-0.001645524,0.000000011,0.000000025,0.000001074,0.975620214,-0.218672711,0.018639819,1.000000000,0.035388270,0.083786330,0.170141152,0.005940261,98.876298739,20,0.023571412,0.022325294,86,84,2,0.079335793,32,0,0,0,0,0,0,966,32,2824,5680,1038,0,0,0,24648
30,1706584508.372400761,1706584508.472219944,71,70,0,0.035262645,0.060273021,1,0,1,0,1,1,-0.105869212,0.018120342,0.005026234,0.002191880,-0.000363847,0.000057135,0.999997530,1058,827,0.781663516,0.020169229,0.010281469,0.007789653,0.028319297,111.003490317,842,0.948572223,16.656154389,301.506136889,480.535520500,0.020854138,0.019781656,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003603,0.000006453,0.000024808,0.968069545,-0.250364324,0.012611928,0.000000011,0.000000033,0.000001184,0.978907466,-0.203890857,0.012988101,1.000000000,0.035045673,0.077673560,0.174804414,0.006093985,99.694412669,20,0.023474533,0.022227067,68,67,1,0.064272212,15,0,0,0,0,0,0,975,15,2841,5748,1053,0,0,0,25623
31,1706584508.473029613,1706584508.572023630,72,71,0,0.070286910,0.112008860,1,0,1,0,1,1,-0.094175993,0.017127143,0.000284497,0.001483855,-0.001531470,-0.001392144,0.999996757,1053,818,0.776828110,0.022785953,0.011787614,0.008770101,0.034899040,98.738850498,834,0.948839512,17.211164456,295.427804656,478.693184246,0.021749608,0.020636888,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003793,0.000006396,0.000024527,0.963971299,-0.265944851,-0.005715843,0.000000012,0.000000031,0.000001188,0.978095399,-0.207779036,0.012540445,1.000000000,0.034983985,0.072993233,0.176817687,0.008900963,100.043999788,20,0.023252713,0.022015267,76,75,1,0.072174739,28,0,0,0,0,0,0,949,28,2857,5824,1081,0,0,0,26572
32,1706584508.572886467,1706584508.671166420,73,72,0,0.079300950,0.106549231,1,0,1,0,1,1,-0.063216829,0.014231698,0.000666415,0.001454584,-0.001350542,-0.004004090,0.999990014,1081,856,0.791859389,0.023037006,0.011774582,0.008276684,0.032720922,104.460081996,874,0.945168780,17.441990194,318.453334273,490.182189082,0.021114229,0.019956511,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003772,0.000005924,0.000025184,0.966833991,-0.253601312,0.030305258,0.000000012,0.000000025,0.000001150,0.976773289,-0.213971932,0.011399763,1.000000000,0.034638245,0.066962259,0.201938068,0.013774447,100.738742604,20,0.023145081,0.021905698,92,89,3,0.085106383,26,0,0,0,0,0,0,963,26,2879,5916,1107,0,0,0,27535
33,1706584508.672724485,1706584508.772552967,74,73,0,0.091269708,0.117176603,1,0,1,0,1,1,-0.010833578,0.010594527,-0.000623516,0.000470067,-0.002443090,-0.007376834,0.999969696,1116,871,0.780465950,0.022963662,0.012676874,0.008677923,0.032868558,103.010091924,887,0.947196454,17.563416292,321.562870707,501.036967342,0.020904766,0.019800920,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003881,0.000005916,0.000025157,0.969620539,-0.242780426,0.029894393,0.000000012,0.000000026,0.000001060,0.979691988,-0.200177352,0.011516774,1.000000000,0.034313240,0.065478021,0.250187445,0.020417511,101.689425627,20,0.022755962,0.021538939,100,100,0,0.089605735,26,0,0,0,0,0,0,990,26,2899,6016,1133,0,0,0,28525
