frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.861832380,1624181090.961721897,16,15,0,1,0,0,0,-0.006378853,-0.012219233,-0.004602102,-0.000006309,-0.000005895,0.000142874,0.999999990,2352,1904,0.809523810,0.014743151,0.003268950,0.002778607,0.139180325,102.266318070,1604,0.971702021,170.138045612,333.429114546,1055.042881556,0.109160111,0.106071101,0.000000632,0.000001740,0.000003612,-0.079273441,-0.996801390,0.010134585,0.000000001,0.000000002,0.000000008,-0.007257544,0.012843604,-0.999891179,0.000000000,0.154888275,0.035738145,0.037135756,0.001547560,92.635551081,0,368,358,10,0.156462585,83,0,0,0,0,0,1901,83,4134,6547,1097,0,0,18326
12,1624181090.961829901,1624181091.061767101,17,16,0,1,0,0,0,-0.007143670,-0.011633256,-0.005137624,-0.000014181,-0.000000301,0.000168118,0.999999986,2347,1904,0.811248402,0.015098631,0.003248644,0.002723342,0.143140118,102.735782212,1586,0.972829090,169.960238380,330.332495998,1042.614202765,0.110155859,0.107162824,0.000000625,0.000001730,0.000003595,-0.098964499,-0.995029172,0.011089432,0.000000001,0.000000002,0.000000008,-0.004625660,0.013010904,-0.999904655,0.000000000,0.153909262,0.034260252,0.038238071,0.001598048,93.477237008,0,344,336,8,0.146570089,85,0,0,0,0,0,1917,86,4224,6891,1182,0,0,20243
13,1624181091.061827421,1624181091.161813259,18,17,0,1,0,0,0,-0.006651894,-0.014287518,-0.004897081,-0.000007027,-0.000017577,0.000082862,0.999999996,2375,1932,0.813473684,0.014312161,0.003518167,0.002860167,0.136909547,106.425448550,1606,0.972745771,167.858325619,335.523046064,1058.848337279,0.107447915,0.104519505,0.000000617,0.000001696,0.000003626,-0.092359467,-0.995669677,0.010565180,0.000000001,0.000000002,0.000000009,-0.005330731,0.006472057,-0.999964847,0.000000000,0.152601592,0.035195256,0.040948202,0.001768561,94.473253281,0,289,277,12,0.121684211,92,0,0,0,0,0,1994,92,4316,7180,1274,0,0,22237
14,1624181091.161825180,1624181091.261812449,19,18,0,1,0,0,0,-0.005729134,-0.012973663,-0.004573670,0.000009270,0.000002246,0.000101664,0.999999995,2369,1936,0.817222457,0.014544986,0.003308261,0.002821204,0.136098588,109.051722524,1622,0.972832637,170.648346050,324.022242808,1083.263947898,0.108146658,0.105208598,0.000000610,0.000001717,0.000003598,-0.096215416,-0.995325640,0.008334488,0.000000001,0.000000002,0.000000009,-0.002490928,0.000727820,-0.999996633,0.000000000,0.151422806,0.034660748,0.042585974,0.001806165,95.514572512,0,253,247,6,0.106796117,83,0,0,0,0,0,2033,83,4384,7433,1357,0,0,24270
15,1624181091.261822701,1624181091.361767054,20,19,0,1,0,0,0,-0.003839892,-0.013906776,-0.004687563,-0.000005058,0.000006711,0.000023895,1.000000000,2373,1917,0.807838180,0.014811519,0.003174322,0.002722773,0.137238057,104.151291947,1619,0.972024720,163.384049253,337.529983966,1072.793988654,0.103821069,0.100916646,0.000000619,0.000001718,0.000003535,-0.091886706,-0.995722133,0.009709166,0.000000001,0.000000002,0.000000008,-0.003991736,0.001505618,-0.999990900,0.000000000,0.150477156,0.033543392,0.044696165,0.001961704,96.090353808,0,286,280,6,0.120522545,84,0,0,0,0,0,2003,84,4461,7719,1441,0,0,26273
16,1624181091.361820221,1624181091.461771488,21,20,0,1,0,0,0,-0.001512016,-0.013114047,-0.004864411,0.000014419,0.000002547,-0.000005562,1.000000000,2365,1923,0.813107822,0.013812569,0.003031127,0.002490898,0.133435948,107.525873288,1616,0.973320670,164.444722086,335.146088592,1073.295392100,0.104549663,0.101760348,0.000000613,0.000001703,0.000003594,-0.098852568,-0.995070245,0.007960938,0.000000001,0.000000002,0.000000008,-0.003628792,0.012940105,-0.999909689,0.000000000,0.149412080,0.037185473,0.047161667,0.002020617,96.805073775,0,266,259,7,0.112473573,74,0,0,0,0,0,2024,75,4531,7985,1515,0,0,28297
17,1624181091.461817741,1624181091.561782360,22,21,0,1,0,0,0,-0.001898780,-0.012889751,-0.004927497,0.000005721,-0.000021391,-0.000005553,1.000000000,2331,1929,0.827541828,0.014263942,0.003043404,0.002571339,0.137205162,106.092095603,1627,0.974276609,166.405227002,327.546621265,1091.196193886,0.104977720,0.102277337,0.000000609,0.000001717,0.000003517,-0.092801214,-0.995651394,0.008138525,0.000000001,0.000000002,0.000000008,-0.003397570,0.007757750,-0.999964136,0.000000000,0.148694026,0.037289448,0.047613192,0.002020634,97.351369177,0,260,257,3,0.111540112,89,0,0,0,0,0,1982,89,4571,8245,1604,0,0,30279
18,1624181091.561815262,1624181091.661733627,23,22,0,1,0,0,0,-0.003837914,-0.013136875,-0.005110668,0.000000484,-0.000017085,0.000125662,0.999999992,2338,1926,0.823781009,0.013855203,0.003118240,0.002585181,0.131953617,109.083858728,1631,0.974143089,171.551545166,334.485110394,1082.790723100,0.107973684,0.105181818,0.000000612,0.000001719,0.000003556,-0.099683191,-0.995004243,0.005460566,0.000000001,0.000000002,0.000000008,-0.005026269,0.014850257,-0.999877096,0.000000000,0.147764004,0.039238614,0.049576572,0.002283063,98.003174152,0,250,244,6,0.106928999,78,0,0,0,0,0,2010,78,4625,8495,1682,0,0,32289
19,1624181091.661813021,1624181091.761733532,24,23,0,1,0,0,0,-0.006956205,-0.016708229,-0.005244547,-0.000012470,-0.000011276,0.000161635,0.999999987,2329,1918,0.823529412,0.013998936,0.002949607,0.002415828,0.130525725,109.132853602,1622,0.974636565,162.016357398,328.125160427,1090.718990333,0.102486182,0.099886780,0.000000615,0.000001713,0.000003579,-0.101109183,-0.994852851,0.006688601,0.000000001,0.000000002,0.000000008,-0.005363259,0.014914813,-0.999874384,0.000000000,0.146856726,0.039960735,0.054319592,0.002355010,98.588946755,0,277,273,4,0.118935165,67,0,0,0,0,0,1984,68,4678,8772,1749,0,0,34273
20,1624181091.761810541,1624181091.861697197,25,24,0,1,0,0,1,-0.007706340,-0.017184693,-0.004971066,-0.000000280,-0.000022033,0.000060308,0.999999998,2349,1945,0.828011920,0.013411134,0.002851816,0.002464034,0.132883302,109.193162664,1635,0.972984476,163.451645064,334.104347060,1093.273626920,0.102746167,0.099970425,0.000000609,0.000001701,0.000003563,-0.104406345,-0.994520919,0.005239980,0.000000001,0.000000002,0.000000008,-0.004640597,0.016579094,-0.999851788,0.000000000,0.146158055,0.043646092,0.055249383,0.002557664,99.119157550,0,198,195,3,0.084291188,61,0,0,0,0,0,2089,62,4721,8970,1810,0,0,36362
21,1624181091.861808062,1624181091.961688757,26,25,0,1,0,0,1,-0.006845186,-0.019522312,-0.005097990,-0.000000685,0.000002958,0.000162852,0.999999987,2372,1957,0.825042159,0.013364722,0.002798241,0.002365212,0.125559584,111.332695280,1665,0.973416935,167.739753799,336.731258438,1116.268184997,0.103495833,0.100744597,0.000000602,0.000001711,0.000003567,-0.095907110,-0.995377629,0.005020146,0.000000001,0.000000002,0.000000008,-0.003039526,0.010851675,-0.999936499,0.000000000,0.143599276,0.045878810,0.054362529,0.002589376,101.426652629,0,281,271,10,0.118465430,67,0,0,0,0,0,2024,67,4791,9251,1877,0,0,38386
22,1624181091.961805582,1624181092.061677694,27,26,0,1,0,0,1,-0.006118728,-0.018174482,-0.005011350,0.000015862,-0.000004974,0.000087434,0.999999996,2349,1952,0.830991911,0.013947228,0.002819030,0.002430981,0.121130327,113.252790555,1638,0.973648202,158.687273766,339.290703992,1096.857777795,0.099500700,0.096878678,0.000000605,0.000001691,0.000003660,-0.095270561,-0.995436410,0.005465719,0.000000001,0.000000002,0.000000008,-0.006088846,0.016029456,-0.999852980,0.000000000,0.140838906,0.040235467,0.052298988,0.002683241,103.336634498,0,211,205,6,0.089825458,69,0,0,0,0,0,2068,70,4853,9462,1946,0,0,40454
23,1624181092.061803102,1624181092.161735296,28,27,0,1,0,0,1,-0.006612024,-0.019828244,-0.005060874,0.000001983,0.000004927,0.000025391,1.000000000,2347,1958,0.834256498,0.013260366,0.002804564,0.002404819,0.123944451,112.588522652,1657,0.975987777,164.835042757,334.599987219,1117.776716800,0.101925455,0.099477998,0.000000600,0.000001696,0.000003646,-0.097994234,-0.995172788,0.005315274,0.000000001,0.000000002,0.000000008,-0.005706766,0.014422515,-0.999879705,0.000000000,0.138399590,0.042406210,0.047419167,0.002496556,104.764492963,0,221,220,1,0.094162761,65,0,0,0,0,0,2061,65,4892,9683,2011,0,0,42515
24,1624181092.161800861,1624181092.261734962,29,28,0,1,0,0,1,-0.006554377,-0.020679027,-0.004864021,0.000016774,-0.000001200,0.000080438,0.999999997,2357,1966,0.834111158,0.013542580,0.002752541,0.002403139,0.125346592,114.471490652,1649,0.973867589,161.934161206,337.605885577,1106.367607663,0.100836534,0.098201432,0.000000593,0.000001673,0.000003655,-0.109443570,-0.993977627,0.005530173,0.000000001,0.000000002,0.000000009,-0.005465179,0.010648526,-0.999928368,0.000000000,0.137008238,0.042689788,0.043964978,0.002449080,105.842398937,0,202,195,7,0.085702164,80,0,0,0,0,0,2075,80,4935,9885,2091,0,0,44590
25,1624181092.261798382,1624181092.361763716,30,29,0,1,0,0,1,-0.005708563,-0.016366482,-0.005232552,0.000019709,0.000027103,-0.000016205,0.999999999,2372,1998,0.842327150,0.013938603,0.002822705,0.002273641,0.126468708,113.403771493,1683,0.974639116,165.093893901,339.218586081,1136.005152962,0.100647515,0.098095005,0.000000594,0.000001663,0.000003587,-0.104554695,-0.994501392,0.005941160,0.000000001,0.000000002,0.000000008,-0.008404782,0.007589368,-0.999935879,0.000000000,0.135891354,0.039542983,0.045547163,0.002416664,106.673859321,0,223,218,5,0.094013491,73,0,0,0,0,0,2075,74,4991,10108,2164,0,0,46665
26,1624181092.361795902,1624181092.461874962,31,30,0,1,0,0,1,-0.006970395,-0.015819289,-0.004715875,0.000003917,-0.000005798,0.000025045,1.000000000,2378,1974,0.830109336,0.012760786,0.002517422,0.002219219,0.129784154,109.335002174,1669,0.974884320,164.366987951,340.325408482,1122.389533580,0.101019491,0.098482318,0.000000597,0.000001642,0.000003483,-0.084044014,-0.996451232,0.004641728,0.000000001,0.000000002,0.000000007,-0.004700820,0.012763536,-0.999907493,0.000000000,0.134906119,0.041605834,0.044336361,0.002407292,107.267053891,0,188,183,5,0.079058032,54,0,0,0,0,0,2135,55,5050,10296,2218,0,0,48800
27,1624181092.461793423,1624181092.561836243,32,31,0,1,0,0,1,-0.004677354,-0.016235267,-0.004640557,-0.000009077,-0.000030579,-0.000022392,0.999999999,2348,1976,0.841567291,0.013632334,0.002570953,0.002188482,0.125151169,113.550241124,1664,0.976067701,157.275050893,336.939277425,1129.962325330,0.096833710,0.094516257,0.000000594,0.000001640,0.000003518,-0.072006210,-0.997368939,0.008384763,0.000000001,0.000000002,0.000000008,-0.004463392,0.006950126,-0.999965886,0.000000000,0.133814058,0.040373968,0.043267282,0.002373531,107.814553504,0,214,211,3,0.091141397,60,0,0,0,0,0,2073,61,5100,10510,2278,0,0,50873
28,1624181092.561790943,1624181092.661748648,33,32,0,1,0,0,1,-0.005985927,-0.015301753,-0.005168504,-0.000005127,-0.000006952,0.000023427,1.000000000,2385,2007,0.841509434,0.013689586,0.002664923,0.002340608,0.124396061,112.872959098,1689,0.973720035,165.712202559,338.870831310,1140.030105115,0.100760598,0.098112613,0.000000586,0.000001603,0.000003553,-0.067876555,-0.997652530,0.009066544,0.000000001,0.000000002,0.000000008,-0.006305530,0.003362665,-0.999974466,0.000000000,0.132431670,0.040244831,0.040715572,0.002353712,108.455246667,0,181,177,4,0.075890985,53,0,0,0,0,0,2150,54,5153,10691,2331,0,0,53023
29,1624181092.661788702,1624181092.761736155,34,33,0,1,0,0,1,-0.008055414,-0.018129377,-0.004769740,0.000011651,0.000004663,0.000072838,0.999999997,2333,1974,0.846120874,0.012451071,0.002424965,0.002125903,0.120434777,114.661485969,1660,0.976383099,156.173932078,333.800011459,1130.822000815,0.096356320,0.094080682,0.000000585,0.000001654,0.000003638,-0.077687524,-0.996910170,0.011608686,0.000000001,0.000000002,0.000000008,-0.005075956,0.007592527,-0.999958293,0.000000000,0.131116932,0.046731585,0.040011348,0.002402631,109.190830754,0,157,154,3,0.067295328,59,0,0,0,0,0,2117,59,5192,10848,2390,0,0,55140
30,1624181092.761786222,1624181092.861739397,35,34,0,1,0,0,1,-0.007681251,-0.019235886,-0.005017803,0.000009978,-0.000002805,0.000059125,0.999999998,2369,2002,0.845082313,0.012688623,0.002486494,0.002120691,0.125679599,113.288815355,1678,0.976639230,156.396963705,336.832694484,1145.570969637,0.095433795,0.093204388,0.000000590,0.000001657,0.000003535,-0.078307695,-0.996868742,0.010982570,0.000000001,0.000000002,0.000000008,-0.004692778,0.008358587,-0.999954055,0.000000000,0.130323291,0.050149026,0.039366969,0.002188750,109.720809077,0,152,151,1,0.064162094,57,0,0,0,0,0,2159,58,5225,11000,2447,0,0,57299
31,1624181092.861783743,1624181092.961729527,36,35,0,1,0,0,1,-0.009080868,-0.018798610,-0.004809557,0.000018761,0.000000376,0.000003272,1.000000000,2339,1968,0.841385207,0.011995078,0.002351168,0.002039884,0.117610573,116.820491096,1685,0.976500960,156.262204707,336.091826664,1153.050085403,0.094968891,0.092737213,0.000000584,0.000001687,0.000003621,-0.089131900,-0.995964269,0.010520454,0.000000001,0.000000002,0.000000007,-0.005681352,0.017235127,-0.999835323,0.000000000,0.129244803,0.055748221,0.039745702,0.002249966,110.448517728,0,177,171,6,0.075673365,48,0,0,0,0,0,2114,48,5266,11177,2495,0,0,59413
32,1624181092.961781263,1624181093.061702490,37,36,0,1,0,0,1,-0.006254961,-0.021847401,-0.004962597,0.000008451,-0.000017093,-0.000035554,0.999999999,2383,2002,0.840117499,0.013507976,0.002671918,0.002262030,0.127452835,112.479358185,1680,0.975982847,165.783351288,334.293917326,1139.573913757,0.101108915,0.098680566,0.000000586,0.000001670,0.000003528,-0.092999892,-0.995618062,0.009782411,0.000000001,0.000000002,0.000000008,-0.006587588,0.009713675,-0.999931122,0.000000000,0.128460439,0.050633507,0.041195415,0.002157107,110.935696527,0,230,228,2,0.096516995,60,0,0,0,0,0,2093,60,5310,11407,2555,0,0,61506
33,1624181093.061778784,1624181093.161693096,38,37,0,1,0,0,1,-0.007576960,-0.021524853,-0.004867848,-0.000004035,-0.000025542,0.000121064,0.999999992,2365,2011,0.850317125,0.013309530,0.002626811,0.002317673,0.120216864,114.356856766,1706,0.976275533,160.869312589,333.339051479,1171.317695358,0.096587689,0.094296197,0.000000580,0.000001666,0.000003530,-0.094072574,-0.995476092,0.013330441,0.000000001,0.000000002,0.000000008,-0.004557288,0.001704400,-0.999988163,0.000000000,0.127625805,0.049477086,0.040921716,0.002432739,111.332266938,0,169,165,4,0.071458774,59,0,0,0,0,0,2136,60,5350,11576,2614,0,0,63642
34,1624181093.161776543,1624181093.261679649,39,38,0,1,0,0,1,-0.008155871,-0.022094778,-0.004696159,0.000021090,0.000009967,0.000044866,0.999999999,2352,1991,0.846513605,0.013353538,0.002567336,0.002319654,0.121628881,111.647198116,1664,0.976991945,152.662068041,325.408797708,1147.643730445,0.093904593,0.091744031,0.000000586,0.000001653,0.000003553,-0.087467460,-0.996093005,0.012172452,0.000000001,0.000000002,0.000000008,-0.003511851,0.006219266,-0.999974493,0.000000000,0.126902319,0.046704881,0.039641845,0.002429596,111.462040717,0,157,156,1,0.066751701,52,0,0,0,0,0,2143,52,5385,11733,2666,0,0,65785
35,1624181093.261774063,1624181093.361694336,40,39,0,1,0,0,1,-0.008998778,-0.022086250,-0.004838367,-0.000010622,0.000000850,0.000057813,0.999999998,2344,1990,0.848976109,0.013449851,0.002552911,0.002258692,0.122778779,113.366562511,1698,0.975557149,164.294002778,335.468790587,1156.733245440,0.099181645,0.096757363,0.000000586,0.000001662,0.000003553,-0.078620456,-0.996818377,0.013112838,0.000000001,0.000000002,0.000000008,-0.003617995,0.004334005,-0.999984063,0.000000000,0.126179355,0.041049035,0.038031204,0.002396577,111.922804246,0,161,158,3,0.068686007,55,0,0,0,0,0,2127,56,5418,11894,2721,0,0,67912
36,1624181093.361771584,1624181093.461661100,41,40,0,1,0,0,1,-0.007733854,-0.022202343,-0.004372280,0.000019970,-0.000007014,0.000003374,1.000000000,2352,1990,0.846088435,0.013386277,0.002353284,0.002064584,0.121110081,114.147737239,1691,0.974824831,159.710843360,329.317312669,1159.400633841,0.096886711,0.094447571,0.000000586,0.000001662,0.000003556,-0.070144399,-0.997475221,0.011088137,0.000000001,0.000000002,0.000000008,-0.004423608,0.001898780,-0.999988413,0.000000000,0.125563062,0.040536684,0.038932730,0.002505440,112.253897443,0,143,142,1,0.060799320,63,0,0,0,0,0,2146,63,5447,12037,2784,0,0,70058
37,1624181093.461769104,1624181093.561662912,42,41,0,1,0,0,1,-0.009287766,-0.024588692,-0.004694249,0.000014540,0.000003214,0.000126938,0.999999992,2361,1988,0.842016095,0.012125499,0.002393472,0.002095282,0.114460279,119.806181690,1713,0.976351072,155.752617307,338.959536240,1177.777232028,0.093126222,0.090923886,0.000000578,0.000001681,0.000003664,-0.067774389,-0.997665391,0.008390436,0.000000000,0.000000002,0.000000008,-0.006427991,0.003073897,-0.999974616,0.000000000,0.124425818,0.042919719,0.039835177,0.002490139,112.939601747,0,192,191,1,0.081321474,51,0,0,0,0,0,2117,52,5476,12229,2835,0,0,72175
38,1624181093.561766624,1624181093.661618948,43,42,0,1,0,0,1,-0.009959128,-0.024491809,-0.004634461,0.000028840,0.000010337,0.000060313,0.999999998,2347,1969,0.838943332,0.013331171,0.002498137,0.002178666,0.117901576,115.670015106,1698,0.974946160,161.050425787,336.662868699,1157.745284999,0.097284479,0.094847129,0.000000587,0.000001673,0.000003630,-0.061700293,-0.998039088,0.010538192,0.000000001,0.000000002,0.000000007,-0.006204330,0.004801617,-0.999969225,0.000000000,0.123723216,0.041870420,0.035773104,0.002551442,113.268909566,0,155,149,6,0.066041755,61,0,0,0,0,0,2131,61,5521,12384,2896,0,0,74306
39,1624181093.661764145,1624181093.761579990,44,43,0,1,0,0,1,-0.009558335,-0.022367144,-0.004717961,0.000001484,-0.000022605,0.000139456,0.999999990,2385,2010,0.842767296,0.013037780,0.002581506,0.002244577,0.116752716,118.711175198,1709,0.973450978,152.585336009,338.736315895,1172.306070192,0.091718438,0.089283403,0.000000579,0.000001629,0.000003631,-0.076386469,-0.997017692,0.010992198,0.000000000,0.000000002,0.000000008,-0.005255199,0.005656457,-0.999970193,0.000000000,0.123034565,0.040110324,0.037007061,0.002507074,113.747825646,0,172,171,1,0.072117400,52,0,0,0,0,0,2160,53,5567,12556,2948,0,0,76466
