frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_geometry_weak_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
11,1706584506.472582340,1706584506.572411060,52,51,0,0.012967550,0.021201909,1,0,1,0,0,0,-0.144719332,0.035528621,0.008501308,-0.000375023,0.000612350,0.000282953,0.999999702,1100,838,0.761818182,0.021695741,0.011039569,0.007680575,0.034757938,90.787278586,850,0.942387131,18.012844225,300.590518594,482.425698269,0.022487129,0.021191581,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004524,0.000006511,0.000027899,0.971207101,-0.238179710,-0.005214605,0.000000017,0.000000028,0.000001141,0.975850591,-0.217770059,0.017082893,0.090909091,0.026718382,0.089922535,0.373893065,0.002802104,102.075533990,0,0.021884494,0.020777312,1.000000000,207,200,7,0.188181818,0,0,0,0,0,0,0,893,0,2419,3558,146,0,0,0,8169
12,1706584506.572422504,1706584506.672256708,53,52,0,0.011302497,0.021064260,1,0,1,0,0,0,-0.161863186,0.033655292,0.004371375,-0.000056236,0.000281728,0.000761984,0.999999668,1087,831,0.764489420,0.023847210,0.011489214,0.008162769,0.043235157,81.124984174,833,0.945891249,17.265480658,296.660357793,474.001572225,0.021912527,0.020726868,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004446,0.000006652,0.000024559,0.969436439,-0.245341086,0.000862029,0.000000016,0.000000039,0.000001115,0.980210713,-0.197758819,0.008854847,0.083333333,0.028094780,0.086068899,0.391626577,0.003760592,100.329654839,0,0.021886830,0.020773108,1.000000000,183,181,2,0.168353266,0,0,0,0,0,0,0,904,0,2480,3741,146,0,0,0,9073
13,1706584506.673066139,1706584506.772905827,54,53,0,0.010358336,0.014036904,1,0,1,0,0,0,-0.170910902,0.036833930,0.000050189,-0.001228952,0.000426087,0.000516049,0.999999021,1084,833,0.768450185,0.020381258,0.010646638,0.008072810,0.043473823,77.275845745,843,0.944688872,21.681556882,292.560036391,482.131125886,0.027225389,0.025719522,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004459,0.000006757,0.000022875,0.966501610,-0.256405022,0.011449989,0.000000018,0.000000033,0.000001145,0.977842319,-0.208787400,0.015238824,0.076923077,0.029277783,0.091852895,0.402145016,0.004253477,98.556284909,0,0.022297489,0.021153602,1.000000000,170,169,1,0.156826568,0,0,0,0,0,0,0,914,0,2528,3911,146,0,0,0,9987
14,1706584506.772917271,1706584506.872751713,55,54,0,0.014873983,0.019538328,1,0,1,0,0,0,-0.164155447,0.037065626,0.000994847,-0.001043846,0.000472140,0.000241005,0.999999315,1090,827,0.758715596,0.018480593,0.010410665,0.007639602,0.025082743,114.739252822,843,0.941569988,17.128106999,297.465856457,479.149536387,0.021578894,0.020318039,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004018,0.000006749,0.000028098,0.967446561,-0.252486937,0.017248163,0.000000012,0.000000040,0.000001103,0.980036303,-0.198446541,0.012157947,0.071428571,0.028978137,0.105708268,0.408970133,0.004803505,99.712211188,0,0.022246160,0.021093919,1.000000000,133,130,3,0.122018349,0,0,0,0,0,0,0,957,0,2561,4044,146,0,0,0,10944
15,1706584506.872763872,1706584506.972592115,56,55,0,0.011720905,0.019870687,1,0,1,0,0,0,-0.164887225,0.038864525,0.001666560,-0.000433248,0.000546112,0.000327858,0.999999703,1060,819,0.772641509,0.020394555,0.010662386,0.007598974,0.032740445,97.257077376,830,0.950000057,14.458866793,286.877897504,487.163283277,0.018337179,0.017420321,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004063,0.000006500,0.000028435,0.969357739,-0.244858430,0.019746460,0.000000015,0.000000028,0.000001170,0.974957831,-0.221495967,0.019918942,0.066666667,0.029228958,0.107111447,0.411025062,0.004977725,99.548535601,0,0.021985562,0.020849012,1.000000000,131,126,5,0.123584906,0,0,0,0,0,0,0,929,0,2594,4175,146,0,0,0,11873
16,1706584506.972604513,1706584507.072417974,57,56,0,0.013237106,0.026359576,1,0,1,0,0,0,-0.152005395,0.038264272,0.001501854,-0.000376102,0.000201984,0.000231199,0.999999882,1095,831,0.758904110,0.019967979,0.010647713,0.007803790,0.038229973,98.094864314,850,0.944041613,20.404792967,301.405665296,480.624912993,0.025428581,0.024005639,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003838,0.000006393,0.000026293,0.968737283,-0.246372172,0.029134668,0.000000011,0.000000034,0.000001082,0.978139977,-0.207520496,0.013320246,0.062500000,0.029791521,0.109224394,0.423921921,0.005170722,99.457681145,0,0.022200750,0.021046301,1.000000000,149,142,7,0.136073059,0,0,0,0,0,0,0,946,0,2636,4324,146,0,0,0,12819
17,1706584507.072429895,1706584507.172256708,58,57,0,0.013152013,0.021578493,1,0,1,0,0,0,-0.165200290,0.041176247,0.000387446,-0.001766827,0.000491296,0.000282610,0.999998279,1070,820,0.766355140,0.020065737,0.010652989,0.007486139,0.036540139,90.276894536,829,0.941155566,19.816399657,284.763056825,475.638507457,0.025398543,0.023903980,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004054,0.000006459,0.000025412,0.967549592,-0.251967828,0.018973700,0.000000015,0.000000032,0.000001127,0.976681836,-0.214295992,0.013031431,0.058823529,0.030188499,0.110309583,0.437480193,0.005271959,98.917634874,0,0.022388856,0.021214400,1.000000000,125,122,3,0.116822430,0,0,0,0,0,0,0,945,0,2679,4449,146,0,0,0,13764
18,1706584507.173066378,1706584507.271973133,59,58,0,0.012626033,0.018681840,1,0,1,0,0,0,-0.159428602,0.037920132,0.000987420,-0.000329075,0.000343608,0.000445481,0.999999788,1057,800,0.756859035,0.019216585,0.010884861,0.007626412,0.035766385,89.624994625,807,0.939435249,14.175382982,282.376157310,461.572706034,0.018697968,0.017565530,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004153,0.000006658,0.000025261,0.964384503,-0.264381461,-0.008060630,0.000000015,0.000000032,0.000001153,0.976621115,-0.214280977,0.017171528,0.055555556,0.030498381,0.113478642,0.444134112,0.005599212,98.401377082,0,0.022183807,0.021011685,1.000000000,110,109,1,0.104068117,0,0,0,0,0,0,0,947,0,2707,4559,146,0,0,0,14711
19,1706584507.272909164,1706584507.370930672,60,59,0,0.012452788,0.016651287,1,0,1,0,0,0,-0.144957297,0.028981488,0.002732534,-0.001626882,0.000749602,0.000394361,0.999998318,1080,840,0.777777778,0.020760502,0.010560199,0.007272713,0.035075124,99.317802021,843,0.946706837,15.175317580,289.665595906,493.232950148,0.019014929,0.018001563,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003885,0.000006322,0.000025244,0.966895861,-0.254584494,0.017295370,0.000000013,0.000000028,0.000001112,0.975936035,-0.216836227,0.023041386,0.052631579,0.030739263,0.112096111,0.461232751,0.005703665,98.449609974,0,0.022017023,0.020853258,1.000000000,120,116,4,0.111111111,0,0,0,0,0,0,0,960,0,2739,4679,146,0,0,0,15671
20,1706584507.372763634,1706584507.472606421,61,60,0,0.012639496,0.022864588,1,0,1,0,0,1,-0.141168408,0.026934194,0.002248398,-0.000543583,0.000445081,0.000441556,0.999999656,1068,817,0.764981273,0.019026259,0.010074485,0.007190099,0.025470716,119.357291186,829,0.940312482,14.881897094,290.420362472,474.216788385,0.019091127,0.017951625,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003778,0.000005988,0.000028821,0.966379261,-0.256845586,0.011894095,0.000000011,0.000000027,0.000001080,0.976333428,-0.215933723,0.012069132,0.050000000,0.030475835,0.114738314,0.465566511,0.005800010,99.494994035,0,0.021870729,0.020708176,1.000000000,132,130,2,0.123595506,0,0,0,0,0,0,0,936,0,2772,4811,146,0,0,0,16607
21,1706584507.472617388,1706584507.572454929,62,61,0,0.012524980,0.022346594,1,0,1,0,0,1,-0.130605376,0.026705474,0.003375391,-0.000230875,0.000440851,0.000347468,0.999999816,1093,814,0.744739250,0.019842503,0.010711482,0.007097046,0.035750616,92.678778661,858,0.938581294,15.305339924,302.582967506,487.414442862,0.019005697,0.017838392,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003977,0.000006170,0.000027026,0.971491498,-0.236761355,0.012179126,0.000000015,0.000000029,0.000001187,0.976114367,-0.216284113,0.020540808,0.050000000,0.031136520,0.090254299,0.437243674,0.005574276,98.822824405,0,0.021604333,0.020434770,1.000000000,124,122,2,0.113449222,0,0,0,0,0,0,0,969,0,2800,4935,146,0,0,0,17576
22,1706584507.572466612,1706584507.672288656,63,62,0,0.010190140,0.015634277,1,0,1,0,0,1,-0.138208949,0.028338690,0.008360200,-0.000314037,0.000778951,0.000561521,0.999999490,1134,840,0.740740741,0.020254413,0.010322095,0.007432425,0.030224890,106.199605913,880,0.940089860,16.992818110,314.505674646,495.780584334,0.020540611,0.019310021,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003843,0.000005874,0.000027170,0.967835489,-0.251564232,0.003146898,0.000000012,0.000000025,0.000001017,0.974333957,-0.224444953,0.017256960,0.000000000,0.031731028,0.091553805,0.369779437,0.005889576,98.546506914,0,0.021786224,0.020594255,1.000000000,133,125,8,0.117283951,0,0,0,0,0,0,0,1001,0,2846,5068,146,0,0,0,18577
23,1706584507.673099756,1706584507.772921801,64,63,0,0.012853777,0.018519648,1,0,1,0,0,1,-0.134912303,0.029354397,0.008142404,-0.000535020,0.000623435,0.000457529,0.999999558,1121,807,0.719892953,0.020558358,0.011336247,0.008251490,0.037205742,91.613417731,862,0.932888515,20.870857635,293.889146915,489.389895182,0.025953939,0.024212132,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004022,0.000006117,0.000025320,0.962546495,-0.270936481,0.009882733,0.000000014,0.000000025,0.000001158,0.974541896,-0.223410017,0.018869499,0.000000000,0.032522991,0.089749835,0.252387070,0.005816046,97.463227235,0,0.021848655,0.020631240,1.000000000,151,144,7,0.134701160,0,0,0,0,0,0,0,970,0,2884,5219,146,0,0,0,19547
24,1706584507.772933006,1706584507.872766972,65,64,0,0.013453876,0.018961241,1,0,1,0,0,1,-0.117580938,0.029670600,0.012970643,-0.000697393,0.001014569,0.000155203,0.999999230,1099,823,0.748862602,0.018607775,0.010027284,0.007212012,0.036155667,100.497750012,859,0.940103480,19.687695734,303.369337360,484.491856052,0.024379571,0.022919320,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003776,0.000006053,0.000024509,0.963668473,-0.266608712,-0.016213213,0.000000011,0.000000031,0.000001124,0.979402175,-0.201636955,0.010673203,0.000000000,0.033224022,0.085888820,0.247225404,0.006179898,96.962514297,0,0.022027835,0.020786067,1.000000000,138,135,3,0.125568699,0,0,0,0,0,0,0,961,0,2919,5357,146,0,0,0,20508
25,1706584507.872778416,1706584507.972614050,66,65,0,0.014160190,0.022411272,1,0,1,0,0,1,-0.119568988,0.028868776,0.004775084,-0.001367212,0.000436781,0.000332476,0.999998915,1078,799,0.741187384,0.019423919,0.010409804,0.007914485,0.027588050,105.529883268,860,0.941087466,17.082934857,301.310335813,490.941950083,0.021107366,0.019863878,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003872,0.000005780,0.000027243,0.969250560,-0.245693752,-0.013708833,0.000000014,0.000000021,0.000001184,0.974841655,-0.221616250,0.023874355,0.000000000,0.033357579,0.085249746,0.235198379,0.006400003,97.179201048,0,0.022045987,0.020793833,1.000000000,117,112,5,0.108534323,0,0,0,0,0,0,0,961,0,2937,5474,146,0,0,0,21469
26,1706584507.972625494,1706584508.072063923,67,66,0,0.013330730,0.026584567,1,0,1,0,0,1,-0.135139771,0.034928613,0.002113328,-0.001885237,0.000674365,0.000045676,0.999997995,1061,777,0.732327992,0.019647538,0.010348886,0.007366461,0.037413975,95.615324460,837,0.935588036,23.114136274,290.431734823,469.541315285,0.029516683,0.027615456,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003905,0.000006102,0.000025614,0.967811981,-0.251490460,-0.009618643,0.000000012,0.000000033,0.000001157,0.980054585,-0.198639438,0.005948546,0.000000000,0.033850109,0.077428459,0.209262252,0.006760315,97.247291968,0,0.022413420,0.021125716,1.000000000,109,107,2,0.102733270,0,0,0,0,0,0,0,952,0,2961,5583,146,0,0,0,22421
27,1706584508.072475195,1706584508.170465469,68,67,0,0.012841109,0.024518412,1,0,1,0,0,1,-0.135747740,0.035303107,0.001022955,-0.000342582,0.000468786,0.000225821,0.999999806,1070,807,0.754205607,0.018636913,0.010632653,0.007606738,0.024205477,119.259047705,842,0.940574554,14.982649811,290.143782747,486.837341892,0.018918352,0.017794121,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003663,0.000006068,0.000028799,0.966591502,-0.256224909,-0.007047274,0.000000011,0.000000025,0.000001130,0.974703074,-0.222974228,0.015375677,0.000000000,0.033441184,0.071374200,0.203293166,0.006499656,98.482969629,0,0.022209941,0.020917950,1.000000000,106,103,3,0.099065421,0,0,0,0,0,0,0,964,0,2979,5689,146,0,0,0,23385
28,1706584508.172723532,1706584508.272552252,69,68,0,0.017014460,0.027738206,1,0,1,0,0,1,-0.143649022,0.036957981,0.006506997,-0.000540273,0.000452451,0.000076113,0.999999749,1059,794,0.749763928,0.019086987,0.010078465,0.007639418,0.037588930,94.367022176,823,0.936205808,18.196099752,287.079318932,465.221961493,0.023616044,0.022109477,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003774,0.000005984,0.000026176,0.967131250,-0.254256909,-0.003250987,0.000000012,0.000000027,0.000001158,0.977365867,-0.210744964,0.018507383,0.000000000,0.034300739,0.071183874,0.205402895,0.006583831,97.310212759,0,0.022398306,0.021085378,1.000000000,87,85,2,0.082152975,0,0,0,0,0,0,0,972,0,2994,5776,146,0,0,0,24357
29,1706584508.272564650,1706584508.372388363,70,69,0,0.025966517,0.041082764,1,0,1,0,0,1,-0.140665756,0.031986462,0.001274908,-0.001089928,0.000184287,-0.000241395,0.999999360,1085,803,0.740092166,0.018909631,0.010367093,0.007267280,0.037530010,95.741135101,860,0.933305513,20.759041596,299.578518555,482.305180788,0.025863364,0.024138420,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003936,0.000006164,0.000025312,0.973082651,-0.230004659,0.014422552,0.000000014,0.000000030,0.000001123,0.977266887,-0.211418987,0.015856989,0.000000000,0.034265087,0.063131703,0.193540109,0.006669345,97.620184221,0,0.022526373,0.021192984,1.000000000,105,102,3,0.096774194,0,0,0,0,0,0,0,980,0,3016,5881,146,0,0,0,25337
30,1706584508.372400761,1706584508.472219944,71,70,0,0.035262645,0.060273021,1,0,1,0,0,1,-0.139018968,0.028318643,0.002812761,-0.001686682,-0.000089690,-0.000122890,0.999998566,1058,809,0.764650284,0.019629858,0.010929356,0.008599603,0.030471497,101.737502607,809,0.942398409,19.875936291,287.474845123,455.049531508,0.026070210,0.024568524,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003908,0.000006384,0.000026504,0.971117262,-0.238522984,0.006168516,0.000000013,0.000000030,0.000001177,0.977606520,-0.209841863,0.015870905,0.000000000,0.034225365,0.060572025,0.181554170,0.006891639,98.054787651,0,0.022707205,0.021358720,1.000000000,84,83,1,0.079395085,0,0,0,0,0,0,0,974,0,3030,5965,146,0,0,0,26311
31,1706584508.473029613,1706584508.572023630,72,71,0,0.070286910,0.112008860,1,0,1,0,0,1,-0.131871235,0.027208174,0.003146148,-0.001074334,-0.001044848,-0.001542345,0.999997688,1050,783,0.745714286,0.019541994,0.010981348,0.007781307,0.042296714,85.505965748,822,0.940961615,18.985761518,290.198497669,464.286188189,0.024546202,0.023097033,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004070,0.000006389,0.000023735,0.965519645,-0.260310569,-0.003197308,0.000000014,0.000000032,0.000001190,0.978974509,-0.203362494,0.015893611,0.000000000,0.034602304,0.057419247,0.171061816,0.008770121,97.790722009,0,0.022810159,0.021453993,1.000000000,86,84,2,0.081904762,0,0,0,0,0,0,0,964,0,3050,6051,146,0,0,0,27275
32,1706584508.572886467,1706584508.671166420,73,72,0,0.079300950,0.106549231,1,0,1,0,0,1,-0.102098997,0.027405741,0.006585992,-0.001767514,-0.000761896,-0.004272885,0.999989019,1081,829,0.766882516,0.021721268,0.011389441,0.007950300,0.033956801,96.235639639,865,0.940442807,18.839602414,311.470231232,483.173194636,0.023159183,0.021779887,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004041,0.000005873,0.000024327,0.960907843,-0.276252666,0.018454866,0.000000014,0.000000023,0.000001172,0.976742236,-0.213872012,0.015276335,0.000000000,0.034138386,0.040960298,0.190514325,0.013737885,98.546254782,0,0.022872492,0.021506644,1.000000000,112,109,3,0.103607771,0,0,0,0,0,0,0,969,0,3070,6163,146,0,0,0,28244
