frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,pos_x,pos_y,pos_z,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
59,1732437236.241182566,1732437236.341526270,0,0,2.190161031,0.102268854,1.145889373,817,608,0.000000000,0.016742250,0.007773002,0.005701385,0.000000000,24,22,2,0.029375765,0,0,0,0,0,793,0,1473,4040,0,0,46986
60,1732437236.341237783,1732437236.441307068,0,0,2.216338946,0.099612050,1.162091666,807,610,0.000000000,0.017562229,0.007222048,0.005321782,0.000000000,33,33,0,0.040892193,0,0,0,0,0,774,0,1482,4073,0,0,47760
61,1732437236.441034794,1732437236.541356325,0,0,2.245249268,0.101779507,1.174740384,787,590,0.000000000,0.018227729,0.009130775,0.005902159,0.000000000,21,19,2,0.026683609,0,0,0,0,0,766,0,1491,4094,0,0,48526
62,1732437236.541247606,1732437236.641322136,0,0,2.272957087,0.105842693,1.186376432,804,595,0.000000000,0.018835433,0.008413983,0.005679485,0.000000000,30,28,2,0.037313433,0,0,0,0,0,774,0,1498,4124,0,0,49300
63,1732437236.641089678,1732437236.741496801,0,0,2.305844082,0.107908974,1.201863373,815,610,0.000000000,0.018018097,0.008649049,0.005642655,0.000000000,27,27,0,0.033128834,0,0,0,0,0,788,0,1507,4151,0,0,50088
64,1732437236.741247892,1732437236.841425419,0,0,2.334608662,0.103517569,1.225104271,784,588,0.000000000,0.017920549,0.008141712,0.006068078,0.000000000,28,25,3,0.035714286,0,0,0,0,0,756,0,1517,4179,0,0,50844
65,1732437236.841193438,1732437236.941452980,0,0,2.367433875,0.102282247,1.245063313,773,589,0.000000000,0.016401283,0.008535533,0.005943054,0.000000000,34,34,0,0.043984476,0,0,0,0,0,739,0,1521,4213,0,0,51583
66,1732437236.941227913,1732437237.041470766,0,0,2.397190553,0.103285233,1.262730520,789,577,0.000000000,0.015296931,0.006718155,0.005048731,0.000000000,42,42,0,0.053231939,0,0,0,0,0,747,0,1529,4255,0,0,52330
67,1732437237.041221142,1732437237.141294718,0,0,2.429654482,0.104251392,1.276232193,784,587,0.000000000,0.016634897,0.006963988,0.004529893,0.000000000,41,40,1,0.052295918,0,0,0,0,0,743,0,1542,4296,0,0,53073
68,1732437237.141068697,1732437237.241311312,0,0,2.458976191,0.102954590,1.295854392,796,593,0.000000000,0.017328400,0.007991235,0.005920897,0.000000000,48,46,2,0.060301508,0,0,0,0,0,748,0,1563,4344,0,0,53821
69,1732437237.241053104,1732437237.341240883,0,0,2.488462023,0.103202006,1.312578703,819,608,0.000000000,0.017040031,0.008281849,0.005752387,0.000000000,51,50,1,0.062271062,0,0,0,0,0,768,0,1575,4395,0,0,54589
70,1732437237.341062546,1732437237.441336155,0,0,2.516681269,0.104193184,1.325340819,821,602,0.000000000,0.016573684,0.006942273,0.005247036,0.000000000,51,51,0,0.062119367,0,0,0,0,0,770,0,1597,4446,0,0,55359
71,1732437237.441096783,1732437237.541229248,0,0,2.541299907,0.101380183,1.341474043,798,587,0.000000000,0.016883889,0.009548560,0.006482681,0.000000000,48,48,0,0.060150376,0,0,0,0,0,750,0,1612,4494,0,0,56109
72,1732437237.541050196,1732437237.641371250,0,0,2.561191432,0.102912211,1.353599270,802,575,0.000000000,0.015789790,0.008141040,0.005312309,0.000000000,25,23,2,0.031172070,0,0,0,0,0,777,0,1622,4519,0,0,56886
73,1732437237.641111612,1732437237.741467714,0,0,2.580148651,0.104482314,1.362517743,816,589,0.000000000,0.015573100,0.009623515,0.006012334,0.000000000,41,40,1,0.050245098,0,0,0,0,0,775,0,1632,4560,0,0,57661
74,1732437237.741343021,1732437237.841386557,0,0,2.599056141,0.106388971,1.371599873,820,585,0.000000000,0.015971888,0.007714063,0.005503174,0.000000000,34,34,0,0.041463415,0,0,0,0,0,786,0,1642,4594,0,0,58447
75,1732437237.841172934,1732437237.941420078,0,0,2.619852706,0.108479810,1.381143473,825,604,0.000000000,0.015452113,0.007629503,0.005363201,0.000000000,36,36,0,0.043636364,0,0,0,0,0,789,0,1648,4630,0,0,59236
76,1732437237.941141605,1732437238.041310072,0,0,2.641173121,0.105058985,1.395545185,828,601,0.000000000,0.018246433,0.008748884,0.006172865,0.000000000,39,38,1,0.047101449,0,0,0,0,0,789,0,1656,4669,0,0,60025
77,1732437238.041141033,1732437238.141357422,0,0,2.660258417,0.107923486,1.403037189,815,596,0.000000000,0.016076083,0.008406617,0.006127425,0.000000000,32,31,1,0.039263804,0,0,0,0,0,783,0,1665,4701,0,0,60808
78,1732437238.141134024,1732437238.241511345,0,0,2.680352150,0.113297657,1.410131879,827,590,0.000000000,0.015813554,0.008210334,0.005365132,0.000000000,28,26,2,0.033857316,0,0,0,0,0,799,0,1675,4729,0,0,61607
79,1732437238.241265774,1732437238.341351271,0,0,2.703397335,0.117505595,1.417364800,843,590,0.000000000,0.016286925,0.007783070,0.005822230,0.000000000,38,37,1,0.045077106,0,0,0,0,0,805,0,1685,4767,0,0,62412
80,1732437238.341108322,1732437238.441504478,0,0,2.721112904,0.113795993,1.432229556,846,598,0.000000000,0.017301779,0.008921367,0.005989039,0.000000000,39,35,4,0.046099291,0,0,0,0,0,807,0,1700,4806,0,0,63219
81,1732437238.441223860,1732437238.541363239,0,0,2.741972129,0.115949833,1.441973040,825,577,0.000000000,0.016882280,0.008978886,0.006222852,0.000000000,36,35,1,0.043636364,0,0,0,0,0,789,0,1709,4842,0,0,64008
82,1732437238.541218996,1732437238.641417980,0,0,2.767119865,0.116236657,1.452953877,840,600,0.000000000,0.015675261,0.007777366,0.005343876,0.000000000,35,35,0,0.041666667,0,0,0,0,0,805,0,1719,4877,0,0,64813
83,1732437238.641173840,1732437238.741456985,0,0,2.789620023,0.119295254,1.464693033,846,596,0.000000000,0.018261342,0.008979064,0.006515141,0.000000000,35,33,2,0.041371158,0,0,0,0,0,811,0,1732,4912,0,0,65624
84,1732437238.741179705,1732437238.841427565,0,0,2.814474532,0.116126889,1.481891353,859,606,0.000000000,0.017691661,0.008531255,0.006103913,0.000000000,44,43,1,0.051222352,0,0,0,0,0,815,0,1745,4956,0,0,66439
85,1732437238.841204166,1732437238.941493988,0,0,2.842706984,0.114408323,1.499741531,843,601,0.000000000,0.017285659,0.008895325,0.006158671,0.000000000,47,45,2,0.055753262,0,0,0,0,0,796,0,1757,5003,0,0,67235
86,1732437238.941234112,1732437239.041524172,0,0,2.868508081,0.110553651,1.517273006,845,611,0.000000000,0.018662860,0.007780031,0.005429851,0.000000000,47,45,2,0.055621302,0,0,0,0,0,798,0,1773,5050,0,0,68033
87,1732437239.041254044,1732437239.141557455,0,0,2.899154453,0.111329650,1.532075483,844,600,0.000000000,0.019265517,0.008469357,0.005908314,0.000000000,45,45,0,0.053317536,0,0,0,0,0,799,0,1779,5095,0,0,68832
88,1732437239.141287327,1732437239.241405725,0,0,2.928952379,0.107713577,1.551340104,841,610,0.000000000,0.018697751,0.008409658,0.006083237,0.000000000,37,35,2,0.043995244,0,0,0,0,0,804,0,1788,5132,0,0,69636
89,1732437239.241142035,1732437239.341458082,0,0,2.963268073,0.109987108,1.569675388,832,597,0.000000000,0.019184149,0.009648323,0.006648485,0.000000000,48,44,4,0.057692308,0,0,0,0,0,784,0,1805,5180,0,0,70420
90,1732437239.341235161,1732437239.441347122,0,0,2.998094274,0.114256119,1.582023970,849,608,0.000000000,0.017046603,0.006985884,0.005177272,0.000000000,53,51,2,0.062426384,0,0,0,0,0,796,0,1821,5233,0,0,71216
91,1732437239.441129684,1732437239.541519642,0,0,3.032761521,0.121936211,1.596629505,849,591,0.000000000,0.017558887,0.008842284,0.006138460,0.000000000,37,34,3,0.043580683,0,0,0,0,0,812,0,1836,5270,0,0,72028
92,1732437239.541297674,1732437239.641330957,0,0,3.074184134,0.124158571,1.614701786,849,606,0.000000000,0.019135541,0.009311108,0.006149779,0.000000000,44,42,2,0.051825677,0,0,0,0,0,805,0,1854,5314,0,0,72833
93,1732437239.641115427,1732437239.741230726,0,0,3.113769364,0.125680551,1.638466529,865,607,0.000000000,0.021537054,0.010858173,0.006983200,0.000000000,48,46,2,0.055491329,0,0,0,0,0,817,0,1878,5362,0,0,73650
94,1732437239.741241932,1732437239.841524839,0,0,3.153078032,0.125809827,1.660267910,883,616,0.000000000,0.017786301,0.008394280,0.005803706,0.000000000,54,50,4,0.061155153,0,0,0,0,0,829,0,1905,5416,0,0,74479
95,1732437239.841276169,1732437239.941523790,0,0,3.194234121,0.122956833,1.687324146,852,608,0.000000000,0.016839875,0.008589767,0.006430177,0.000000000,47,43,4,0.055164319,0,0,0,0,0,805,0,1931,5463,0,0,75284
96,1732437239.941280365,1732437240.041302443,0,0,3.236373478,0.125938981,1.707760305,866,608,0.000000000,0.018262909,0.008412623,0.005978144,0.000000000,57,54,3,0.065819861,0,0,0,0,0,809,0,1954,5520,0,0,76093
97,1732437240.041123629,1732437240.141388416,0,0,3.276380834,0.124496374,1.727991442,853,592,0.000000000,0.018687450,0.010165138,0.007299150,0.000000000,55,49,6,0.064478312,0,0,0,0,0,798,0,1980,5575,0,0,76891
98,1732437240.141137600,1732437240.241327524,0,0,3.319699808,0.128889158,1.750576105,859,586,0.000000000,0.019415061,0.008766434,0.006364951,0.000000000,61,58,3,0.071012806,0,0,0,0,0,798,0,2004,5636,0,0,77689
99,1732437240.241139889,1732437240.341405630,0,0,3.366761161,0.132239782,1.774902543,879,629,0.000000000,0.021655434,0.009478132,0.006614082,0.000000000,64,63,1,0.072810011,0,0,0,0,0,815,0,2021,5700,0,0,78504
100,1732437240.341154099,1732437240.441530228,0,0,3.416007573,0.129010039,1.803886927,843,596,0.000000000,0.018444822,0.009034271,0.006336406,0.000000000,59,56,3,0.069988138,0,0,0,0,0,784,0,2037,5759,0,0,79288
101,1732437240.441314220,1732437240.541347980,0,0,3.466886587,0.130933275,1.824905375,843,592,0.000000000,0.020197638,0.010378610,0.006320792,0.000000000,73,70,3,0.086595492,0,0,0,0,0,770,0,2064,5832,0,0,80058
102,1732437240.541107416,1732437240.641510725,0,0,3.516424027,0.131472790,1.849084703,837,571,0.000000000,0.019015150,0.008077067,0.005988898,0.000000000,47,47,0,0.056152927,0,0,0,0,0,790,0,2078,5879,0,0,80848
103,1732437240.641265631,1732437240.741523027,0,0,3.556677058,0.133647266,1.869475507,837,566,0.000000000,0.019734066,0.010937072,0.007600336,0.000000000,62,58,4,0.074074074,0,0,0,0,0,775,0,2098,5941,0,0,81623
104,1732437240.741257668,1732437240.841377974,0,0,3.596480363,0.131943574,1.894295462,833,563,0.000000000,0.017367261,0.008638259,0.006194656,0.000000000,60,53,7,0.072028812,0,0,0,0,0,773,0,2120,6001,0,0,82396
105,1732437240.841126680,1732437240.941586018,0,0,3.637759879,0.131512692,1.918736900,851,571,0.000000000,0.017073578,0.008514568,0.005905888,0.000000000,49,45,4,0.057579318,0,0,0,0,0,802,0,2136,6050,0,0,83198
106,1732437240.941452503,1732437241.041459799,0,0,3.671147921,0.134928223,1.938774877,813,548,0.000000000,0.016813426,0.008331712,0.005558614,0.000000000,36,35,1,0.044280443,0,0,0,0,0,777,0,2143,6086,0,0,83975
107,1732437241.041217327,1732437241.141635418,0,0,3.704361239,0.142499618,1.953541685,811,560,0.000000000,0.017375629,0.008493499,0.006060976,0.000000000,27,27,0,0.033292232,0,0,0,0,0,784,0,2148,6113,0,0,84759
108,1732437241.141429424,1732437241.241578579,0,0,3.732339413,0.147159529,1.967145214,806,568,0.000000000,0.018075459,0.008963221,0.006344820,0.000000000,33,32,1,0.040942928,0,0,0,0,0,773,0,2154,6146,0,0,85532
109,1732437241.241327524,1732437241.341550827,0,0,3.758615802,0.156009834,1.981483908,794,560,0.000000000,0.018836862,0.009054396,0.006328148,0.000000000,21,19,2,0.026448363,0,0,0,0,0,773,0,2159,6167,0,0,86305
110,1732437241.341281652,1732437241.441580057,0,0,3.782399230,0.166302704,1.990569731,769,549,0.000000000,0.018153226,0.010027825,0.006785538,0.000000000,24,22,2,0.031209363,0,0,0,0,0,745,0,2167,6191,0,0,87050
111,1732437241.441356659,1732437241.541580200,0,0,3.806884815,0.170270339,2.003965490,765,553,0.000000000,0.016112690,0.008752840,0.005935674,0.000000000,27,25,2,0.035294118,0,0,0,0,0,738,0,2176,6218,0,0,87788
112,1732437241.541362524,1732437241.641528606,0,0,3.826107103,0.173840649,2.014990652,771,552,0.000000000,0.015961391,0.008231923,0.005682020,0.000000000,29,28,1,0.037613489,0,0,0,0,0,742,0,2181,6247,0,0,88530
113,1732437241.641303301,1732437241.741641760,0,0,3.838437028,0.177966277,2.024988284,753,556,0.000000000,0.015591614,0.007862982,0.005762539,0.000000000,31,28,3,0.041168659,0,0,0,0,0,722,0,2188,6278,0,0,89252
114,1732437241.741364717,1732437241.841485262,0,0,3.845407521,0.178459846,2.029675591,785,578,0.000000000,0.015862606,0.008427397,0.006260947,0.000000000,20,19,1,0.025477707,0,0,0,0,0,765,0,2195,6298,0,0,90017
115,1732437241.841243744,1732437241.941582203,0,0,3.849578395,0.178933258,2.032414670,781,574,0.000000000,0.015567856,0.007627603,0.005555753,0.000000000,34,34,0,0.043533931,0,0,0,0,0,747,0,2204,6332,0,0,90764
116,1732437241.941361189,1732437242.041627645,0,0,3.852771464,0.182941699,2.032796350,777,578,0.000000000,0.016732794,0.007841216,0.005581095,0.000000000,32,30,2,0.041184041,0,0,0,0,0,745,0,2212,6364,0,0,91509
117,1732437242.041412830,1732437242.141592979,0,0,3.852414879,0.182505697,2.032502740,793,597,0.000000000,0.017153593,0.008295793,0.005633090,0.000000000,23,21,2,0.029003783,0,0,0,0,0,770,0,2219,6387,0,0,92279
118,1732437242.141317606,1732437242.241565704,0,0,3.856083641,0.187641310,2.033201743,802,608,0.000000000,0.018624356,0.009626871,0.006814083,0.000000000,29,28,1,0.036159601,0,0,0,0,0,773,0,2227,6416,0,0,93052
