frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.761834860,1624181090.861717939,16,15,0,0.012294635,0.024980185,1,0,0,0,0,-0.007149538,-0.021744505,-0.003583903,0.000024126,0.000007762,0.000064355,0.999999998,2366,1932,0.816568047,0.015460778,0.004078358,0.003476486,0.145402563,99.572435557,1586,0.972225413,161.280620389,332.792626138,1047.876257722,0.104595267,0.101690177,0,0,0,0,0,0.003601881,0.000458945,0.100000000,0.030000000,0.854293854,0.015460778,0.000000644,0.000001759,0.000003661,-0.101828641,-0.994746535,0.010500449,0.000000001,0.000000002,0.000000008,-0.001804613,0.006652014,-0.999976247,0.000000000,0.156261774,0.023129376,0.038807366,0.002523785,91.739356994,0,0.122226722,0.118007258,327,321,6,0.138207946,78,0,0,0,0,0,1960,79,4110,6475,1102,0,0,18376
12,1624181090.861832380,1624181090.961721897,17,16,0,0.011009573,0.023967828,1,0,0,0,0,-0.009733567,-0.022158904,-0.003643098,-0.000007531,-0.000003650,0.000326447,0.999999947,2351,1923,0.817949809,0.015489342,0.003927821,0.003319603,0.139098098,104.527623387,1593,0.972653963,160.673271668,324.383594320,1064.380896756,0.103697790,0.100862066,0,0,0,0,0,0.002950795,0.000544462,0.100000000,0.030000000,0.869570577,0.015489342,0.000000649,0.000001764,0.000003712,-0.113944763,-0.993431077,0.010549226,0.000000001,0.000000002,0.000000008,-0.004753399,0.012532901,-0.999910162,0.000000000,0.154831468,0.023582369,0.041425082,0.003047968,92.805045860,0,0.120682644,0.116578492,368,359,9,0.156529137,82,0,0,0,0,0,1901,82,4186,6843,1184,0,0,20277
13,1624181090.961829901,1624181091.061767101,18,17,0,0.011660920,0.024178199,1,0,0,0,0,-0.010039991,-0.023184428,-0.004305377,-0.000007704,-0.000028512,0.000334894,0.999999943,2348,1897,0.807921635,0.014813625,0.003325201,0.002875608,0.139173584,105.139226517,1597,0.972850273,159.600287601,332.087958300,1061.953639831,0.102726561,0.099937563,0,0,0,0,0,0.001921145,0.000094470,0.100000000,0.030000000,0.868438073,0.014813625,0.000000648,0.000001811,0.000003844,0.139288080,0.990214213,-0.008639639,0.000000001,0.000000002,0.000000009,-0.007126754,0.010537573,-0.999919081,0.000000000,0.153627015,0.029313682,0.042683736,0.003064864,93.753828988,0,0.119301407,0.115298421,339,330,9,0.144378194,87,0,0,0,0,0,1921,88,4266,7182,1271,0,0,22198
14,1624181091.061827421,1624181091.161813259,19,18,0,0.011290583,0.026389048,1,0,0,0,0,-0.009494779,-0.020242374,-0.005035106,-0.000007723,-0.000038214,0.000140624,0.999999989,2374,1931,0.813395114,0.014767288,0.003656295,0.003039889,0.144694800,100.019018275,1615,0.971762620,168.228154782,339.477929940,1061.690546698,0.107192886,0.104166040,0,0,0,0,0,0.004690282,0.000384362,0.100000000,0.030000000,0.913632665,0.014767288,0.000000648,0.000001777,0.000003656,-0.121335585,-0.992538037,0.012079736,0.000000001,0.000000002,0.000000008,-0.004443667,0.014209550,-0.999889165,0.000000000,0.152989000,0.033238728,0.045763580,0.003453405,94.201342508,0,0.118436513,0.114503251,265,252,13,0.111625948,84,0,0,0,0,0,2025,84,4350,7447,1355,0,0,24223
15,1624181091.161825180,1624181091.261812449,20,19,0,0.011475104,0.025034932,1,0,0,0,0,-0.008616254,-0.016253415,-0.005275922,0.000004775,-0.000024238,0.000218272,0.999999976,2370,1927,0.813080169,0.014361240,0.003156699,0.002654763,0.134410551,107.090449603,1621,0.971054000,163.467206779,324.571152272,1086.040174623,0.103849461,0.100843434,0,0,0,0,0,0.003669371,0.000132054,0.100000000,0.030000000,0.913016862,0.014361240,0.000000639,0.000001816,0.000003730,-0.118139313,-0.992938838,0.010750222,0.000000001,0.000000002,0.000000009,-0.005052887,0.007364327,-0.999960117,0.000000000,0.151750436,0.039148690,0.049855230,0.003608700,95.060616314,0,0.117464043,0.113592596,218,211,7,0.091983122,72,0,0,0,0,0,2080,72,4414,7665,1427,0,0,26303
16,1624181091.261822701,1624181091.361767054,21,20,0,0.012216167,0.024839441,1,0,0,0,0,-0.005659672,-0.017069677,-0.005313851,0.000009164,-0.000025941,0.000161976,0.999999987,2372,1915,0.807335582,0.015151641,0.003412317,0.002872838,0.139887384,100.722536704,1616,0.971583152,164.867435129,335.176956866,1070.033981526,0.105005863,0.102021928,0,0,0,0,1,0.004096371,0.000145777,0.100000000,0.030000000,0.953208978,0.015151641,0.000000649,0.000001794,0.000003654,-0.112739220,-0.993573247,0.010103019,0.000000001,0.000000002,0.000000009,-0.002870210,0.014491422,-0.999890874,0.000000000,0.151008996,0.038780675,0.052922655,0.003721292,95.414486339,0,0.116685406,0.112869430,230,224,6,0.096964587,85,0,0,0,0,0,2057,85,4483,7895,1512,0,0,28360
17,1624181091.361820221,1624181091.461771488,22,21,0,0.011398557,0.023097979,1,0,0,0,0,-0.003674184,-0.014438790,-0.004487867,0.000005151,-0.000013962,0.000049912,0.999999999,2365,1919,0.811416490,0.014254162,0.003117924,0.002662893,0.136384058,104.331617798,1621,0.972771852,163.689789140,332.533677708,1080.639705371,0.103807224,0.100980746,0,0,0,0,1,0.001957981,0.000175792,0.100000000,0.030000000,0.942824046,0.014254162,0.000000644,0.000001784,0.000003696,-0.114716702,-0.993340744,0.010688481,0.000000001,0.000000002,0.000000008,0.003720648,-0.010907656,0.999933588,0.000000000,0.150148705,0.043139618,0.056320593,0.003945420,95.939023484,0,0.115927866,0.112170095,215,208,7,0.090909091,69,0,0,0,0,0,2080,70,4556,8110,1581,0,0,30440
18,1624181091.461817741,1624181091.561782360,23,22,0,0.011994743,0.024482986,1,0,0,0,0,-0.002767896,-0.012305485,-0.003996796,-0.000002011,-0.000017999,0.000006110,1.000000000,2333,1931,0.827689670,0.014407199,0.003513640,0.003054085,0.139684497,104.526774715,1638,0.974134152,167.973109884,326.014460639,1101.644170552,0.105270599,0.102547686,0,0,0,0,1,0.001074184,0.000138372,0.100000000,0.030000000,0.956618520,0.014407199,0.000000636,0.000001771,0.000003654,-0.107733306,-0.994131500,0.009802832,0.000000001,0.000000002,0.000000008,-0.003614537,0.009117788,-0.999951899,0.000000000,0.149567360,0.045335484,0.058689875,0.004033024,96.416120774,0,0.115335796,0.111635517,260,257,3,0.111444492,76,0,0,0,0,0,1997,76,4607,8370,1657,0,0,32437
19,1624181091.561815262,1624181091.661733627,24,23,0,0.010695508,0.025465598,1,0,0,0,0,-0.003794146,-0.013087837,-0.003793421,0.000013332,0.000004768,0.000120714,0.999999993,2338,1926,0.823781009,0.014864878,0.003550981,0.003101631,0.135804649,106.863411283,1636,0.973412396,169.912840794,334.621336430,1087.968502197,0.106695482,0.103858705,0,0,0,0,1,0.003802049,0.000239605,0.100000000,0.030000000,0.974856246,0.014864878,0.000000650,0.000001791,0.000003709,-0.099555260,-0.995002222,0.007702513,0.000000001,0.000000002,0.000000008,-0.004437809,0.008648031,-0.999952758,0.000000000,0.148843007,0.045108459,0.059996253,0.004262232,96.965978169,0,0.114881043,0.111226211,189,184,5,0.080838323,79,0,0,0,0,0,2070,79,4658,8559,1736,0,0,34507
20,1624181091.661813021,1624181091.761733532,25,24,0,0.012071295,0.024612001,1,0,0,0,1,-0.007270681,-0.017772766,-0.004460982,-0.000015141,-0.000017629,0.000214245,0.999999977,2330,1930,0.828326180,0.014887357,0.003155897,0.002717985,0.133514918,107.294242894,1632,0.974864860,161.472761902,326.261089745,1103.245600442,0.101492676,0.098941643,0,0,0,0,1,0.006650349,0.000218812,0.100000000,0.030000000,0.932405957,0.014887357,0.000000659,0.000001803,0.000003785,-0.100608530,-0.994883372,0.009219526,0.000000001,0.000000002,0.000000008,-0.003651939,0.010355554,-0.999939711,0.000000000,0.148076603,0.044756176,0.065868262,0.004449296,97.482391406,0,0.114211624,0.110611983,194,190,4,0.083261803,68,0,0,0,0,0,2067,69,4705,8753,1804,0,0,36574
21,1624181091.761810541,1624181091.861697197,26,25,0,0.011585363,0.024465265,1,0,0,0,1,-0.008023003,-0.018793428,-0.004967551,-0.000004266,-0.000028604,0.000072239,0.999999997,2349,1946,0.828437633,0.014223603,0.003227725,0.002778117,0.138009840,105.964409375,1640,0.973743493,162.659102950,331.385359528,1102.894866053,0.101856783,0.099182380,0,0,0,0,1,0.001216290,0.000307298,0.100000000,0.030000000,0.942929800,0.014223603,0.000000641,0.000001763,0.000003693,-0.099605495,-0.994978205,0.009854809,0.000000001,0.000000002,0.000000008,-0.004155903,0.011625688,-0.999923783,0.000000000,0.146370778,0.048027622,0.058848571,0.004696797,99.429159266,0,0.111722394,0.108356866,181,178,3,0.077054066,60,0,0,0,0,0,2107,61,4747,8934,1864,0,0,38681
22,1624181091.861808062,1624181091.961688757,27,26,0,0.011187957,0.024127153,1,0,0,0,1,-0.006123122,-0.024385701,-0.004902503,0.000002280,-0.000006457,0.000123347,0.999999992,2371,1957,0.825390131,0.014299368,0.003160810,0.002781267,0.131856984,106.968505779,1658,0.974447625,165.262939566,329.660719069,1120.710503764,0.102289827,0.099676079,0,0,0,0,1,0.005303808,0.000138346,0.100000000,0.030000000,0.954259474,0.014299368,0.000000627,0.000001748,0.000003626,-0.094803464,-0.995454061,0.009138705,0.000000001,0.000000002,0.000000008,0.000196928,-0.007437376,0.999972323,0.000000000,0.143601626,0.049065249,0.061560009,0.004575021,101.102018082,0,0.109772441,0.106551664,241,233,8,0.101644876,57,0,0,0,0,0,2073,57,4818,9175,1921,0,0,40754
23,1624181091.961805582,1624181092.061677694,28,27,0,0.012361625,0.026143180,1,0,0,0,1,-0.005684886,-0.025515670,-0.004752925,0.000025292,0.000014393,0.000070022,0.999999997,2350,1952,0.830638298,0.014965879,0.003708524,0.003170636,0.128804162,107.198707317,1649,0.973625044,154.712945440,339.568265852,1111.226486517,0.096363876,0.093822283,0,0,0,0,1,0.002223023,0.000136181,0.100000000,0.030000000,0.901067012,0.014965879,0.000000634,0.000001730,0.000003680,-0.094820801,-0.995423117,0.011909389,0.000000001,0.000000002,0.000000008,-0.004698459,0.007807450,-0.999958483,0.000000000,0.142155900,0.048546483,0.055217264,0.004422554,102.063730070,0,0.108145610,0.105037484,218,212,6,0.092765957,71,0,0,0,0,0,2060,72,4880,9393,1992,0,0,42814
24,1624181092.061803102,1624181092.161735296,29,28,0,0.010913313,0.023665701,1,0,0,0,1,-0.005613204,-0.026462569,-0.004432273,0.000013436,-0.000001617,0.000057979,0.999999998,2347,1955,0.832978270,0.014084494,0.003241977,0.002867779,0.130036158,107.050962963,1663,0.974827703,159.783253759,331.734212118,1129.621004752,0.098562372,0.096081331,0,0,0,0,1,0.001609327,0.000087057,0.100000000,0.030000000,0.923772691,0.014084494,0.000000637,0.000001776,0.000003656,-0.097434305,-0.995140043,0.014242571,0.000000001,0.000000002,0.000000008,-0.000970083,0.003470378,-0.999993508,0.000000000,0.140272043,0.047792418,0.053647757,0.004050704,102.946926653,0,0.106732870,0.103731428,206,205,1,0.087771623,69,0,0,0,0,0,2072,69,4916,9599,2061,0,0,44886
25,1624181092.161800861,1624181092.261734962,30,29,0,0.012308248,0.025365569,1,0,0,0,1,-0.007278608,-0.026373916,-0.004223329,0.000019670,-0.000009975,0.000114187,0.999999993,2358,1972,0.836301951,0.013609370,0.002885893,0.002500969,0.130626348,109.277889425,1657,0.973976471,158.516235434,334.306898458,1121.055878922,0.098220644,0.095664596,0,0,0,0,1,0.002649063,0.000176119,0.100000000,0.030000000,0.926758121,0.013609370,0.000000622,0.000001764,0.000003675,-0.104383185,-0.994433269,0.014374425,0.000000001,0.000000002,0.000000009,-0.007181603,0.009398937,-0.999930040,0.000000000,0.138952947,0.048824436,0.053162742,0.003986559,103.841842318,0,0.105363012,0.102439606,192,183,9,0.081424936,72,0,0,0,0,0,2094,72,4961,9791,2133,0,0,46980
26,1624181092.261798382,1624181092.361763716,31,30,0,0.013096681,0.024463966,1,0,0,0,1,-0.005922839,-0.021880525,-0.004540351,0.000032785,0.000041199,0.000024945,0.999999998,2373,1995,0.840707965,0.014104555,0.003266154,0.002791440,0.127034076,111.908126392,1687,0.974390213,156.063503233,336.865411037,1150.867374361,0.094940903,0.092509486,0,0,0,0,1,0.005998657,0.000187946,0.100000000,0.030000000,0.901874816,0.014104555,0.000000610,0.000001737,0.000003683,-0.104759421,-0.994379987,0.015293930,0.000000001,0.000000002,0.000000009,-0.008458510,0.001260059,-0.999963432,0.000000000,0.137742696,0.045205984,0.056305964,0.003950541,104.618912787,0,0.104147471,0.101286072,208,202,6,0.087652760,70,0,0,0,0,0,2094,71,5010,9999,2203,0,0,49074
27,1624181092.361795902,1624181092.461874962,32,31,0,0.011548446,0.024501333,1,0,0,0,1,-0.007713709,-0.020024160,-0.004423155,-0.000000477,-0.000008727,0.000083197,0.999999997,2377,1988,0.836348338,0.013535145,0.002952683,0.002606423,0.129378358,109.804220862,1671,0.975480510,157.986719623,339.015921355,1133.025291092,0.096922707,0.094546212,0,0,0,0,1,0.002057062,0.000178830,0.100000000,0.030000000,0.921859781,0.013535145,0.000000611,0.000001695,0.000003610,-0.095425277,-0.995375759,0.011005195,0.000000001,0.000000002,0.000000008,-0.007140126,0.006167230,-0.999955491,0.000000000,0.136893033,0.045365545,0.056045664,0.003821076,105.107686116,0,0.103127305,0.100324222,170,164,6,0.071518721,60,0,0,0,0,0,2146,61,5065,10169,2263,0,0,51220
28,1624181092.461793423,1624181092.561836243,33,32,0,0.012024897,0.025088652,1,0,0,0,1,-0.006653875,-0.021219672,-0.004887334,-0.000005624,-0.000017521,0.000087670,0.999999996,2347,1974,0.841073711,0.014115397,0.002967450,0.002533292,0.125202617,113.376552468,1677,0.975543362,153.188413131,334.674749817,1148.123054726,0.093636738,0.091346698,0,0,0,0,1,0.003428148,0.000032896,0.100000000,0.030000000,0.891728664,0.014115397,0.000000617,0.000001715,0.000003678,-0.088945655,-0.995971612,0.011367460,0.000000001,0.000000002,0.000000008,-0.009301200,0.011387651,-0.999891899,0.000000000,0.135810432,0.041589046,0.055178100,0.003759861,105.810639561,0,0.102301123,0.099552522,159,156,3,0.067746059,64,0,0,0,0,0,2123,65,5110,10328,2327,0,0,53343
29,1624181092.561790943,1624181092.661748648,34,33,0,0.010807371,0.023274561,1,0,0,0,1,-0.007703886,-0.021204531,-0.005166076,-0.000000369,-0.000008170,0.000099403,0.999999995,2386,2003,0.839480302,0.013947802,0.002887237,0.002481334,0.127036786,110.594524226,1677,0.974030154,158.459981787,330.229295973,1144.759290382,0.097009471,0.094490150,0,0,0,0,1,0.001372928,0.000087939,0.100000000,0.030000000,0.925657900,0.013947802,0.000000613,0.000001686,0.000003701,-0.085965877,-0.996254172,0.009353780,0.000000001,0.000000002,0.000000008,0.011045387,-0.012472905,0.999861203,0.000000000,0.134933223,0.040629970,0.049093215,0.003337611,106.220276103,0,0.101709081,0.099000384,178,173,5,0.074601844,52,0,0,0,0,0,2155,53,5164,10506,2379,0,0,55498
30,1624181092.661788702,1624181092.761736155,35,34,0,0.011756730,0.025220177,1,0,0,0,1,-0.010205278,-0.025686788,-0.003884167,0.000013280,-0.000009167,0.000164753,0.999999986,2332,1971,0.845197256,0.013165688,0.002547500,0.002237096,0.121478349,114.016208485,1674,0.975238683,154.112694592,336.842022739,1141.594838821,0.094400010,0.092062542,0,0,0,0,1,0.005422331,0.000138666,0.100000000,0.030000000,0.902526593,0.013165688,0.000000612,0.000001730,0.000003807,-0.094876310,-0.995422950,0.011473335,0.000000001,0.000000002,0.000000008,-0.009372271,0.004559437,-0.999945685,0.000000000,0.133875939,0.042100603,0.053564181,0.003012987,106.812372201,0,0.100926857,0.098261587,160,158,2,0.068610635,52,0,0,0,0,0,2120,52,5202,10666,2431,0,0,57618
31,1624181092.761786222,1624181092.861739397,36,35,0,0.012248463,0.026313403,1,0,0,0,1,-0.009314036,-0.026286453,-0.003736059,0.000017524,-0.000016099,0.000122339,0.999999992,2368,2001,0.845016892,0.013078135,0.002807244,0.002475325,0.125354997,113.604525866,1674,0.976482495,153.567359374,330.810869528,1150.253468391,0.093946153,0.091736774,0,0,0,0,1,0.002715690,0.000093835,0.100000000,0.030000000,0.901401094,0.013078135,0.000000616,0.000001731,0.000003745,-0.094860467,-0.995437065,0.010321901,0.000000001,0.000000002,0.000000008,-0.006800236,0.008130578,-0.999943824,0.000000000,0.132873561,0.043753245,0.052030830,0.002573634,107.513976717,0,0.100394401,0.097763917,140,138,2,0.059121622,55,0,0,0,0,0,2172,56,5234,10806,2486,0,0,59790
