run,start_s,frames,common_gt_samples,prefix_error_median,residual_median,transient_frames,novel_accepted,novel_rejected,map_added,invalid_quality_rejected,map_size_last
control/run02,270,93,0,,0.097356909,23,1020,3152,87825,41662,455633
control/run02,280,93,0,,0.069158005,3,150,616,67106,4087,482914
control/run02,290,96,0,,0.061191049,0,0,0,39966,0,496133
control/run02,300,96,47,5.656968831119445,0.0579850025,0,0,0,31459,0,504090
control/run02,310,96,72,5.655451111038538,0.057252412,0,0,0,27351,0,511309
control/run02,320,88,58,5.841414277320311,0.242625164,68,2969,8380,22624,110170,523440
control/run02,330,89,65,7.185168507935112,0.266300807,89,3588,4639,13187,164804,532141
control/run02,340,80,64,5.941341243074268,0.2669707435,80,3827,25139,12769,146973,540672
control/run02,350,82,27,4.60122445929304,0.2382993625,82,4100,183686,12625,107741,549707
control/run02,360,80,0,,0.228222939,80,4000,103607,15236,143954,559814
control/run02,370,76,4,17.441333457560802,0.23118983850000002,76,3800,93065,12590,128086,568039
control/run02,380,74,35,17.654141575410595,0.1633628215,40,1481,849,59535,50008,600886
control/run02,390,86,44,17.865537399549716,0.060233631499999996,2,60,64,24651,1537,610636
control/run02,400,87,56,17.870329463417768,0.045957067,0,0,0,5681,0,611958
control/run02,410,67,41,17.871238240716067,0.043237165,0,0,0,3106,0,612571
control/run03,0,99,92,0.1829896043021058,0.009597253,0,0,0,23774,0,8784
control/run03,10,97,90,0.18139613006369132,0.008766414,0,0,0,15487,0,13535
control/run03,20,99,86,0.22869733854240556,0.164064297,61,3050,27918,75869,77870,57161
control/run03,30,95,82,0.32699528801866856,0.088076097,18,779,1030,83232,19449,100447
control/run03,40,98,79,0.1055620358517128,0.07135931100000001,0,0,0,70853,0,127308
control/run03,50,92,75,0.09172542059490735,0.0696094115,0,0,0,51692,0,145910
control/run03,60,92,78,0.46267979935297154,0.067408349,1,10,0,43253,844,161621
control/run03,70,91,79,0.2911004223092513,0.067845873,1,50,407,54529,1192,186047
control/run03,80,92,70,0.34103037631549205,0.08597442899999999,18,541,2015,43146,16268,205080
control/run03,90,99,68,0.26942281754098785,0.067742615,2,77,101,30826,1810,215303
control/run03,100,94,60,0.4513462961832725,0.065484228,0,0,0,25756,0,223237
control/run03,110,92,54,0.315801639194646,0.068355784,0,0,0,32493,0,234753
control/run03,120,94,49,0.38437161741882,0.06885596399999999,1,50,17,39372,975,250384
control/run03,130,96,56,0.18591310018182827,0.0649744585,0,0,0,26271,0,257638
control/run03,140,94,64,0.16013254101579255,0.0626276135,0,0,0,21413,0,263288
control/run03,150,96,60,0.2506908824663611,0.0719336735,4,49,0,26945,2704,271120
control/run03,160,91,62,0.2785303695072172,0.074268607,2,35,0,27459,1089,280924
control/run03,170,94,73,0.5134526225607436,0.06433383349999999,0,0,0,27165,0,289125
control/run03,180,94,65,0.46299747406081604,0.071496149,4,159,310,23427,2446,297737
control/run03,190,86,46,0.33684443400351727,0.0700703835,3,44,0,18750,1717,304049
control/run03,200,92,56,0.4024052630847803,0.0729076805,1,2,0,28448,453,314465
control/run03,210,89,38,0.22224712830030877,0.090856077,15,229,267,15887,6576,319737
control/run03,220,92,16,0.3037833816266144,0.09305527599999999,17,432,347,17075,11639,324814
control/run03,230,95,58,0.15157079284240838,0.06720655,0,0,0,18234,0,329411
control/run03,240,91,38,0.23274507189019802,0.090389609,19,507,290,47847,25194,348815
control/run03,250,91,0,,0.075055889,28,1122,2732,47142,55188,363870
control/run03,260,98,0,,0.07301306399999999,8,142,0,49427,12978,378141
control/run03,270,94,0,,0.098324623,23,850,2411,46696,35142,396476
control/run03,280,93,0,,0.068720204,4,177,710,40715,5037,411323
control/run03,290,94,0,,0.063900502,0,0,0,25551,0,418986
control/run03,300,92,47,0.14648960871569502,0.062074905,0,0,0,18535,0,423406
control/run03,310,93,72,0.18651975052297137,0.062621149,6,227,24,22364,6410,430451
control/run03,320,84,58,1.1827740372495614,0.27222275500000004,57,2653,32692,22003,84848,441954
control/run03,330,87,65,5.341869940310425,0.203581939,87,2965,8339,15518,141411,450749
control/run03,340,84,64,5.96279305468933,0.2713168385,84,3917,64488,12727,143460,459898
control/run03,350,86,27,9.542669945507933,0.241958069,86,4300,191456,14374,119866,470418
control/run03,360,76,0,,0.24287956249999998,76,3800,150088,14075,114171,479876
control/run03,370,75,4,33.12646371560799,0.243067707,75,3750,122004,12137,127006,488800
control/run03,380,82,35,60.15632074814413,0.198186405,73,3650,85345,28426,132749,507648
control/run03,390,82,44,70.7560670615637,0.058243698499999996,6,298,355,23652,5386,517189
control/run03,400,92,56,70.75475374777764,0.044519634,0,0,0,5888,0,518576
control/run03,410,68,41,70.75541906103165,0.041113362,0,0,0,2730,0,519232
control_off/run01,0,100,92,0.17922834207864163,0.009265317,0,0,0,24029,0,8810
control_off/run01,10,95,90,0.18429159342498544,0.008559912,0,0,0,15844,0,13879
control_off/run01,20,99,86,0.22064418147781095,0.152779473,59,7176,0,87264,81751,65512
control_off/run01,30,99,82,0.15276763263107318,0.06814214,1,31,0,85526,1087,104508
control_off/run01,40,98,79,0.13892960675224553,0.062085272999999996,0,0,0,58172,0,123873
control_off/run01,50,99,75,0.07361226915601919,0.06710704,0,0,0,49252,0,140737
control_off/run01,60,95,78,0.3905803081501444,0.062562544,1,8,0,37610,813,152699
control_off/run01,70,98,79,0.2629270298900048,0.060261847,1,521,0,49957,1047,173167
control_off/run01,80,98,70,0.3286658297738597,0.073032451,20,4002,0,43166,18276,192824
control_off/run01,90,95,68,0.19296309138631354,0.067208415,3,60,0,27085,2239,201828
control_off/run01,100,75,60,0.3554737774995036,0.061837272,0,0,0,19562,0,207536
control_off/run01,110,80,54,0.24989515245431512,0.0632885575,0,0,0,27597,0,217320
control_off/run01,120,81,49,0.23103177765126295,0.071810863,1,145,0,34060,968,231063
control_off/run01,130,86,56,0.16367054771868006,0.0656177775,0,0,0,24485,0,238062
control_off/run01,140,89,64,0.2778135997949256,0.063802763,0,0,0,21011,0,243617
control_off/run01,150,87,60,0.3264372149344835,0.06657683,5,55,0,24234,3337,250544
control_off/run01,160,93,62,0.25174680863082166,0.07313465,4,95,0,27222,2664,260447
control_off/run01,170,97,73,0.413621628407832,0.063064375,0,0,0,28041,0,269033
control_off/run01,180,96,65,0.4674927915091641,0.0695896225,9,869,0,23391,5890,278266
control_off/run01,190,92,46,0.503560776091929,0.0645214785,1,13,0,20208,639,284693
control_off/run01,200,90,56,0.5045980522421012,0.07082277149999999,3,69,0,26170,1539,294318
control_off/run01,210,92,38,0.17747476125389994,0.0886271635,11,227,0,17908,5104,300445
control_off/run01,220,92,16,0.19999097124804974,0.095865164,18,477,0,16488,11783,305324
control_off/run01,230,96,58,0.09274031995478729,0.0670399475,0,0,0,17756,0,309763
control_off/run01,240,95,38,0.2112320838018526,0.085665309,18,721,0,48176,22747,328264
control_off/run01,250,94,0,,0.0637771885,25,1445,0,46356,45462,342865
control_off/run01,260,92,0,,0.065920124,8,202,0,42838,15200,354299
control_off/run01,270,93,0,,0.088714278,20,2158,0,46387,32895,372132
control_off/run01,280,96,0,,0.06421418649999999,6,849,0,37631,7176,384525
control_off/run01,290,91,0,,0.061641378,0,0,0,23424,0,391396
control_off/run01,300,91,47,0.14334494923413793,0.05792687,0,0,0,17375,0,395622
control_off/run01,310,95,72,0.17862322507309503,0.058212255,0,0,0,18126,0,399857
control_off/run01,320,95,58,0.3664565562470627,0.08350969,7,143,0,37775,6397,413214
control_off/run01,330,97,65,0.2910937981190488,0.074960406,5,72,0,30478,6472,422118
control_off/run01,340,91,64,0.17968705903068294,0.065879253,16,851,0,21228,25660,428152
control_off/run01,350,91,27,0.28965472031899575,0.067393813,30,6248,0,25825,65374,439640
control_off/run01,360,72,0,,0.20178738899999998,66,15008,0,50565,144499,476423
control_off/run01,370,70,4,6.3315444378361185,0.23569167600000002,70,9964,0,25929,165492,495451
control_off/run01,380,81,35,6.6298974594203814,0.119972332,37,769,0,60370,68757,526348
control_off/run01,390,78,44,6.915585521277491,0.0678806785,25,652,0,17413,25811,533290
control_off/run01,400,91,56,6.913057071170085,0.042957313,0,0,0,7100,0,534942
control_off/run01,410,70,41,6.908727988994535,0.039531897999999996,0,0,0,3319,0,535684
control_off/run03,0,99,92,0.1620405685596838,0.009308129,0,0,0,23664,0,8777
control_off/run03,10,99,90,0.16461884207198654,0.008628529,0,0,0,16045,0,13886
control_off/run03,20,98,86,0.20631364776604944,0.156946525,60,7400,0,84361,81315,64062
control_off/run03,30,97,82,0.17351925193001266,0.072950957,1,38,0,89242,1245,106948
control_off/run03,40,100,79,0.12792618093593816,0.0626696115,0,0,0,61058,0,127611
control_off/run03,50,94,75,0.06870985877058362,0.06645634750000001,1,19,0,47653,848,143992
control_off/run03,60,96,78,0.4039902416950216,0.062794182,1,6,0,38463,811,156301
control_off/run03,70,96,79,0.2717445486935133,0.060584702000000004,1,495,0,50151,1088,176395
control_off/run03,80,97,70,0.3237795723070702,0.074204721,16,3274,0,44307,14573,197126
control_off/run03,90,91,68,0.22124311654790013,0.067573234,3,69,0,26756,2372,206017
control_off/run03,100,96,60,0.388853216273966,0.06075638,0,0,0,23442,0,212657
control_off/run03,110,96,54,0.255181686750131,0.061785424500000005,0,0,0,31498,0,223665
control_off/run03,120,93,49,0.27933347444404427,0.070214166,1,62,0,37056,973,238093
control_off/run03,130,92,56,0.17072205303291593,0.06519702,0,0,0,25023,0,245072
control_off/run03,140,86,64,0.26638548583520694,0.065382153,0,0,0,19792,0,250037
control_off/run03,150,91,60,0.28622946325391696,0.066913183,5,21,0,24938,3052,257128
control_off/run03,160,89,62,0.2544162183415328,0.073947977,1,6,0,27107,595,267003
control_off/run03,170,93,73,0.44057176470570647,0.063876437,0,0,0,27165,0,275049
control_off/run03,180,95,65,0.4530987367007594,0.067168987,8,757,0,22642,4970,283942
control_off/run03,190,85,46,0.4670981476259157,0.06482618,4,58,0,17963,2227,290232
control_off/run03,200,89,56,0.4599799156105733,0.071915394,3,62,0,26377,1592,299993
control_off/run03,210,88,38,0.1880071943881797,0.08857462599999999,12,272,0,16568,5509,305621
control_off/run03,220,93,16,0.20798768596559514,0.089702193,16,373,0,17085,10753,310482
control_off/run03,230,95,58,0.10051325291241583,0.066494457,1,1,0,17332,449,314804
control_off/run03,240,96,38,0.20338397545845688,0.0839655545,19,889,0,48321,24407,333719
control_off/run03,250,94,0,,0.0635193515,19,1270,0,49596,34854,349231
control_off/run03,260,90,0,,0.06631043049999999,10,186,0,40981,15992,360417
control_off/run03,270,91,0,,0.100572156,26,2684,0,42574,40316,376735
control_off/run03,280,94,0,,0.08081734500000001,33,1920,0,30156,45621,387976
control_off/run03,290,93,0,,0.062446228,0,0,0,23918,0,395069
control_off/run03,300,94,47,0.11245532108225069,0.060331778,0,0,0,18173,0,399540
control_off/run03,310,96,72,0.13423170212505575,0.0593713865,0,0,0,18815,0,404057
control_off/run03,320,95,58,0.3529653748443464,0.083466227,9,257,0,36621,8967,416998
control_off/run03,330,99,65,0.3038981198342521,0.074574541,6,53,0,29687,7278,425681
control_off/run03,340,97,64,0.13371041222403168,0.062416507,10,127,0,21352,14149,430990
control_off/run03,350,91,27,0.16247864803814932,0.065919884,27,1841,0,21110,54528,437642
control_off/run03,360,92,0,,0.060775407000000004,11,292,0,25716,22683,442936
control_off/run03,370,84,4,1.7425962159887123,0.1914888095,78,5612,0,18140,138089,454451
control_off/run03,380,79,35,1.5868874409685267,0.163582814,48,1155,0,42355,70975,477329
control_off/run03,390,86,44,1.6612265147065957,0.0574348835,1,75,0,20023,800,484803
control_off/run03,400,93,56,1.663239097643836,0.050659798,0,0,0,5043,0,486004
control_off/run03,410,64,41,1.6651343352233718,0.047833823,0,0,0,2300,0,486546
