frame,lidar_begin_time,lidar_end_time,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,dynamic_threshold_ready,dynamic_normal_ratio_threshold,dynamic_condition_threshold,dynamic_normal_ratio_mean,dynamic_normal_ratio_std,dynamic_condition_mean,dynamic_condition_std,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_voxel_rejected
11,1517157224.130816936,1517157224.231655359,1,0,0,0,0.052044177,0.005255706,0.029159625,-0.002261962,-0.002472376,0.002203320,0.999991958,765,591,0.772549020,0.030498135,0.012619500,0.009808457,0.454112456,23.482757319,0.000000000,0.495604611,0.332231123,0.080974035,0.006301268,24.089108632,0,0,0.060000000,50.000000000,0.495604611,0.018676621,24.089108632,1.488703123,171,165,6,0.223529412,52,0,0,0,0,539,55,1205,1988,543,0,6029
12,1517157224.231677055,1517157224.332516193,1,0,0,0,0.084554807,0.006712713,0.037194757,-0.004436538,-0.003940773,0.003425230,0.999976527,783,608,0.776500639,0.035246730,0.014587807,0.010623375,0.495421775,22.865685405,0.000000000,0.495589375,0.342707044,0.114494586,0.008768942,23.987156696,0,0,0.060000000,50.000000000,0.495589375,0.017881575,23.987156696,1.464884549,175,160,15,0.223499361,62,0,0,0,0,544,64,1279,2163,605,0,6573
13,1517157224.332536936,1517157224.433376312,1,0,0,0,0.128679277,0.010014876,0.029053706,-0.002608227,-0.003000506,0.004062592,0.999983845,797,617,0.774153074,0.035547751,0.014131022,0.011128154,0.523107655,27.362198764,0.000000000,0.497706166,0.345482170,0.159485139,0.010024351,24.246775317,0,0,0.060000000,50.000000000,0.497706166,0.018679512,24.246775317,1.670221683,166,161,5,0.208281054,45,0,0,0,0,584,47,1333,2329,650,0,7157
14,1517157224.433397055,1517157224.534236193,1,0,0,0,0.176209589,0.010597620,0.028894651,-0.005202684,-0.003995044,0.004517829,0.999968280,770,593,0.770129870,0.032232035,0.015694643,0.012798051,0.544445913,26.958309711,0.000000000,0.501044719,0.336299991,0.207019289,0.010960762,24.440456345,0,0,0.060000000,50.000000000,0.501044719,0.021654057,24.440456345,1.754434628,153,151,2,0.198701299,30,0,0,0,0,586,31,1377,2482,680,0,7743
15,1517157224.534256935,1517157224.635096312,1,0,0,0,0.235959868,0.014039584,0.014215160,-0.002392762,-0.003650400,0.005117877,0.999977378,770,588,0.763636364,0.037796597,0.018265265,0.014440344,0.508238845,23.666497404,0.000000000,0.501524327,0.339473574,0.268642583,0.012136852,24.388859082,0,0,0.060000000,50.000000000,0.501524327,0.020996635,24.388859082,1.705904460,189,181,8,0.245454545,39,0,0,0,0,542,39,1437,2671,719,0,8285
16,1517157224.635117054,1517157224.735956192,1,0,0,0,0.308164939,0.017618671,-0.000533218,-0.005532229,-0.005642423,0.007539021,0.999940359,774,576,0.744186047,0.045602265,0.019814898,0.016171816,0.440399953,27.623082268,0.000000000,0.497704054,0.362684796,0.342425351,0.017024511,24.590998031,0,0,0.060000000,50.000000000,0.497704054,0.025144032,24.590998031,1.827875945,236,226,10,0.304909561,61,0,0,0,0,475,63,1518,2907,780,0,8760
17,1517157224.735976934,1517157224.836816311,1,0,0,0,0.396326382,0.025134563,-0.013662236,-0.007993958,-0.005042120,0.009716858,0.999908124,756,570,0.753968254,0.049852235,0.023782357,0.016500169,0.472872017,26.387724745,0.000000000,0.496243346,0.387047765,0.431875335,0.021398153,24.696687838,0,0,0.060000000,50.000000000,0.496243346,0.025083291,24.696687838,1.822997188,239,237,2,0.316137566,39,0,0,0,0,476,41,1569,3146,819,0,9236
18,1517157224.836837053,1517157224.937676191,1,0,0,0,0.485077137,0.028870031,-0.017203632,-0.001816012,-0.003216612,0.012083187,0.999920173,758,567,0.748021108,0.037547123,0.016981939,0.013859510,0.458262184,25.427471854,0.000000000,0.494133281,0.376960006,0.520775233,0.026062386,24.737286950,0,0,0.060000000,50.000000000,0.494133281,0.025882578,24.737286950,1.779525449,182,182,0,0.240105541,31,0,0,0,0,543,33,1610,3328,850,0,9779
19,1517157224.937696934,1517157225.038473368,1,0,0,0,0.592089483,0.040300326,-0.022783934,0.001709801,-0.005061447,0.022619891,0.999729863,753,543,0.721115538,0.047357907,0.017079049,0.013839202,0.434114876,27.346057056,0.000000000,0.490974418,0.381939793,0.628540874,0.047111432,24.874590640,0,0,0.060000000,50.000000000,0.490974418,0.028535260,24.874590640,1.827397956,161,146,15,0.213811421,57,0,0,0,0,531,61,1681,3489,907,0,10310
20,1517157225.038494110,1517157225.139333248,1,0,0,1,0.696442071,0.053615603,-0.043012645,-0.002906291,-0.009110174,0.038185071,0.999224929,747,531,0.710843373,0.040711145,0.017579069,0.014032213,0.422024277,25.860349911,0.000000000,0.487526911,0.374169938,0.735666782,0.078334116,24.923878603,0,0,0.060000000,50.000000000,0.487526911,0.031612795,24.923878603,1.794037594,151,141,10,0.202141901,52,0,0,0,0,540,56,1758,3640,959,0,10850
21,1517157225.139353991,1517157225.240193367,1,0,0,1,0.810978685,0.066362717,-0.051419665,-0.002905740,-0.010445825,0.036822069,0.999263017,751,549,0.731025300,0.038142606,0.016114559,0.012057997,0.464740854,25.467135092,0.000000000,0.484462561,0.347958728,0.848124565,0.080935303,24.947042748,0,0,0.060000000,50.000000000,0.486441861,0.031230217,24.949747960,1.754619640,123,119,4,0.163781625,52,0,0,0,0,572,56,1796,3763,1011,0,11422
22,1517157225.240214109,1517157225.341053247,1,0,0,1,0.935815197,0.086667167,-0.053323753,0.005890933,-0.016113971,0.046561238,0.998768085,745,509,0.683221477,0.044526656,0.025991346,0.017161991,0.481469018,26.516497635,0.000000000,0.482566848,0.323588289,0.973237269,0.100184382,25.061207290,0,0,0.060000000,50.000000000,0.486215822,0.030529763,25.020963854,1.745066015,143,134,9,0.191946309,38,0,0,0,0,564,38,1858,3906,1049,0,11986
23,1517157225.341073990,1517157225.439888239,1,0,0,1,1.074755650,0.115754989,-0.077708764,0.012469002,-0.009868704,0.072568816,0.997236632,750,511,0.681333333,0.045277760,0.021984735,0.015367943,0.496083685,28.137432964,0.000000000,0.481727915,0.301408479,1.114164109,0.152146606,25.254235466,0,0,0.060000000,50.000000000,0.486644860,0.029926433,25.156462511,1.821200286,152,149,3,0.202666667,34,0,0,0,0,561,37,1913,4058,1083,0,12547
24,1517157225.441934109,1517157225.542773247,1,0,0,1,1.218254905,0.145387143,-0.076183364,0.021605459,-0.002540148,0.112871027,0.993371473,739,504,0.682002706,0.045209006,0.021764583,0.015706228,0.378992821,26.394282573,0.000000000,0.475564648,0.275899134,1.259560827,0.233180555,25.322560150,0,0,0.060000000,50.000000000,0.482159358,0.036345959,25.208038347,1.799931457,137,128,9,0.185385656,56,0,0,0,0,540,62,1965,4195,1139,0,13087
25,1517157225.542793989,1517157225.643633366,1,0,0,1,1.368341239,0.182190197,-0.073550223,0.013403698,0.002505941,0.139532825,0.990123554,746,536,0.718498660,0.046796222,0.022228979,0.017503069,0.410065302,26.746730680,0.000000000,0.471679337,0.245375728,1.413815628,0.287079568,25.426027079,0,0,0.060000000,50.000000000,0.479275596,0.038311534,25.269586040,1.789155657,132,127,5,0.176943700,58,0,0,0,0,555,59,2019,4327,1197,0,13642
26,1517157225.643654108,1517157225.744493246,1,0,0,1,1.521870654,0.236507146,-0.071303666,0.006643783,-0.001713352,0.159823563,0.987121752,733,531,0.724420191,0.043092223,0.018186545,0.014649688,0.396988485,25.122453926,0.000000000,0.466739565,0.202126170,1.575334277,0.327920465,25.452769172,0,0,0.060000000,50.000000000,0.476110707,0.040764370,25.263927113,1.754639612,121,117,4,0.165075034,50,0,0,0,0,561,51,2065,4448,1247,0,14203
27,1517157225.744513988,1517157225.845353365,1,0,0,1,1.683171228,0.295586833,-0.079630563,0.001807727,-0.004566741,0.161494034,0.986861466,733,506,0.690313779,0.039140383,0.016996232,0.013381689,0.413721971,27.462998790,0.000000000,0.463055778,0.153347283,1.735541132,0.330985644,25.586575756,0,0,0.060000000,50.000000000,0.473800013,0.041701440,25.345374212,1.771216077,111,110,1,0.151432469,43,0,0,0,0,578,44,2107,4559,1290,0,14781
28,1517157225.845374107,1517157225.946213245,1,0,0,1,1.846468760,0.356357034,-0.088991775,0.001936075,-0.004615151,0.162361951,0.986718576,727,499,0.686382393,0.035235485,0.015748668,0.012642296,0.406251658,29.017654436,0.000000000,0.458902055,0.147005148,1.896576465,0.330720704,25.719746080,0,0,0.060000000,50.000000000,0.471387572,0.042825684,25.476527077,1.868045049,111,108,3,0.152682256,40,0,0,0,0,574,42,2153,4670,1330,0,15355
29,1517157225.946233988,1517157226.047013283,1,0,0,1,2.015638169,0.424722702,-0.088206439,0.005258158,-0.004149410,0.165377694,0.986207561,705,503,0.713475177,0.036058466,0.015140200,0.011808719,0.318288466,28.521596381,0.000000000,0.450290725,0.144320993,2.057078507,0.335662692,26.066916671,0,0,0.060000000,50.000000000,0.466108292,0.050509194,25.581529467,1.917804888,103,101,2,0.146099291,56,0,0,0,0,545,57,2181,4773,1386,0,15900
30,1517157226.047034025,1517157226.147873402,1,0,0,1,2.188713876,0.490691292,-0.096884637,0.001456985,-0.005292276,0.171310530,0.985201792,720,517,0.718055556,0.036249659,0.018108006,0.014323131,0.402008839,31.068204411,0.000000000,0.446080553,0.133635752,2.219085188,0.345336259,26.571756066,0,1,0.080000000,40.000000000,0.463971644,0.050975799,25.764418632,2.127294374,122,119,3,0.169444444,38,0,0,0,0,559,39,2218,4895,1424,0,16459
31,1517157226.147893906,1517157226.248733282,1,0,0,1,2.364802947,0.557032238,-0.102021212,0.003712983,-0.005838489,0.170269855,0.985373179,726,485,0.668044077,0.036294577,0.017315644,0.013804122,0.429608325,28.279474937,0.000000000,0.444855346,0.123159853,2.373806148,0.345006192,26.811591947,0,1,0.080000000,40.000000000,0.462863150,0.050513080,25.845549480,2.139361528,116,113,3,0.159779614,35,0,0,0,0,571,39,2253,5011,1459,0,17030
32,1517157226.248754025,1517157226.349593401,1,0,0,1,2.545184539,0.632826494,-0.113092046,0.008910359,-0.002131286,0.169857300,0.985426081,693,482,0.695526696,0.033585828,0.017120059,0.013687320,0.421249475,26.739773018,0.000000000,0.441146731,0.125848264,2.524787152,0.344608714,27.005296328,0,1,0.080000000,40.000000000,0.461562722,0.050242005,25.873493966,2.111409092,117,116,1,0.168831169,27,0,0,0,0,548,28,2288,5128,1486,0,17578
33,1517157226.349615097,1517157226.450453281,1,0,0,1,2.737712714,0.716438029,-0.139544538,0.026775658,0.010027413,0.203178535,0.978724169,751,505,0.672436751,0.039591565,0.022238947,0.015351230,0.451345838,31.074298937,0.000000000,0.437558640,0.122390417,2.688813209,0.411972133,27.190901336,0,1,0.080000000,40.000000000,0.461253120,0.049505896,26.031094117,2.262247957,136,130,6,0.181091877,29,0,0,0,0,583,32,2338,5264,1515,0,18161
34,1517157226.450474977,1517157226.551314354,1,0,0,1,2.924113766,0.807765451,-0.139494159,0.041327167,0.024813206,0.268839196,0.961978096,760,515,0.677631579,0.037407326,0.018833819,0.013126793,0.436690332,26.558060690,0.000000000,0.432170861,0.113915259,2.834761717,0.547385800,27.170888885,0,1,0.080000000,40.000000000,0.460530685,0.048948682,26.046593133,2.230509031,151,143,8,0.198684211,39,0,0,0,0,569,40,2411,5415,1554,0,18730
35,1517157226.551335096,1517157226.652174234,1,0,0,1,3.093044679,0.911020151,-0.155874378,0.032905547,0.014083709,0.300336929,0.953161373,793,547,0.689785624,0.038462437,0.020295383,0.015256374,0.422608753,27.885271314,0.000000000,0.427889356,0.113353981,2.959643233,0.607033175,27.381827581,0,1,0.080000000,40.000000000,0.459447201,0.048656253,26.099126796,2.219652117,135,133,2,0.170239596,44,0,0,0,0,613,45,2464,5550,1598,0,19343
36,1517157226.652194977,1517157226.753034353,1,0,0,1,3.247961819,1.027254353,-0.172326608,0.012901851,0.001287174,0.284621216,0.958552371,771,517,0.670557717,0.039905567,0.017666728,0.013634197,0.408212392,28.925312991,0.000000000,0.426279978,0.110930458,3.064565021,0.636197128,27.446939117,0,1,0.080000000,40.000000000,0.458024012,0.048708935,26.177631968,2.237343424,137,130,7,0.177691310,44,0,0,0,0,586,48,2538,5687,1642,0,19929
37,1517157226.753055096,1517157226.853894234,1,0,0,1,3.403901136,1.141437222,-0.185967950,-0.005763145,-0.003288498,0.260536866,0.965441098,723,478,0.661134163,0.031705782,0.015478325,0.012338524,0.355020697,28.700078898,0.000000000,0.420387412,0.109791578,3.169419825,0.681553432,27.562556825,0,1,0.080000000,40.000000000,0.455240139,0.050866839,26.245806209,2.244489794,125,121,4,0.172890733,30,0,0,0,0,567,31,2594,5812,1672,0,20496
38,1517157226.853914976,1517157226.954754353,1,0,0,1,3.566439872,1.244983030,-0.188643359,-0.008910609,-0.001411948,0.235297920,0.971881421,717,471,0.656903766,0.036281142,0.018767199,0.013865199,0.304184416,28.507948389,0.000000000,0.412683524,0.110945079,3.254391655,0.712637376,27.716580651,0,1,0.080000000,40.000000000,0.451264988,0.055713664,26.305336267,2.244166683,102,102,0,0.142259414,28,0,0,0,0,587,28,2634,5914,1700,0,21083
39,1517157226.954775095,1517157227.055552244,1,0,0,1,3.734763453,1.340734819,-0.202539861,0.001419378,0.000286178,0.239070440,0.971001147,751,486,0.647137150,0.034125210,0.014552466,0.011921146,0.327423709,29.034441783,0.000000000,0.407348966,0.106773631,3.341416065,0.689175022,27.800999888,0,1,0.080000000,40.000000000,0.448089571,0.058374539,26.375313331,2.256817807,120,117,3,0.159786951,28,0,0,0,0,603,28,2668,6034,1728,0,21686
40,1517157227.055572987,1517157227.156412363,1,0,0,1,3.904031372,1.435741133,-0.204600310,0.006905605,0.003160733,0.244366338,0.969653245,757,487,0.643328930,0.035785297,0.014734102,0.011562367,0.325361058,28.517807864,0.000000000,0.402515805,0.108247178,3.419984774,0.697407670,27.933872785,0,1,0.080000000,40.000000000,0.445021358,0.060741587,26.428875694,2.253393905,131,128,3,0.173051519,28,0,0,0,0,594,32,2710,6165,1756,0,22280
41,1517157227.156433105,1517157227.257272243,1,0,0,1,4.067811269,1.529712646,-0.211061151,0.007564336,0.002432509,0.246277882,0.969166688,762,480,0.629921260,0.033838297,0.013752322,0.010879133,0.281415534,30.267472154,0.000000000,0.393349539,0.112209792,3.482427958,0.682071445,28.173889639,0,1,0.080000000,40.000000000,0.441030972,0.065088238,26.522499998,2.303162198,99,99,0,0.129921260,27,0,0,0,0,636,27,2745,6264,1783,0,22916
42,1517157227.257292986,1517157227.358132362,1,0,0,1,4.233558610,1.627025835,-0.214545376,0.007520889,0.003397091,0.250693991,0.968031207,790,500,0.632911392,0.033810011,0.012220072,0.009529127,0.291365867,30.141235759,0.000000000,0.383844381,0.110442122,3.530630782,0.639176176,28.355126545,0,1,0.080000000,40.000000000,0.437467517,0.068236624,26.608660374,2.341500625,117,111,6,0.148101266,33,0,0,0,0,640,33,2784,6381,1816,0,23556
43,1517157227.358153105,1517157227.458992243,1,0,0,1,4.403361464,1.726648609,-0.224893018,0.014855998,0.008209889,0.270729421,0.962505832,810,533,0.658024691,0.036211686,0.014105377,0.011026611,0.304427989,27.401335582,0.000000000,0.374261596,0.102485621,3.581237573,0.599816279,28.318321676,0,1,0.080000000,40.000000000,0.434373574,0.070356211,26.627094681,2.317195473,145,145,0,0.179012346,50,0,0,0,0,609,56,2817,6526,1866,0,24165
44,1517157227.459012985,1517157227.559852362,1,0,0,1,4.560093395,1.833585881,-0.239686761,0.011271061,0.012662554,0.294969337,0.955356328,834,549,0.658273381,0.032078081,0.016669468,0.012052452,0.257076624,25.478967149,0.000000000,0.368165787,0.096924014,3.616996160,0.596541411,28.272555905,0,1,0.080000000,40.000000000,0.430344098,0.074402108,26.601000873,2.297094097,155,154,1,0.185851319,39,0,0,0,0,638,41,2857,6681,1905,0,24803
45,1517157227.559873104,1517157227.660712242,1,0,0,1,4.715676446,1.934066831,-0.257122213,-0.004126665,0.006036914,0.281144474,0.959637594,804,525,0.652985075,0.034031041,0.017175652,0.012790700,0.270092019,28.074185469,0.000000000,0.361167122,0.076611991,3.640154322,0.584799645,28.338928644,0,1,0.080000000,40.000000000,0.426782941,0.077270044,26.633738309,2.281784202,121,121,0,0.150497512,26,0,0,0,0,653,30,2907,6802,1931,0,25456
46,1517157227.660732985,1517157227.761572361,1,0,0,1,4.874798623,2.034519370,-0.269697384,-0.021153558,0.002547608,0.239184479,0.970740347,793,522,0.658259773,0.032192257,0.017545678,0.012915291,0.225611777,28.329767810,0.000000000,0.352598287,0.067290004,3.656769563,0.668487747,28.499294338,0,1,0.080000000,40.000000000,0.422409655,0.081862789,26.670608515,2.270358354,112,109,3,0.141235813,26,0,0,0,0,651,30,2943,6914,1957,0,26107
47,1517157227.761593103,1517157227.862432241,1,0,0,1,5.037520038,2.117387765,-0.278580270,-0.027486378,0.002198857,0.196262373,0.980163632,795,529,0.665408805,0.033016331,0.017676895,0.010460290,0.218910056,31.614561241,0.000000000,0.342857691,0.065545062,3.665102875,0.754751996,28.706872461,0,1,0.080000000,40.000000000,0.418079876,0.086146921,26.775798999,2.356660350,107,105,2,0.134591195,28,0,0,0,0,654,34,2974,7021,1985,0,26761
48,1517157227.862452984,1517157227.963292360,1,0,0,1,5.208797636,2.192099437,-0.302403639,-0.029272258,0.008037392,0.157347793,0.987076597,853,552,0.647127784,0.034853236,0.016756001,0.010496893,0.258390401,25.022865962,0.000000000,0.335464628,0.065636621,3.671015504,0.828046859,28.507133037,0,1,0.080000000,40.000000000,0.414753012,0.088243294,26.739279560,2.345383828,153,152,1,0.179366940,42,0,0,0,0,655,45,3018,7174,2027,0,27416
49,1517157227.963313103,1517157228.064091206,1,0,0,1,5.382562643,2.246993540,-0.317847672,-0.031945258,0.007743920,0.109802889,0.993409713,816,508,0.622549020,0.028765488,0.015218500,0.011574071,0.228508678,28.726754682,0.000000000,0.330975639,0.077475003,3.668473586,0.911958594,28.517390952,0,1,0.080000000,40.000000000,0.410952107,0.091221780,26.779840277,2.338275391,125,119,6,0.153186275,27,0,0,0,0,663,28,3053,7299,2054,0,28079
50,1517157228.064111948,1517157228.164951324,1,0,0,1,5.551062005,2.269357224,-0.329203821,-0.025078636,0.007623666,0.071704239,0.997081463,810,512,0.632098765,0.026599123,0.013059530,0.010348626,0.220842928,26.626688919,0.000000000,0.321917343,0.093878203,3.650587971,0.986176289,28.295315177,0,1,0.080000000,40.000000000,0.407149924,0.094145410,26.776777250,2.314873839,106,104,2,0.130864198,21,0,0,0,0,683,21,3076,7405,2075,0,28762
51,1517157228.164972067,1517157228.265811205,1,0,0,1,5.716502251,2.280948352,-0.342602137,-0.020058237,0.009028960,0.059357503,0.997994405,792,514,0.648989899,0.028554071,0.012866999,0.009505460,0.242651325,27.539189831,0.000000000,0.312569493,0.101109996,3.621002545,1.010023377,28.258300922,0,1,0.080000000,40.000000000,0.403924461,0.095967429,26.791726516,2.294502894,90,88,2,0.113636364,32,0,0,0,0,669,33,3108,7495,2107,0,29431
52,1517157228.265831947,1517157228.366671324,1,0,0,1,5.885649060,2.295458452,-0.349645410,-0.015487650,0.005685858,0.058969026,0.998123468,817,516,0.631578947,0.024756423,0.012036597,0.008507123,0.231949091,29.188058094,0.000000000,0.303104474,0.118866300,3.579356415,0.942316148,28.380715176,0,1,0.080000000,40.000000000,0.400617242,0.097930891,26.837809816,2.296041301,112,109,3,0.137086903,23,0,0,0,0,681,24,3139,7607,2130,0,30112
53,1517157228.366692066,1517157228.467531204,1,0,0,1,6.049125342,2.319626968,-0.357063755,-0.016731458,0.003906878,0.062137477,0.997919700,809,508,0.627935723,0.030320088,0.013782576,0.009710793,0.219858172,27.914816472,0.000000000,0.291530091,0.114827665,3.537204212,0.812114031,28.222741053,0,1,0.080000000,40.000000000,0.397206694,0.100071789,26.858130696,2.278993289,112,111,1,0.138442522,37,0,0,0,0,657,40,3167,7719,2167,0,30769
54,1517157228.467551947,1517157228.568391323,1,0,0,1,6.213934254,2.343980364,-0.356925407,-0.007432131,0.001996613,0.065211257,0.997841806,837,558,0.666666667,0.030308439,0.013628026,0.009515481,0.249841305,29.384909110,0.000000000,0.282187640,0.113479630,3.505138500,0.753851018,28.364083474,0,1,0.080000000,40.000000000,0.394477705,0.101111933,26.904922889,2.283346827,107,103,4,0.127837515,29,0,0,0,0,698,32,3201,7826,2196,0,31467
55,1517157228.568413019,1517157228.669251204,1,0,0,1,6.383127104,2.372797395,-0.361718159,-0.000690175,0.000898879,0.081089544,0.996706176,865,546,0.631213873,0.028208360,0.013388564,0.009861186,0.232718303,30.744266722,0.000000000,0.272693117,0.111761600,3.482463008,0.752186804,28.507033244,0,1,0.080000000,40.000000000,0.391536625,0.102493104,26.974729141,2.319917233,88,83,5,0.101734104,14,0,0,0,0,763,14,3229,7914,2210,0,32230
56,1517157228.669272900,1517157228.770111322,1,0,0,1,6.547569872,2.407577175,-0.367270828,0.011988121,0.003402373,0.107250029,0.994153982,865,528,0.610404624,0.027817645,0.014202151,0.009856000,0.228574523,29.780597348,0.000000000,0.263711224,0.103370132,3.456880506,0.754791673,28.549797462,0,1,0.080000000,40.000000000,0.388626588,0.103841261,27.024833930,2.328945145,97,95,2,0.112138728,18,0,0,0,0,750,18,3257,8011,2228,0,32980
57,1517157228.770133018,1517157228.870972395,1,0,0,1,6.716980708,2.461430363,-0.373473830,0.022283713,0.011199946,0.157123298,0.987264031,887,550,0.620067644,0.028775808,0.014618339,0.009555113,0.214670256,26.905875143,0.000000000,0.256693702,0.105748935,3.442015671,0.803689504,28.460087274,0,1,0.080000000,40.000000000,0.385574722,0.105429642,27.022746934,2.308478234,133,129,4,0.149943630,31,0,0,0,0,717,37,3291,8144,2259,0,33697
