frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_map_pause_enable,transition_guard_measurement_weight_enable,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_geometry_weak_ratio,relative_persistent_enable,relative_baseline_ready,relative_persistent_candidate,relative_f0_baseline,relative_lambda0_baseline,relative_f0_ratio,relative_lambda0_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
11,1624181090.761834860,1624181090.861717939,16,15,0,0.013352977,0.024980185,1,1,0,0,0,0,-0.009034968,-0.021855928,-0.003519525,0.000014017,-0.000043398,0.000159591,0.999999986,2366,1931,0.816145393,0.014873951,0.003164946,0.002798253,0.138943579,103.265086583,1587,0.971737251,161.101953896,329.797632971,1051.247430154,0.104466015,0.101513519,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000619,0.000001715,0.000003654,-0.093076217,-0.995636354,0.006713359,0.000000001,0.000000002,0.000000008,-0.005266841,0.015423489,-0.999867179,0.000000000,0.157280127,0.044463611,0.034997489,0.001896002,91.273670771,0,0.122391009,0.118129845,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,329,322,7,0.139053254,86,0,0,0,0,0,0,1950,87,4100,6448,1100,0,0,0,18404
12,1624181090.861832380,1624181090.961721897,17,16,0,0.012873842,0.024093260,1,1,0,0,0,0,-0.010236861,-0.020333599,-0.004049562,-0.000018557,0.000015060,0.000304466,0.999999953,2352,1913,0.813350340,0.014665515,0.003016650,0.002661705,0.135317679,105.725369427,1590,0.972334090,161.071685578,324.127582429,1060.811934775,0.104185329,0.101302947,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000624,0.000001728,0.000003683,-0.101667624,-0.994797510,0.006450513,0.000000001,0.000000002,0.000000009,-0.003712433,-0.000342286,-0.999993050,0.000000000,0.155449923,0.045812203,0.037008203,0.002185753,92.477978992,0,0.120873869,0.116727603,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,373,363,10,0.158588435,73,0,0,0,0,0,0,1906,73,4181,6821,1173,0,0,0,20310
13,1624181090.961829901,1624181091.061767101,18,17,0,0.013354429,0.027166466,1,1,0,0,0,0,-0.010297281,-0.021411666,-0.004963202,-0.000020595,-0.000030105,0.000357861,0.999999935,2348,1900,0.809199319,0.014795805,0.003411903,0.002817422,0.138325146,104.347352971,1594,0.973221860,159.465820875,331.630021963,1060.219802746,0.102793923,0.100041293,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000621,0.000001734,0.000003676,-0.119074128,-0.992874491,0.004647358,0.000000001,0.000000002,0.000000008,-0.005835939,0.015812771,-0.999857939,0.000000000,0.154132632,0.045848293,0.038422635,0.002292544,93.391007760,0,0.119483104,0.115444041,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,349,341,8,0.148637138,87,0,0,0,0,0,0,1911,88,4263,7170,1260,0,0,0,22221
14,1624181091.061827421,1624181091.161813259,18,18,0,0.012797584,0.026389048,1,1,0,0,0,0,-0.009816049,-0.020562719,-0.005223069,-0.000017957,-0.000046122,0.000197129,0.999999979,2374,1931,0.813395114,0.014339577,0.003528938,0.002935781,0.135049892,105.339627216,1609,0.971900823,161.558484514,335.450050432,1066.779890023,0.103312240,0.100409251,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000614,0.000001702,0.000003626,-0.107358691,-0.994187701,0.008057758,0.000000001,0.000000002,0.000000009,-0.000066339,0.004474407,-0.999989988,0.000000000,0.152769579,0.048170814,0.039432499,0.002614006,94.244480578,0,0.118328042,0.114370127,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,290,278,12,0.122156698,87,0,0,0,0,0,0,1997,87,4351,7460,1347,0,0,0,24218
15,1624181091.261822701,1624181091.361767054,19,19,0,0.013340507,0.025407400,1,1,0,0,0,0,-0.004601081,-0.017466023,-0.005007273,-0.000004480,-0.000026932,0.000090944,0.999999995,2373,1910,0.804888327,0.014757830,0.003281635,0.002861320,0.135100619,104.383720117,1603,0.972601162,161.613485357,331.972841302,1065.493335792,0.103659543,0.100819392,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000761,0.000002184,0.000004659,-0.097259045,-0.995220697,0.008743117,0.000000001,0.000000002,0.000000009,-0.003160058,0.011376510,-0.999930292,0.000000000,0.151591649,0.047726739,0.045501435,0.002826377,94.920429881,0,0.117350142,0.113466745,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,276,269,7,0.116308470,78,0,0,0,0,0,0,2019,78,4426,7736,1425,0,0,0,26237
16,1624181091.461817741,1624181091.561782360,21,20,0,0.013216360,0.026174667,1,1,0,0,0,0,-0.004529220,-0.015412754,-0.004608523,-0.000004297,-0.000051135,0.000156979,0.999999986,2331,1910,0.819390819,0.013939842,0.003134525,0.002728236,0.133061324,108.132663327,1622,0.973413432,162.846610216,328.208238335,1087.821738832,0.103140810,0.100398650,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000746,0.000002246,0.000004921,-0.098870086,-0.995043139,0.010670449,0.000000001,0.000000002,0.000000009,-0.007325360,0.013410809,-0.999883238,0.000000000,0.150433503,0.051470021,0.047594299,0.002958448,95.746194471,0,0.116462059,0.112649989,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,241,237,4,0.103389103,77,0,0,0,0,0,0,2013,77,4479,7977,1502,0,0,0,28250
17,1624181091.561815262,1624181091.661733627,21,21,0,0.013099342,0.025465598,1,1,0,0,0,0,-0.006683104,-0.017071216,-0.004369180,-0.000006185,-0.000053478,0.000313013,0.999999950,2338,1919,0.820786997,0.014326547,0.003087004,0.002747775,0.134877898,105.505232946,1618,0.975004182,167.156181428,334.688669162,1075.711916352,0.105958901,0.103310372,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000627,0.000001803,0.000003845,-0.097236566,-0.995198481,0.011181854,0.000000001,0.000000002,0.000000008,-0.001905926,0.004307645,-0.999988906,0.000000000,0.149518468,0.052094651,0.050323217,0.003270516,96.320255558,0,0.115844226,0.112100600,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,259,252,7,0.110778443,82,0,0,0,0,0,0,1997,82,4533,8236,1584,0,0,0,30247
18,1624181091.661813021,1624181091.761733532,23,22,0,0.013252483,0.024768406,1,1,0,0,0,0,-0.008118817,-0.020013300,-0.004767157,-0.000019869,-0.000015147,0.000263771,0.999999965,2331,1915,0.821535822,0.014782516,0.003108311,0.002574561,0.128957150,108.536137169,1619,0.975367578,154.484730653,329.603910938,1095.031467015,0.097829627,0.095419846,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000620,0.000001727,0.000003688,-0.104356675,-0.994458796,0.012703822,0.000000001,0.000000002,0.000000008,-0.002261988,-0.001460840,-0.999996375,0.000000000,0.148376172,0.051078066,0.053621022,0.003369000,96.998915647,0,0.114843415,0.111173891,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,240,235,5,0.102960103,56,0,0,0,0,0,0,2034,57,4590,8476,1640,0,0,0,32281
19,1624181091.761810541,1624181091.861697197,24,23,0,0.012782362,0.025041461,1,1,0,0,0,0,-0.007820228,-0.020451661,-0.005387382,-0.000001909,-0.000019008,0.000150985,0.999999988,2351,1941,0.825606125,0.014469341,0.003730924,0.002982863,0.135545716,105.775209008,1620,0.974095258,157.079231713,331.778997218,1089.176088590,0.099541075,0.096962489,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000615,0.000001701,0.000003548,-0.093590070,-0.995553922,0.010643651,0.000000001,0.000000002,0.000000008,-0.002488477,0.007492708,-0.999968833,0.000000000,0.147700885,0.050895090,0.054437108,0.003594573,97.460825824,0,0.114038028,0.110425923,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,226,221,5,0.096129307,65,0,0,0,0,0,0,2059,66,4641,8702,1705,0,0,0,34340
20,1624181091.861808062,1624181091.961688757,25,24,0,0.012429259,0.024127153,1,1,0,0,0,1,-0.006202688,-0.024669563,-0.005177998,-0.000007931,-0.000039931,0.000262287,0.999999965,2372,1956,0.824620573,0.013392909,0.003056325,0.002575781,0.130630932,107.631534776,1649,0.975428603,160.947324619,333.132647342,1114.401793620,0.100061641,0.097602986,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000610,0.000001702,0.000003518,-0.094297790,-0.995502324,0.009113114,0.000000001,0.000000002,0.000000008,-0.001980763,0.015118067,-0.999883754,0.000000000,0.146847387,0.055894075,0.058959383,0.003817176,97.969361272,0,0.113339209,0.109784776,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,263,253,10,0.110876897,61,0,0,0,0,0,0,2048,61,4712,8965,1766,0,0,0,36388
21,1624181091.961805582,1624181092.061677694,26,25,0,0.014170372,0.026307695,1,1,0,0,0,1,-0.007581405,-0.024524247,-0.005016199,0.000020754,-0.000018724,0.000216764,0.999999976,2350,1947,0.828510638,0.014181760,0.003184912,0.002661553,0.125863063,108.481941446,1637,0.974324808,153.410278373,337.602002789,1103.957429383,0.096183819,0.093714281,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000610,0.000001673,0.000003608,-0.096356856,-0.995289974,0.010640643,0.000000001,0.000000002,0.000000008,-0.004077824,0.013887629,-0.999895247,0.000000000,0.144534224,0.057100551,0.052840524,0.003828696,100.042005736,0,0.110566331,0.107256254,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,201,194,7,0.085531915,71,0,0,0,0,0,0,2077,72,4775,9166,1837,0,0,0,38465
22,1624181092.061803102,1624181092.161735296,27,26,0,0.012538492,0.024325983,1,1,0,0,0,1,-0.006567701,-0.021725112,-0.004915368,-0.000008589,-0.000032192,-0.000025518,0.999999999,2346,1948,0.830349531,0.014044161,0.003032249,0.002554853,0.126733687,108.971822491,1656,0.975753989,159.428837627,331.590544213,1124.829224767,0.098665702,0.096273453,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000605,0.000001686,0.000003586,-0.095384140,-0.995364103,0.012335643,0.000000001,0.000000002,0.000000008,0.000603594,0.011783675,-0.999930388,0.000000000,0.141482414,0.055656289,0.053049669,0.004106502,101.827146098,0,0.108435154,0.105280888,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,281,280,1,0.119778346,71,0,0,0,0,0,0,1994,71,4820,9447,1908,0,0,0,40459
23,1624181092.161800861,1624181092.261734962,28,27,0,0.013360211,0.025365569,1,1,0,0,0,1,-0.007977557,-0.024196814,-0.004765030,0.000010516,-0.000019041,0.000173127,0.999999985,2358,1964,0.832909245,0.013238478,0.002804237,0.002436784,0.122676430,114.192842890,1651,0.976001149,159.231141313,334.401981377,1117.744774773,0.098816759,0.096445270,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000595,0.000001670,0.000003666,-0.104194981,-0.994480001,0.012366645,0.000000001,0.000000002,0.000000009,-0.001549842,0.004034983,-0.999990658,0.000000000,0.139498690,0.059136130,0.050001622,0.004402412,103.238069239,0,0.106868554,0.103839980,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,201,193,8,0.085241730,74,0,0,0,0,0,0,2083,74,4876,9648,1982,0,0,0,42542
24,1624181092.261798382,1624181092.361763716,29,28,0,0.013096681,0.024463966,1,1,0,0,0,1,-0.007657958,-0.020321393,-0.004766253,0.000015185,0.000001695,0.000151135,0.999999988,2373,1994,0.840286557,0.013506697,0.002788900,0.002413586,0.119430898,117.014672175,1678,0.976625035,154.714488718,338.073151952,1145.989168639,0.094408517,0.092201722,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000590,0.000001665,0.000003734,-0.106516402,-0.994266236,0.009429065,0.000000001,0.000000002,0.000000009,-0.002088478,0.008827550,-0.999958855,0.000000000,0.136821920,0.056840341,0.051911025,0.004074318,104.688915553,0,0.105256633,0.102352455,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,179,173,6,0.075431943,66,0,0,0,0,0,0,2127,67,4927,9827,2048,0,0,0,44669
25,1624181092.361795902,1624181092.461874962,30,29,0,0.013016369,0.024501333,1,1,0,0,0,1,-0.007789780,-0.017185229,-0.004457198,-0.000008207,-0.000030530,0.000077950,0.999999996,2378,1985,0.834735071,0.013398011,0.002710732,0.002371744,0.122728485,112.729189471,1658,0.976757165,154.234375392,340.924772497,1124.304231669,0.095237952,0.093024352,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000589,0.000001640,0.000003650,-0.093595227,-0.995591438,0.006133674,0.000000001,0.000000002,0.000000008,0.001594243,-0.010030079,0.999948427,0.000000000,0.134743128,0.051445249,0.053516438,0.004022367,105.880797126,0,0.103703923,0.100903669,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,203,196,7,0.085365854,54,0,0,0,0,0,0,2120,55,4984,10030,2102,0,0,0,46789
26,1624181092.461793423,1624181092.561836243,31,30,0,0.013240801,0.025563863,1,1,0,0,0,1,-0.007423672,-0.019310977,-0.004769487,-0.000007087,-0.000042865,0.000171063,0.999999984,2348,1977,0.841993186,0.013236049,0.002555404,0.002260835,0.119153454,114.421375370,1660,0.978048455,147.332802014,336.448860760,1139.778772521,0.090746731,0.088754700,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000588,0.000001653,0.000003652,-0.082534373,-0.996529854,0.010785536,0.000000001,0.000000002,0.000000008,0.000305894,0.009303463,-0.999956675,0.000000000,0.132889121,0.047298798,0.054171491,0.004025673,106.977145785,0,0.102273810,0.099563309,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,164,161,3,0.069846678,59,0,0,0,0,0,0,2124,60,5033,10194,2161,0,0,0,48913
27,1624181092.561790943,1624181092.661748648,32,31,0,0.012768117,0.026309971,1,1,0,0,0,1,-0.009008884,-0.019106377,-0.005099517,-0.000013301,-0.000028098,0.000162582,0.999999986,2386,2012,0.843252305,0.013463332,0.002508979,0.002158669,0.120812639,112.493211197,1676,0.975372930,159.097363849,334.329752269,1141.297915331,0.097323624,0.094926828,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000579,0.000001624,0.000003619,-0.076882785,-0.996957527,0.012834565,0.000000001,0.000000002,0.000000008,-0.005016528,0.011715303,-0.999918790,0.000000000,0.131357645,0.043716405,0.053426230,0.003789650,107.800753340,0,0.101255860,0.098606115,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,174,169,5,0.072925398,43,0,0,0,0,0,0,2168,44,5090,10368,2204,0,0,0,51081
28,1624181092.661788702,1624181092.761736155,33,32,0,0.012817407,0.025220177,1,1,0,0,0,1,-0.010994818,-0.021129252,-0.004601562,0.000002595,-0.000014658,0.000201321,0.999999980,2332,1974,0.846483705,0.012784926,0.002438117,0.002118476,0.120266690,112.955678712,1669,0.977032225,151.955062418,339.290684708,1139.421035840,0.093185845,0.091045574,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000583,0.000001651,0.000003645,-0.089184984,-0.995930525,0.012977979,0.000000001,0.000000002,0.000000008,-0.005381827,0.004087858,-0.999977162,0.000000000,0.130171261,0.045780340,0.052637554,0.003730409,108.380651362,0,0.100395647,0.097807403,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,155,152,3,0.066466552,51,0,0,0,0,0,0,2126,51,5126,10523,2255,0,0,0,53207
