frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_retry_performed,transition_guard_conservative_selected,transition_guard_measurement_noise_scale,transition_guard_pause_frames_remaining,transition_guard_history_ready,lidar_correction_translation,lidar_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,transition_guard_conservative_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.861832380,1624181090.961721897,14,14,0,0.012873842,0.024093260,1,0,0,0,0,-0.006378853,-0.012219233,-0.004602102,-0.000006309,-0.000005895,0.000142874,0.999999990,2352,1904,0.809523810,0.014743151,0.003268950,0.002778607,0.139180325,102.266318070,1604,0.971702021,170.138045612,333.429114546,1055.042881556,0.109160111,0.106071101,0,0,0,0,1.000000000,0,0,0.004632036,0.000259219,0.100000000,0.030000000,0.902055233,0.014743151,0.000000000,0.000000632,0.000001740,0.000003612,-0.079273441,-0.996801390,0.010134585,0.000000001,0.000000002,0.000000008,-0.007257544,0.012843604,-0.999891179,0.000000000,0.154888275,0.035738145,0.037135756,0.001547560,92.635551081,0,0.125061709,0.120499999,368,358,10,0.156462585,83,0,0,0,0,0,1901,83,4134,6547,1097,0,0,18326
12,1624181090.961829901,1624181091.061767101,16,15,0,0.013354429,0.027166466,1,0,0,0,0,-0.007143670,-0.011633256,-0.005137624,-0.000014181,-0.000000301,0.000168118,0.999999986,2347,1904,0.811248402,0.015098631,0.003248644,0.002723342,0.143140118,102.735782212,1586,0.972829090,169.960238380,330.332495998,1042.614202765,0.110155859,0.107162824,0,0,0,0,1.000000000,0,0,0.002491977,0.000019673,0.100000000,0.030000000,0.913305797,0.015098631,0.000000000,0.000000625,0.000001730,0.000003595,-0.098964499,-0.995029172,0.011089432,0.000000001,0.000000002,0.000000008,-0.004625660,0.013010904,-0.999904655,0.000000000,0.153909262,0.034260252,0.038238071,0.001598048,93.477237008,0,0.123819555,0.119388568,344,336,8,0.146570089,85,0,0,0,0,0,1917,86,4224,6891,1182,0,0,20243
13,1624181091.061827421,1624181091.161813259,17,16,0,0.012797584,0.026389048,1,0,0,0,0,-0.006651894,-0.014287518,-0.004897081,-0.000007027,-0.000017577,0.000082862,0.999999996,2375,1932,0.813473684,0.014312161,0.003518167,0.002860167,0.136909547,106.425448550,1606,0.972745771,167.858325619,335.523046064,1058.848337279,0.107447915,0.104519505,0,0,0,0,1.000000000,0,0,0.002246742,0.000156787,0.100000000,0.030000000,0.895600026,0.014312161,0.000000000,0.000000617,0.000001696,0.000003626,-0.092359467,-0.995669677,0.010565180,0.000000001,0.000000002,0.000000009,-0.005330731,0.006472057,-0.999964847,0.000000000,0.152601592,0.035195256,0.040948202,0.001768561,94.473253281,0,0.122560198,0.118244794,289,277,12,0.121684211,92,0,0,0,0,0,1994,92,4316,7180,1274,0,0,22237
14,1624181091.161825180,1624181091.261812449,17,17,0,0.013256795,0.025034932,1,0,0,0,0,-0.005729134,-0.012973663,-0.004573670,0.000009270,0.000002246,0.000101664,0.999999995,2369,1936,0.817222457,0.014544986,0.003308261,0.002821204,0.136098588,109.051722524,1622,0.972832637,170.648346050,324.022242808,1083.263947898,0.108146658,0.105208598,0,0,0,0,1.000000000,0,0,0.003238642,0.000041712,0.100000000,0.030000000,0.906252086,0.014544986,0.000000000,0.000000610,0.000001717,0.000003598,-0.096215416,-0.995325640,0.008334488,0.000000001,0.000000002,0.000000009,-0.002490928,0.000727820,-0.999996633,0.000000000,0.151422806,0.034660748,0.042585974,0.001806165,95.514572512,0,0.121530660,0.117313637,253,247,6,0.106796117,83,0,0,0,0,0,2033,83,4384,7433,1357,0,0,24270
15,1624181091.261822701,1624181091.361767054,19,18,0,0.013420033,0.025407400,1,0,0,0,0,-0.003839892,-0.013906776,-0.004687563,-0.000005058,0.000006711,0.000023895,1.000000000,2373,1917,0.807838180,0.014811519,0.003174322,0.002722773,0.137238057,104.151291947,1619,0.972024720,163.384049253,337.529983966,1072.793988654,0.103821069,0.100916646,0,0,0,0,1.000000000,0,0,0.001574331,0.000192309,0.100000000,0.030000000,0.880016772,0.014811519,0.000000000,0.000000619,0.000001718,0.000003535,-0.091886706,-0.995722133,0.009709166,0.000000001,0.000000002,0.000000008,-0.003991736,0.001505618,-0.999990900,0.000000000,0.150477156,0.033543392,0.044696165,0.001961704,96.090353808,0,0.120350020,0.116220504,286,280,6,0.120522545,84,0,0,0,0,0,2003,84,4461,7719,1441,0,0,26273
16,1624181091.361820221,1624181091.461771488,20,19,0,0.013218389,0.026174667,1,0,0,0,0,-0.001512016,-0.013114047,-0.004864411,0.000014419,0.000002547,-0.000005562,1.000000000,2365,1923,0.813107822,0.013812569,0.003031127,0.002490898,0.133435948,107.525873288,1616,0.973320670,164.444722086,335.146088592,1073.295392100,0.104549663,0.101760348,0,0,0,0,1.000000000,0,1,0.001928430,0.000054454,0.100000000,0.030000000,0.896510020,0.013812569,0.000000000,0.000000613,0.000001703,0.000003594,-0.098852568,-0.995070245,0.007960938,0.000000001,0.000000002,0.000000008,-0.003628792,0.012940105,-0.999909689,0.000000000,0.149412080,0.037185473,0.047161667,0.002020617,96.805073775,0,0.119362498,0.115316745,266,259,7,0.112473573,74,0,0,0,0,0,2024,75,4531,7985,1515,0,0,28297
17,1624181091.461817741,1624181091.561782360,21,20,0,0.013214105,0.025940849,1,0,0,0,0,-0.001898780,-0.012889751,-0.004927497,0.000005721,-0.000021391,-0.000005553,1.000000000,2331,1929,0.827541828,0.014263942,0.003043404,0.002571339,0.137205162,106.092095603,1627,0.974276609,166.405227002,327.546621265,1091.196193886,0.104977720,0.102277337,0,0,0,0,1.000000000,0,1,0.002283197,0.000071906,0.100000000,0.030000000,0.904175505,0.014263942,0.000000000,0.000000609,0.000001717,0.000003517,-0.092801214,-0.995651394,0.008138525,0.000000001,0.000000002,0.000000008,-0.003397570,0.007757750,-0.999964136,0.000000000,0.148694026,0.037289448,0.047613192,0.002020634,97.351369177,0,0.118516335,0.114549721,260,257,3,0.111540112,89,0,0,0,0,0,1982,89,4571,8245,1604,0,0,30279
18,1624181091.561815262,1624181091.661733627,21,21,0,0.013099342,0.025465598,1,0,0,0,0,-0.003837914,-0.013136875,-0.005110668,0.000000484,-0.000017085,0.000125662,0.999999992,2338,1926,0.823781009,0.013855203,0.003118240,0.002585181,0.131953617,109.083858728,1631,0.974143089,171.551545166,334.485110394,1082.790723100,0.107973684,0.105181818,0,0,0,0,1.000000000,0,1,0.002818494,0.000273759,0.100000000,0.030000000,0.934125365,0.013855203,0.000000000,0.000000612,0.000001719,0.000003556,-0.099683191,-0.995004243,0.005460566,0.000000001,0.000000002,0.000000008,-0.005026269,0.014850257,-0.999877096,0.000000000,0.147764004,0.039238614,0.049576572,0.002283063,98.003174152,0,0.117930632,0.114029282,250,244,6,0.106928999,78,0,0,0,0,0,2010,78,4625,8495,1682,0,0,32289
19,1624181091.661813021,1624181091.761733532,23,22,0,0.013252483,0.024768406,1,0,0,0,0,-0.006956205,-0.016708229,-0.005244547,-0.000012470,-0.000011276,0.000161635,0.999999987,2329,1918,0.823529412,0.013998936,0.002949607,0.002415828,0.130525725,109.132853602,1622,0.974636565,162.016357398,328.125160427,1090.718990333,0.102486182,0.099886780,0,0,0,0,1.000000000,0,1,0.004456234,0.000079911,0.100000000,0.030000000,0.904084910,0.013998936,0.000000000,0.000000615,0.000001713,0.000003579,-0.101109183,-0.994852851,0.006688601,0.000000001,0.000000002,0.000000008,-0.005363259,0.014914813,-0.999874384,0.000000000,0.146856726,0.039960735,0.054319592,0.002355010,98.588946755,0,0.117117766,0.113284939,277,273,4,0.118935165,67,0,0,0,0,0,1984,68,4678,8772,1749,0,0,34273
20,1624181091.761810541,1624181091.861697197,24,23,0,0.012782362,0.025041461,1,0,0,0,1,-0.007706340,-0.017184693,-0.004971066,-0.000000280,-0.000022033,0.000060308,0.999999998,2349,1945,0.828011920,0.013411134,0.002851816,0.002464034,0.132883302,109.193162664,1635,0.972984476,163.451645064,334.104347060,1093.273626920,0.102746167,0.099970425,0,0,0,0,1.000000000,0,1,0.001466988,0.000242947,0.100000000,0.030000000,0.924557959,0.013411134,0.000000000,0.000000609,0.000001701,0.000003563,-0.104406345,-0.994520919,0.005239980,0.000000001,0.000000002,0.000000008,-0.004640597,0.016579094,-0.999851788,0.000000000,0.146158055,0.043646092,0.055249383,0.002557664,99.119157550,0,0.116399186,0.112619214,198,195,3,0.084291188,61,0,0,0,0,0,2089,62,4721,8970,1810,0,0,36362
21,1624181091.861808062,1624181091.961688757,24,24,0,0.012429259,0.024127153,1,0,0,0,1,-0.006845186,-0.019522312,-0.005097990,-0.000000685,0.000002958,0.000162852,0.999999987,2372,1957,0.825042159,0.013364722,0.002798241,0.002365212,0.125559584,111.332695280,1665,0.973416935,167.739753799,336.731258438,1116.268184997,0.103495833,0.100744597,0,0,0,0,1.000000000,0,1,0.002490045,0.000224969,0.100000000,0.030000000,0.935403766,0.013364722,0.000000000,0.000000602,0.000001711,0.000003567,-0.095907110,-0.995377629,0.005020146,0.000000001,0.000000002,0.000000008,-0.003039526,0.010851675,-0.999936499,0.000000000,0.143599276,0.045878810,0.054362529,0.002589376,101.426652629,0,0.114065402,0.110521700,281,271,10,0.118465430,67,0,0,0,0,0,2024,67,4791,9251,1877,0,0,38386
22,1624181092.061803102,1624181092.161735296,26,25,0,0.013375354,0.026307695,1,0,0,0,1,-0.006289599,-0.020962372,-0.005239619,0.000002289,0.000004946,0.000012148,1.000000000,2346,1951,0.831628303,0.013557432,0.003055781,0.002578666,0.124703764,112.484250445,1656,0.975934323,165.366566005,335.451567174,1115.329105189,0.102321473,0.099859037,0,0,0,0,1.000000000,0,1,0.002333323,0.000392894,0.100000000,0.030000000,0.928879084,0.013557432,0.000000000,0.000000733,0.000002183,0.000004747,-0.099844331,-0.994976944,0.007210476,0.000000001,0.000000002,0.000000009,-0.007380972,0.015053214,-0.999859451,0.000000000,0.141017578,0.041828262,0.052315403,0.002833813,103.298207493,0,0.111988858,0.108632187,248,247,1,0.105711850,68,0,0,0,0,0,2030,68,4835,9499,1945,0,0,40416
23,1624181092.161800861,1624181092.261734962,27,26,0,0.013360211,0.025365569,1,0,0,0,1,-0.004942179,-0.019629100,-0.004810978,0.000013203,0.000000798,0.000033629,0.999999999,2357,1962,0.832414086,0.013781933,0.002775870,0.002438967,0.128587349,113.306391658,1651,0.973952734,164.852064917,337.145455402,1105.998444105,0.102520198,0.099849827,0,0,0,0,1.000000000,0,1,0.002787999,0.000088994,0.100000000,0.030000000,0.934908645,0.013781933,0.000000000,0.000000602,0.000001775,0.000003936,-0.111966259,-0.993687043,0.007044001,0.000000001,0.000000002,0.000000009,-0.005798305,0.008158439,-0.999949909,0.000000000,0.138810407,0.041233836,0.047652525,0.002566006,104.761959407,0,0.110347527,0.107123633,203,196,7,0.086126432,78,0,0,0,0,0,2076,78,4878,9702,2023,0,0,42492
24,1624181092.261798382,1624181092.361763716,27,27,0,0.013096681,0.024463966,1,0,0,0,1,-0.003955802,-0.015157119,-0.004946743,0.000016860,0.000025683,-0.000032506,0.999999999,2371,1989,0.838886546,0.014248762,0.002872300,0.002384060,0.128123625,112.183494290,1682,0.974821352,166.681512682,339.769274247,1133.198727406,0.101656794,0.099097213,0,0,0,0,1.000000000,0,1,0.004803822,0.000156084,0.100000000,0.030000000,0.931263194,0.014248762,0.000000000,0.000000596,0.000001688,0.000003641,-0.105869255,-0.994357040,0.006765932,0.000000001,0.000000002,0.000000008,-0.008657492,0.010605718,-0.999906279,0.000000000,0.137557906,0.039799825,0.047904660,0.002540707,105.725465564,0,0.108807759,0.105687587,227,222,5,0.095740194,73,0,0,0,0,0,2070,74,4939,9929,2096,0,0,44562
25,1624181092.361795902,1624181092.461874962,29,28,0,0.013016369,0.024501333,1,0,0,0,1,-0.005407117,-0.015138608,-0.004383815,0.000002466,0.000001480,0.000005966,1.000000000,2378,1973,0.829688814,0.012966767,0.002485698,0.002186856,0.129201079,109.808575862,1666,0.974554850,163.395417271,338.640644355,1121.572318647,0.100637210,0.098076481,0,0,0,0,1.000000000,0,1,0.002767885,0.000101365,0.100000000,0.030000000,0.926222504,0.012966767,0.000000000,0.000000599,0.000001656,0.000003518,-0.085313138,-0.996338978,0.005505312,0.000000001,0.000000002,0.000000008,-0.004238338,0.011861343,-0.999920669,0.000000000,0.136577641,0.041585987,0.046633488,0.002391950,106.377166166,0,0.107768965,0.104737353,187,182,5,0.078637511,58,0,0,0,0,0,2132,59,4999,10116,2154,0,0,46694
26,1624181092.461793423,1624181092.561836243,30,29,0,0.013240801,0.025563863,1,0,0,0,1,-0.003141150,-0.015171219,-0.004667077,-0.000001069,-0.000017203,-0.000047361,0.999999999,2348,1974,0.840715503,0.013826015,0.002642786,0.002346955,0.122949794,115.428052303,1664,0.976390589,159.145505456,338.905152243,1126.663282121,0.097952939,0.095640328,0,0,0,0,1.000000000,0,1,0.002738533,0.000091965,0.100000000,0.030000000,0.905741714,0.013826015,0.000000000,0.000000594,0.000001649,0.000003585,-0.071284744,-0.997415855,0.008949763,0.000000001,0.000000002,0.000000008,-0.006954613,0.004319138,-0.999966489,0.000000000,0.135250688,0.038102850,0.046237307,0.002406734,107.275013242,0,0.106699913,0.103752850,227,224,3,0.096678024,61,0,0,0,0,0,2059,62,5051,10343,2215,0,0,48753
27,1624181092.561790943,1624181092.661748648,31,30,0,0.012768117,0.026309971,1,0,0,0,1,-0.005086912,-0.014496845,-0.005268345,-0.000004979,-0.000005549,0.000009899,1.000000000,2386,2011,0.842833194,0.013880314,0.002742873,0.002399410,0.125486420,113.190527002,1688,0.973912673,165.377504413,338.309151012,1140.277936451,0.100596756,0.097972455,0,0,0,0,1.000000000,0,1,0.003060730,0.000070451,0.100000000,0.030000000,0.930932785,0.013880314,0.000000000,0.000000586,0.000001608,0.000003581,-0.075253633,-0.997125052,0.008861186,0.000000001,0.000000002,0.000000008,0.007320231,-0.006199658,0.999953988,0.000000000,0.134175390,0.036559432,0.044981840,0.002392619,107.804527149,0,0.105699139,0.102824905,182,178,4,0.076278290,55,0,0,0,0,0,2148,56,5104,10525,2270,0,0,50901
28,1624181092.661788702,1624181092.761736155,31,31,0,0.012817407,0.025220177,1,0,0,0,1,-0.007347397,-0.016945774,-0.004969506,0.000011216,0.000008179,0.000055867,0.999999998,2333,1975,0.846549507,0.012591273,0.002456143,0.002141500,0.121306910,115.260883188,1661,0.975660465,157.355168183,334.011185224,1129.205679756,0.097098534,0.094735201,0,0,0,0,1.000000000,0,1,0.003674900,0.000083749,0.100000000,0.030000000,0.899279623,0.012591273,0.000000000,0.000000586,0.000001662,0.000003658,-0.086327194,-0.996202959,0.011281810,0.000000001,0.000000002,0.000000008,-0.004606524,0.005468475,-0.999974438,0.000000000,0.132638544,0.042928333,0.044084320,0.002373098,108.564616517,0,0.104774666,0.101970554,153,150,3,0.065580797,56,0,0,0,0,0,2124,56,5143,10678,2326,0,0,53025
29,1624181092.861783743,1624181092.961729527,33,32,0,0.013442316,0.026313403,1,0,0,0,1,-0.008915299,-0.016307378,-0.004577844,0.000011773,-0.000000919,-0.000022203,1.000000000,2340,1978,0.845299145,0.012701808,0.002328276,0.001976937,0.121662908,117.088477761,1681,0.977369716,156.977633957,336.917344897,1149.063513067,0.095545709,0.093383482,0,0,0,0,1.000000000,0,1,0.002082848,0.000195670,0.100000000,0.030000000,0.887057837,0.012701808,0.000000000,0.000000709,0.000002160,0.000004836,-0.101542786,-0.994770468,0.010989962,0.000000001,0.000000002,0.000000009,-0.009281336,0.005345505,-0.999942640,0.000000000,0.131385212,0.047305935,0.041591049,0.002479336,109.421550193,0,0.103721026,0.101000366,183,177,6,0.078205128,51,0,0,0,0,0,2106,51,5187,10861,2377,0,0,55131
30,1624181092.961781263,1624181093.061702490,34,33,0,0.012006808,0.027462525,1,0,0,0,1,-0.005437236,-0.019638497,-0.004845776,0.000003077,-0.000017905,-0.000037318,0.999999999,2383,1999,0.838858582,0.013569367,0.002549641,0.002175175,0.129224962,112.677378418,1680,0.976208766,167.331980739,333.655485229,1139.043261354,0.102029784,0.099602369,0,0,0,0,1.000000000,0,1,0.005538415,0.000029893,0.100000000,0.030000000,0.949574345,0.013569367,0.000000000,0.000000594,0.000001756,0.000003871,-0.106668264,-0.994247742,0.009659618,0.000000001,0.000000002,0.000000008,-0.006784323,0.007454633,-0.999949199,0.000000000,0.130768839,0.047308588,0.044575950,0.002268258,109.920956670,0,0.103266013,0.100595819,207,205,2,0.086865296,63,0,0,0,0,0,2113,63,5236,11068,2440,0,0,57244
