frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1517157222.214606047,1517157222.315445185,32,31,0,0.010565074,0.015117238,0,1,0,0,0,0.062232067,-0.013714570,-0.044639226,0.010464926,-0.002776299,0.014092302,0.999842080,787,558,0.709021601,0.031790661,0.017880652,0.013319483,0.620702051,20.900904976,497,0.913517806,93.256280466,147.925504281,212.836564986,0.205402007,0.187638391,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002960,0.000004154,0.000004915,-0.160241230,0.509189432,-0.845605624,0.000000024,0.000000027,0.000002679,0.941089779,0.334929772,-0.046605535,0.000000000,0.591399731,0.303881612,0.173643334,0.026961478,24.400132903,0,115,110,5,0.146124524,0,0,0,0,0,0,672,0,1711,2429,0,0,0,6127
12,1517157222.315465927,1517157222.416305304,33,32,0,0.004658539,0.007273003,0,1,0,0,0,0.063317826,-0.014713858,-0.037942787,0.010226222,-0.002486931,0.013915815,0.999847783,792,566,0.714646465,0.025984897,0.015543283,0.010586162,0.590392698,21.469383918,502,0.919621358,94.187549984,154.008177176,213.454194341,0.204023754,0.187624602,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002912,0.000004082,0.000004756,0.000053763,0.524543506,-0.851383643,0.000000022,0.000000024,0.000002281,0.942343747,0.330951622,-0.049591196,0.000000000,0.591315811,0.308193080,0.180500428,0.027307225,24.155903820,0,86,86,0,0.108585859,0,0,0,0,0,0,706,0,1726,2515,0,0,0,6833
13,1517157222.416326046,1517157222.517165184,34,33,0,0.003233778,0.004478988,0,1,0,0,0,0.063274067,-0.015117125,-0.031795159,0.009959080,-0.002537229,0.014150300,0.999847062,792,564,0.712121212,0.025878640,0.015132061,0.010690119,0.595063643,22.603775555,498,0.918935309,94.458803630,147.800765705,215.370214491,0.206408776,0.189676313,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002843,0.000004007,0.000004674,0.029674762,0.521230020,-0.852900155,0.000000020,0.000000023,0.000002328,0.941994020,0.332098410,-0.048558342,0.000000000,0.591604106,0.310760435,0.186661424,0.027776636,24.036509338,0,64,64,0,0.080808081,0,0,0,0,0,0,728,0,1738,2579,0,0,0,7561
14,1517157222.517185926,1517157222.618025303,35,34,0,0.002505528,0.004306712,0,1,0,0,0,0.063056053,-0.017682032,-0.027257661,0.008642636,-0.002860033,0.014049714,0.999859855,805,587,0.729192547,0.026135808,0.015026179,0.010221331,0.582459622,25.085787538,508,0.920087027,95.500600758,155.612384008,216.291224911,0.204321225,0.187993309,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002759,0.000003982,0.000004336,0.061457709,0.572394334,-0.817672108,0.000000014,0.000000023,0.000002199,0.941161023,0.334623283,-0.047362304,0.000000000,0.590950929,0.311289408,0.191878240,0.027976303,24.111457781,0,57,56,1,0.070807453,0,0,0,0,0,0,748,0,1746,2636,0,0,0,8309
15,1517157222.618046045,1517157222.718885183,36,35,0,0.003254105,0.006264696,0,1,0,0,0,0.062623533,-0.017711397,-0.025544549,0.008414666,-0.002891784,0.014100756,0.999860990,790,576,0.729113924,0.025062434,0.014325554,0.009716916,0.602407711,21.658638625,510,0.917106837,100.407189020,152.216662179,215.100635878,0.214671653,0.196876841,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002752,0.000003900,0.000004330,-0.022636631,0.518585955,-0.854725798,0.000000021,0.000000021,0.000002385,0.941736641,0.333039235,-0.047084680,0.000000000,0.591714714,0.313133021,0.193645353,0.028079225,23.947936504,0,47,47,0,0.059493671,0,0,0,0,0,0,743,0,1754,2683,0,0,0,9052
16,1517157222.718905926,1517157222.819745302,36,36,0,0.003195467,0.006047802,0,1,0,0,0,0.061457608,-0.017028461,-0.026687390,0.008811323,-0.002840760,0.014047998,0.999858462,783,572,0.730523627,0.024884904,0.013651687,0.009558249,0.616240114,20.593780010,501,0.920381349,98.446313097,151.766238227,210.898504495,0.213498054,0.196499627,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002762,0.000003872,0.000004287,-0.103094865,0.503272506,-0.857955846,0.000000022,0.000000024,0.000002343,0.940922514,0.335457883,-0.046182580,0.000000000,0.593247552,0.314284765,0.195415062,0.028186252,23.738301723,0,35,35,0,0.044699872,0,0,0,0,0,0,748,0,1757,2718,0,0,0,9800
17,1517157222.920625925,1517157223.021395206,38,37,0,0.002335310,0.004599087,0,1,0,0,0,0.059381755,-0.017644685,-0.027789933,0.008595528,-0.003033217,0.014144252,0.999858418,781,551,0.705505762,0.072892796,0.040504001,0.028253708,0.587284247,20.018591282,507,0.917804802,100.279748504,153.949721260,211.097565094,0.215503809,0.197790431,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003659,0.000005285,0.000005725,0.116250719,0.565597761,-0.816446534,0.000000022,0.000000033,0.000002516,0.940211824,0.337700839,-0.044270403,0.000000000,0.592896769,0.391138664,0.197844979,0.028376794,23.519495227,0,51,49,2,0.065300896,0,0,0,0,0,0,730,0,1765,2769,0,0,0,10530
18,1517157223.021415949,1517157223.122255325,39,38,0,0.002011554,0.003463325,0,1,0,0,0,0.059217514,-0.014979771,-0.029335493,0.008323785,-0.003084444,0.014193034,0.999859869,783,582,0.743295019,0.024101094,0.013810236,0.009426268,0.613786328,21.197384133,511,0.919918560,100.227778311,156.018512962,213.832092650,0.213215033,0.196140466,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002961,0.000004198,0.000004561,-0.020794067,0.545719401,-0.837709939,0.000000021,0.000000022,0.000002260,0.940418054,0.336790526,-0.046754955,0.000000000,0.594057300,0.393749764,0.200930023,0.028475240,23.390489055,0,32,32,0,0.040868455,0,0,0,0,0,0,751,0,1767,2801,0,0,0,11281
19,1517157223.122276068,1517157223.223115206,40,39,0,0.001839246,0.003234359,0,1,0,0,0,0.060400114,-0.013440482,-0.031057678,0.008904932,-0.002657160,0.014068056,0.999857856,786,577,0.734096692,0.024029899,0.013324489,0.009649848,0.578527379,21.087511007,504,0.916362963,99.685079068,153.664795432,208.497058630,0.215840080,0.197787855,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002761,0.000003954,0.000004228,-0.018014309,0.542827870,-0.839650754,0.000000021,0.000000022,0.000002403,0.942177883,0.332063741,-0.045105536,0.000000000,0.593239936,0.395550988,0.203524994,0.028721438,23.269279684,0,41,41,0,0.052162850,0,0,0,0,0,0,745,0,1768,2842,0,0,0,12026
20,1517157223.223135948,1517157223.323975325,41,40,0,0.001558787,0.002357438,0,1,0,0,1,0.060161985,-0.013013138,-0.025249636,0.007971129,-0.002630735,0.014120537,0.999865066,787,575,0.730622618,0.026195657,0.014906469,0.010073781,0.595198818,23.188639027,515,0.920628419,96.243687533,161.406037016,216.473911448,0.202992807,0.186880947,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002734,0.000003856,0.000004183,0.017987711,0.539355985,-0.841885719,0.000000018,0.000000022,0.000002360,0.941006428,0.335225330,-0.046161472,0.000000000,0.593337880,0.393259786,0.209353603,0.028832006,23.265247651,0,56,56,0,0.071156290,0,0,0,0,0,0,731,0,1775,2898,0,0,0,12757
21,1517157223.323996067,1517157223.424835205,42,41,0,0.001738335,0.003164957,0,1,0,0,1,0.059903755,-0.013566081,-0.024207354,0.008670997,-0.002592652,0.014283048,0.999857033,789,575,0.728770596,0.024315836,0.013894158,0.009675218,0.623877483,21.686289195,515,0.917844652,98.867134956,161.590156485,212.232704174,0.209158510,0.191975019,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002747,0.000003779,0.000004206,-0.044128083,0.488445240,-0.871478032,0.000000020,0.000000021,0.000002190,0.940986516,0.335285719,-0.046128776,0.000000000,0.596298884,0.404695294,0.201890731,0.028196529,22.739737802,0,37,37,0,0.046894804,0,0,0,0,0,0,752,0,1782,2935,0,0,0,13509
22,1517157223.424855947,1517157223.525695324,43,42,0,0.001549112,0.002763015,0,1,0,0,1,0.059639057,-0.013385114,-0.025832654,0.008547433,-0.002784346,0.014001815,0.999861559,795,578,0.727044025,0.023154975,0.013302540,0.009326291,0.576519905,21.980588584,518,0.919325598,101.006158216,160.327949968,214.876551727,0.212103942,0.194992583,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002732,0.000003793,0.000004244,-0.004218292,0.501580438,-0.865100728,0.000000020,0.000000024,0.000002324,0.943435366,0.328188154,-0.047140696,0.000000000,0.592133955,0.402222561,0.192617659,0.025915602,22.405873687,0,35,35,0,0.044025157,0,0,0,0,0,0,760,0,1787,2970,0,0,0,14269
23,1517157223.525716066,1517157223.626555204,44,43,0,0.001984085,0.003360727,0,1,0,0,1,0.059403288,-0.013286901,-0.027400668,0.009311758,-0.002806044,0.013983136,0.999854934,792,573,0.723484848,0.023220500,0.013607649,0.009390462,0.589456807,22.771155203,513,0.918269667,99.363779528,161.033850927,210.674708666,0.210931042,0.193691578,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002733,0.000003802,0.000004268,0.054833386,0.523515163,-0.850250066,0.000000019,0.000000023,0.000002181,0.942165330,0.331744452,-0.047645667,0.000000000,0.590365886,0.407850948,0.143879318,0.016960506,22.205333971,0,30,30,0,0.037878788,0,0,0,0,0,0,762,0,1794,3000,0,0,0,15031
24,1517157223.626575947,1517157223.727415323,45,44,0,0.001965186,0.002885895,0,1,0,0,1,0.057617992,-0.012581756,-0.028813655,0.009113166,-0.002762053,0.014221884,0.999853519,787,569,0.722998729,0.022363542,0.012370707,0.009063082,0.589597266,21.112134117,513,0.920312925,97.959895010,159.562024235,214.598611357,0.207489166,0.190954961,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002732,0.000003821,0.000004270,0.011209384,0.512001402,-0.858911470,0.000000022,0.000000025,0.000002216,0.942377921,0.331621081,-0.044173659,0.000000000,0.588893296,0.417242450,0.122241937,0.009917868,22.189272867,0,26,26,0,0.033036849,0,0,0,0,0,0,761,0,1795,3026,0,0,0,15792
25,1517157223.727436066,1517157223.828275204,46,45,0,0.013599309,0.040079697,0,1,0,0,1,0.056193827,-0.012855342,-0.029959177,0.009161559,-0.002454547,0.014292676,0.999852869,792,571,0.720959596,0.024478116,0.014978779,0.010395753,0.610069942,20.912293111,515,0.918184429,95.673208986,161.913496517,215.278275234,0.202326696,0.185773221,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002749,0.000003800,0.000004240,-0.077548517,0.492612633,-0.866786606,0.000000022,0.000000024,0.000002257,0.942217713,0.331845278,-0.045874750,0.000000000,0.592092245,0.424859627,0.092824466,0.009180384,22.061720437,0,29,29,0,0.036616162,0,0,0,0,0,0,763,0,1796,3055,0,0,0,16555
26,1517157223.828295946,1517157223.929135323,47,46,0,0.039453074,0.088241863,0,1,0,0,1,0.062709726,-0.009530577,-0.035257498,0.010087133,-0.004329255,0.013878481,0.999843435,785,554,0.705732484,0.029344920,0.015302547,0.010974892,0.564672314,22.853761769,495,0.913082684,94.909100003,144.471630439,212.595198051,0.209987068,0.191735556,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002686,0.000003834,0.000004533,-0.097805698,0.414031150,-0.904992957,0.000000021,0.000000039,0.000002279,0.944570537,0.324086658,-0.052481791,0.000000000,0.589548171,0.387764805,0.088856913,0.009830446,22.049308869,0,116,111,5,0.147770701,0,0,0,0,0,0,669,0,1849,3171,0,0,0,17224
27,1517157223.929156065,1517157224.029935360,48,47,0,0.053921230,0.098715517,0,1,0,0,1,0.068337677,-0.004175179,-0.038998427,0.009973555,-0.005687205,0.015350986,0.999816249,767,541,0.705345502,0.034217266,0.019101030,0.013671437,0.590271699,23.932101355,480,0.915666966,94.418762961,137.924453654,207.176926937,0.214822379,0.196705756,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002818,0.000003824,0.000004739,-0.131589596,0.415530658,-0.900010250,0.000000020,0.000000054,0.000002499,0.944170469,0.324515071,-0.056851510,0.000000000,0.592026459,0.366802328,0.083548422,0.009825580,21.952189144,0,145,131,14,0.189048240,0,0,0,0,0,0,622,0,1924,3316,0,0,0,17846
28,1517157224.029957056,1517157224.130795240,49,48,0,0.018546515,0.033692802,0,1,0,0,1,0.086033739,-0.003160234,-0.038264039,0.007714606,-0.006574331,0.015713869,0.999825153,785,543,0.691719745,0.029266845,0.014738971,0.010902791,0.630655697,24.022501560,481,0.910435970,100.269075020,133.148220514,204.502405991,0.228966805,0.208459615,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002846,0.000003735,0.000004841,-0.122209435,0.406294023,-0.905533004,0.000000020,0.000000056,0.000002274,0.941261260,0.333624678,-0.052171021,0.000000000,0.595206677,0.367787492,0.090810193,0.009820947,22.008096218,0,144,115,29,0.183439490,0,0,0,0,0,0,641,0,1996,3460,0,0,0,18487
29,1517157224.130816936,1517157224.231655359,50,49,0,0.048075419,0.123903638,0,1,0,0,1,0.109489257,0.003283719,-0.045234027,0.010306214,-0.009664587,0.016719096,0.999760396,762,532,0.698162730,0.029230062,0.016388024,0.012393318,0.621577669,25.569235679,480,0.904069187,96.447980370,132.590000485,204.915228847,0.222254331,0.200933292,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002911,0.000003742,0.000004967,-0.149235262,0.412776547,-0.898523433,0.000000019,0.000000040,0.000002504,0.941289952,0.333194720,-0.054355356,0.000000000,0.597494289,0.366190895,0.111252846,0.010667922,22.150525825,0,126,117,9,0.165354331,0,0,0,0,0,0,636,0,2044,3586,0,0,0,19123
30,1517157224.231677055,1517157224.332516193,51,50,0,0.047566016,0.117383167,0,1,0,0,1,0.140321394,0.007674934,-0.051581351,0.010314749,-0.010646485,0.017965119,0.999728720,788,546,0.692893401,0.035568956,0.018196603,0.013079970,0.624970140,22.687823176,484,0.912261006,96.465519640,141.686947167,203.381859997,0.218477961,0.199308925,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002836,0.000003699,0.000004882,-0.167661867,0.412276008,-0.895498739,0.000000022,0.000000047,0.000002312,0.940878677,0.333814734,-0.057576371,0.000000000,0.600186577,0.366416680,0.136877194,0.012343450,22.266613991,0,176,161,15,0.223350254,0,0,0,0,0,0,612,0,2122,3762,0,0,0,19735
31,1517157224.332536936,1517157224.433376312,52,51,0,0.039664393,0.085932978,0,1,0,0,1,0.178848365,0.010119432,-0.052921392,0.009845695,-0.010677406,0.018389535,0.999725402,787,548,0.696315121,0.027587276,0.015528731,0.010523939,0.582254714,24.484834155,501,0.913907384,98.825369551,144.696267029,214.345962951,0.215838311,0.197256227,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002747,0.000003769,0.000004862,-0.160639997,0.399821785,-0.902406411,0.000000019,0.000000026,0.000002250,0.942474103,0.329692981,-0.055182464,0.000000000,0.598264210,0.368612143,0.168647795,0.012856365,22.445810450,0,121,113,8,0.153748412,0,0,0,0,0,0,666,0,2149,3883,0,0,0,20401
32,1517157224.433397055,1517157224.534236193,53,52,0,0.042036732,0.081218308,0,1,0,0,1,0.224950466,0.012475424,-0.053925125,0.007977179,-0.011589002,0.018767740,0.999724878,779,557,0.715019255,0.032073664,0.020661632,0.014959059,0.588031893,24.634961223,516,0.914562130,98.523576969,155.290018962,218.100463160,0.208774405,0.190937165,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002713,0.000003769,0.000004841,-0.191616259,0.414590407,-0.889605533,0.000000019,0.000000022,0.000002238,0.943253828,0.327721243,-0.053581743,0.000000000,0.598146170,0.364750759,0.208659971,0.013170701,22.604089315,0,110,107,3,0.141206675,0,0,0,0,0,0,669,0,2177,3993,0,0,0,21070
33,1517157224.534256935,1517157224.635096312,54,53,0,0.058547779,0.128298385,0,1,0,0,1,0.276778651,0.013369883,-0.052595489,0.009867752,-0.014036236,0.019780665,0.999657110,784,543,0.692602041,0.032814576,0.016983665,0.012713445,0.629500709,26.817318002,499,0.909981854,93.396313273,142.395792055,218.288839601,0.205682080,0.187166960,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002795,0.000003681,0.000004962,0.237446910,-0.391896188,0.888839886,0.000000017,0.000000037,0.000002576,0.944322354,0.323293041,-0.061130207,0.000000000,0.599868023,0.360439929,0.255296109,0.014908567,22.814766437,0,142,135,7,0.181122449,0,0,0,0,0,0,642,0,2231,4135,0,0,0,21712
34,1517157224.635117054,1517157224.735956192,55,54,0,0.072693132,0.127001727,0,1,0,0,1,0.344559800,0.013684322,-0.043799906,0.005264670,-0.017345630,0.021980930,0.999594043,785,520,0.662420382,0.029481261,0.016083889,0.011996452,0.580352677,24.925813395,504,0.907464412,91.311862939,141.041282951,225.008917633,0.199648966,0.181174331,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002866,0.000003789,0.000005250,0.153075428,-0.395353512,0.905684003,0.000000021,0.000000060,0.000002596,0.947661762,0.313581508,-0.060031842,0.000000000,0.599762676,0.357446465,0.321879163,0.019310943,22.806767730,0,174,159,15,0.221656051,0,0,0,0,0,0,611,0,2301,4309,0,0,0,22323
35,1517157224.735976934,1517157224.836816311,56,55,0,0.058940317,0.091564430,0,1,0,0,1,0.431066353,0.018636966,-0.035643661,0.004541819,-0.017336165,0.024048469,0.999550149,765,528,0.690196078,0.030679344,0.013913089,0.010655925,0.616334865,23.276837287,515,0.908305734,91.950058756,157.816762857,218.010631553,0.196567958,0.178543803,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000002863,0.000003845,0.000005150,-0.111246420,0.409528758,-0.905489056,0.000000023,0.000000039,0.000002525,0.947848038,0.313034259,-0.059947051,0.000000000,0.600459033,0.352346568,0.407140694,0.023367230,22.887677663,0,126,124,2,0.164705882,0,0,0,0,0,0,639,0,2335,4435,0,0,0,22962
