frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_geometry_weak_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
11,1706584506.472582340,1706584506.572411060,52,51,0,0.012967550,0.021201909,1,0,1,0,0,0,-0.048470270,0.005305708,-0.002524169,0.002237253,-0.000087794,0.000612104,0.999997306,1094,855,0.781535649,0.023452602,0.011798956,0.008387408,0.033193754,92.871676477,847,0.945786885,20.709791097,303.440925014,476.930775667,0.025852290,0.024450757,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004693,0.000006721,0.000028838,0.971974171,-0.232700164,0.033419234,0.000000017,0.000000035,0.000001127,0.977655257,-0.210096034,0.007060796,0.272727273,0.026149805,0.075331781,0.197028584,0.003825243,104.141157299,0,0.024016012,0.022866536,1.000000000,228,222,6,0.208409506,40,0,0,0,0,0,0,825,41,2140,3212,1091,57,0,0,7510
12,1706584506.572422504,1706584506.672256708,53,52,0,0.011302497,0.021064260,1,0,1,0,0,0,-0.052301035,0.008521689,-0.003991574,0.002104656,-0.000064316,0.000633560,0.999997582,1089,865,0.794306703,0.026303604,0.011918912,0.007963205,0.037208315,90.680587364,847,0.948863606,20.353113085,306.632819831,476.701541128,0.025324661,0.024029649,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004205,0.000006618,0.000026297,0.970051792,-0.241805110,0.023017596,0.000000014,0.000000036,0.000001056,0.978726456,-0.205089265,0.005737356,0.250000000,0.027071347,0.074163679,0.202241124,0.003868278,103.019443137,0,0.024125066,0.022963462,1.000000000,198,194,4,0.181818182,45,0,0,0,0,0,0,846,45,2201,3410,1136,57,0,0,8356
13,1706584506.673066139,1706584506.772905827,54,53,0,0.010358336,0.014036904,1,0,1,0,0,0,-0.034986320,0.002201893,-0.001581027,0.001260622,0.000297311,0.000620323,0.999998969,1086,867,0.798342541,0.021972843,0.010839825,0.007381492,0.046920627,78.730714019,852,0.951825671,23.866839888,302.422699204,484.665932840,0.029430518,0.028012723,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004242,0.000006524,0.000022539,0.970276278,-0.237628658,0.045788265,0.000000016,0.000000033,0.000001084,0.978335303,-0.206836944,0.008860846,0.230769231,0.028598215,0.077952531,0.220830097,0.003893731,101.151079359,0,0.024533178,0.023351866,1.000000000,165,162,3,0.151933702,48,0,0,0,0,0,0,873,48,2256,3575,1184,57,0,0,9229
14,1706584506.772917271,1706584506.872751713,55,54,0,0.014873983,0.019538328,1,0,1,0,0,0,-0.022096349,-0.002397752,-0.005539860,-0.000132085,0.000042575,0.000379149,0.999999918,1088,887,0.815257353,0.021952092,0.011432296,0.007900828,0.032824040,95.196252707,856,0.955073195,19.492814832,307.751194838,490.298644875,0.023843178,0.022771980,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000004103,0.000006364,0.000024363,0.968395294,-0.247587123,0.030185595,0.000000014,0.000000034,0.000001019,0.978381150,-0.206349021,0.013798818,0.214285714,0.028900060,0.080474965,0.235077219,0.004376839,100.725734598,0,0.024483892,0.023310446,1.000000000,154,153,1,0.141544118,27,0,0,0,0,0,0,907,27,2288,3729,1211,57,0,0,10136
15,1706584506.872763872,1706584506.972592115,56,55,0,0.011720905,0.019870687,1,0,1,0,0,0,-0.025487479,0.000388960,-0.000360674,0.001655991,0.000377559,0.000388675,0.999998482,1064,867,0.814849624,0.021667252,0.011286523,0.007737208,0.030789110,103.109400433,846,0.953015117,19.933481340,293.826076540,492.491231186,0.024723674,0.023562035,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003961,0.000006229,0.000026681,0.969737884,-0.242199907,0.030783787,0.000000014,0.000000028,0.000001066,0.976226191,-0.216425634,0.011931857,0.200000000,0.029025996,0.083081104,0.241866143,0.004397151,100.884645654,0,0.024499878,0.023327218,1.000000000,175,172,3,0.164473684,32,0,0,0,0,0,0,857,32,2330,3904,1243,57,0,0,10993
16,1706584506.972604513,1706584507.072417974,57,56,0,0.013237106,0.026359576,1,0,1,0,0,0,-0.016583364,-0.005200605,-0.002977187,0.001217907,-0.000049230,0.000602831,0.999999075,1095,887,0.810045662,0.022067391,0.010506088,0.007665826,0.043642113,93.859500241,864,0.949624596,24.778486611,308.458900093,487.238264656,0.030200149,0.028678804,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003680,0.000006017,0.000023086,0.969136440,-0.244957290,0.027757636,0.000000010,0.000000028,0.000000979,0.976391023,-0.215867288,0.007866649,0.187500000,0.029939504,0.083618350,0.252700009,0.004824092,100.445574065,0,0.024856145,0.023661693,1.000000000,142,142,0,0.129680365,45,0,0,0,0,0,0,908,45,2364,4046,1288,57,0,0,11901
17,1706584507.072429895,1706584507.172256708,58,57,0,0.013152013,0.021578493,1,0,1,0,0,0,0.003523287,-0.003739957,0.001676101,0.001873554,0.000270545,0.000125550,0.999998200,1069,867,0.811038354,0.020164647,0.011367846,0.008026222,0.031235599,101.771374116,848,0.949820093,20.571991180,303.155971380,481.719476139,0.025541072,0.024259424,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003802,0.000006118,0.000025214,0.969482974,-0.243314626,0.030012607,0.000000013,0.000000029,0.000001046,0.975892214,-0.217975161,0.011009814,0.176470588,0.030015745,0.090417717,0.273389717,0.005777519,100.523562304,0,0.024896435,0.023696853,1.000000000,136,133,3,0.127221703,30,0,0,0,0,0,0,903,30,2401,4182,1318,57,0,0,12804
18,1706584507.173066378,1706584507.271973133,59,58,0,0.012626033,0.018681840,1,0,1,0,0,0,-0.015152420,-0.006368623,0.002717328,0.001335006,0.000343643,0.000871195,0.999998670,1057,853,0.807000946,0.023083562,0.011712093,0.008606665,0.034095529,97.174207999,809,0.950289581,16.667884693,287.777147272,464.339239396,0.021680835,0.020603071,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003783,0.000006072,0.000025228,0.965270374,-0.259717079,0.028286815,0.000000012,0.000000025,0.000001036,0.975361128,-0.220312574,0.011534241,0.166666667,0.030242399,0.088301451,0.292278235,0.007268711,100.337487065,0,0.024717790,0.023524976,1.000000000,110,109,1,0.104068117,46,0,0,0,0,0,0,901,46,2428,4292,1364,57,0,0,13705
19,1706584507.272909164,1706584507.370930672,60,59,0,0.012452788,0.016651287,1,0,1,0,0,0,-0.017990826,-0.008188169,0.000096113,0.000539105,0.000284036,0.000514771,0.999999682,1081,878,0.812210916,0.023722291,0.011646932,0.008207382,0.033270399,102.678956795,838,0.948847866,17.698790284,293.565536069,483.870185756,0.022258863,0.021120275,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003798,0.000005917,0.000025486,0.964513708,-0.260348169,0.043956082,0.000000012,0.000000027,0.000001028,0.976094573,-0.216806467,0.015308191,0.157894737,0.030401768,0.085957469,0.296548839,0.007982168,100.460722314,0,0.024588373,0.023398413,1.000000000,124,120,4,0.114708603,46,0,0,0,0,0,0,911,46,2458,4416,1410,57,0,0,14616
20,1706584507.372763634,1706584507.472606421,61,60,0,0.012639496,0.022864588,1,0,1,0,0,1,-0.040532816,0.005021376,0.004277031,0.001994758,0.000375652,0.000314526,0.999997890,1069,863,0.807296539,0.023382086,0.012128860,0.008334111,0.026784717,114.160710902,844,0.945781950,16.034028268,300.590452746,481.615485178,0.020086727,0.018997664,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003810,0.000005849,0.000028288,0.969015088,-0.244202166,0.037081816,0.000000012,0.000000026,0.000001035,0.975110187,-0.221231989,0.014714998,0.150000000,0.030220915,0.083925494,0.323008497,0.008381466,101.145721743,0,0.024363291,0.023178376,1.000000000,130,126,4,0.121608980,38,0,0,0,0,0,0,901,38,2496,4546,1448,57,0,0,15517
21,1706584507.472617388,1706584507.572454929,62,61,0,0.012524980,0.022346594,1,0,1,0,0,1,-0.028438397,0.004481957,0.004939846,0.002382214,0.000202809,0.000356997,0.999997078,1089,875,0.803489440,0.022750423,0.012439073,0.008676493,0.036130792,97.651141396,870,0.950876807,19.459826380,313.727145660,494.075850286,0.023523149,0.022367617,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003818,0.000005890,0.000025907,0.970798025,-0.234394485,0.051092279,0.000000012,0.000000026,0.000001037,0.974306917,-0.224692556,0.015468886,0.150000000,0.030900608,0.064476092,0.306679811,0.007989158,100.722170250,0,0.024322767,0.023131431,1.000000000,128,128,0,0.117539027,38,0,0,0,0,0,0,923,38,2529,4674,1486,57,0,0,16440
22,1706584507.572466612,1706584507.672288656,63,62,0,0.010190140,0.015634277,1,0,1,0,0,1,-0.045896074,0.007895198,0.007586291,0.003361233,0.000383725,0.000722236,0.999994017,1130,909,0.804424779,0.024725491,0.012861159,0.008438460,0.030514027,109.152773954,881,0.947409763,17.571527345,313.253208088,503.843265925,0.021052116,0.019944980,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003784,0.000005636,0.000026409,0.970514718,-0.235710137,0.050417389,0.000000012,0.000000026,0.000000968,0.976321692,-0.216107143,0.009677590,0.100000000,0.031550785,0.063960565,0.305572791,0.008174459,100.441438276,0,0.024445530,0.023243237,1.000000000,149,145,4,0.131858407,32,0,0,0,0,0,0,946,35,2566,4823,1518,57,0,0,17386
23,1706584507.673099756,1706584507.772921801,64,63,0,0.012853777,0.018519648,1,0,1,0,0,1,-0.041838382,0.007562787,0.003763158,0.002315169,0.000130371,0.000498558,0.999997187,1122,870,0.775401070,0.023249443,0.012729540,0.008682316,0.040412040,88.949608091,879,0.940730901,21.164989541,304.145466136,501.592006682,0.025595509,0.024078486,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003830,0.000005823,0.000023161,0.966052703,-0.255303686,0.039524712,0.000000013,0.000000023,0.000001048,0.974208354,-0.225074238,0.016114268,0.050000000,0.032609638,0.063338231,0.302380125,0.008420069,98.871580504,0,0.024469096,0.023259110,1.000000000,144,141,3,0.128342246,29,0,0,0,0,0,0,945,33,2611,4967,1547,57,0,0,18331
24,1706584507.772933006,1706584507.872766972,65,64,0,0.013453876,0.018961241,1,0,1,0,0,1,-0.019494628,0.004917547,-0.000146805,0.001535697,0.000206034,0.000188709,0.999998782,1098,882,0.803278689,0.023739826,0.011867070,0.008709556,0.035127171,98.968398970,886,0.949430741,20.660113668,320.605405173,499.930118126,0.024560415,0.023318413,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003686,0.000005595,0.000022863,0.967613321,-0.252303458,0.008211307,0.000000011,0.000000026,0.000001007,0.976503400,-0.215461134,0.004196346,0.000000000,0.033484628,0.062458365,0.314932061,0.008573971,97.604561555,0,0.024606956,0.023385266,1.000000000,115,115,0,0.104735883,40,0,0,0,0,0,0,943,40,2634,5082,1587,57,0,0,19274
25,1706584507.872778416,1706584507.972614050,66,65,0,0.014160190,0.022411272,1,0,1,0,0,1,-0.017876929,0.003439424,-0.001931707,0.001663448,0.000072468,0.000366060,0.999998547,1079,847,0.784986098,0.020867195,0.010646359,0.007619056,0.030468974,105.329814775,848,0.944624427,17.018452160,296.505959985,487.517102006,0.021245406,0.020068929,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003707,0.000005599,0.000024821,0.967991896,-0.250941394,0.004483882,0.000000012,0.000000022,0.000001104,0.975556478,-0.218945207,0.018776419,0.000000000,0.033664712,0.065561364,0.281977233,0.008103387,98.054470387,0,0.024499709,0.023268849,1.000000000,110,110,0,0.101946247,28,0,0,0,0,0,0,941,28,2657,5192,1615,57,0,0,20215
26,1706584507.972625494,1706584508.072063923,67,66,0,0.013330730,0.026584567,1,0,1,0,0,1,-0.030357338,0.005016884,-0.005899511,0.001124897,0.000038232,0.000289511,0.999999325,1062,839,0.790018832,0.022830392,0.011193659,0.007759132,0.041260099,91.984726813,840,0.945265884,20.369340486,299.607403296,474.046598389,0.025653327,0.024249215,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003770,0.000005813,0.000022955,0.970568469,-0.239660277,0.023660046,0.000000012,0.000000031,0.000001047,0.978709927,-0.205158221,0.006081349,0.000000000,0.034283595,0.062375945,0.261982324,0.007923303,97.849188206,0,0.024474165,0.023234891,1.000000000,94,94,0,0.088512241,34,0,0,0,0,0,0,934,34,2680,5286,1649,57,0,0,21149
27,1706584508.072475195,1706584508.170465469,68,67,0,0.012841109,0.024518412,1,0,1,0,0,1,-0.030334960,0.002817106,-0.005111569,0.001894608,0.000029310,0.000428665,0.999998113,1069,863,0.807296539,0.021589111,0.010688968,0.007299722,0.030953844,106.598992266,861,0.951432471,17.475689622,291.451358101,510.256309948,0.021333062,0.020296968,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003582,0.000005846,0.000024581,0.968561261,-0.247245375,0.027546483,0.000000012,0.000000024,0.000001082,0.975310970,-0.219957925,0.019672879,0.000000000,0.034264522,0.064062101,0.238751470,0.007952843,98.231991011,0,0.024268917,0.023035994,1.000000000,88,86,2,0.082319925,34,0,0,0,0,0,0,947,34,2699,5374,1683,57,0,0,22096
28,1706584508.172723532,1706584508.272552252,69,68,0,0.017014460,0.027738206,1,0,1,0,0,1,-0.046246295,0.004423938,0.001148262,0.000796136,0.000173689,0.000329616,0.999999614,1059,844,0.796978281,0.021146602,0.011115126,0.008165998,0.038675801,96.841046557,828,0.943670956,20.336261619,287.395640529,473.627649460,0.026026765,0.024560702,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003687,0.000005988,0.000023723,0.966996754,-0.252416446,0.034687396,0.000000011,0.000000027,0.000001083,0.976870680,-0.213331431,0.014607328,0.000000000,0.034952426,0.066761597,0.248443252,0.007902508,97.972960731,0,0.024495589,0.023239311,1.000000000,99,98,1,0.093484419,28,0,0,0,0,0,0,932,28,2721,5473,1711,57,0,0,23028
29,1706584508.272564650,1706584508.372388363,70,69,0,0.025966517,0.041082764,1,0,1,0,0,1,-0.044824341,0.004528019,0.002898195,0.001660926,0.000061458,-0.000185341,0.999998602,1083,865,0.798707295,0.022274134,0.011563504,0.008324249,0.041525690,91.916091492,867,0.946644305,21.646469660,305.352871681,493.741270955,0.026374313,0.024967093,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003678,0.000005778,0.000022135,0.968090861,-0.248587035,0.031694961,0.000000012,0.000000025,0.000001057,0.976666840,-0.214257592,0.014682234,0.000000000,0.035242782,0.062382450,0.231016692,0.008624911,97.870034214,0,0.024573893,0.023308773,1.000000000,97,96,1,0.089566020,34,0,0,0,0,0,0,952,34,2739,5570,1745,57,0,0,23980
30,1706584508.372400761,1706584508.472219944,71,70,0,0.035262645,0.060273021,1,0,1,0,0,1,-0.040634686,0.003963528,0.004671088,0.000716481,-0.000250139,-0.000027752,0.999999712,1055,831,0.787677725,0.019897240,0.011495561,0.008466246,0.032046483,102.801234212,827,0.949410932,19.207585259,288.205434891,477.749820708,0.024463187,0.023225617,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003678,0.000006239,0.000023944,0.970757313,-0.239280812,0.019363164,0.000000012,0.000000030,0.000001116,0.977975684,-0.208220663,0.014412388,0.000000000,0.035353956,0.065979352,0.226879244,0.008770136,98.021360479,0,0.024438461,0.023178220,1.000000000,71,70,1,0.067298578,19,0,0,0,0,0,0,965,19,2750,5641,1764,57,0,0,24945
31,1706584508.473029613,1706584508.572023630,72,71,0,0.070286910,0.112008860,1,0,1,0,0,1,-0.034990271,0.001717808,0.001392042,0.000885376,-0.001473328,-0.001344175,0.999997619,1052,843,0.801330798,0.022294739,0.012613595,0.008897157,0.030915710,104.663541665,841,0.944633460,18.673970916,295.979144851,479.783624141,0.023505926,0.022204484,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003767,0.000006139,0.000025145,0.968241922,-0.249528945,0.015584833,0.000000012,0.000000028,0.000001090,0.977927124,-0.208528833,0.013200985,0.000000000,0.035240054,0.065521800,0.228569952,0.011362204,98.610953738,0,0.024321143,0.023065906,1.000000000,74,71,3,0.070342205,29,0,0,0,0,0,0,949,29,2761,5715,1793,57,0,0,25894
32,1706584508.572886467,1706584508.671166420,73,72,0,0.079300950,0.106549231,1,0,1,0,0,1,-0.001718877,0.003324617,0.001175466,0.000487977,-0.001291934,-0.004199013,0.999990230,1083,863,0.796860572,0.023922206,0.011586428,0.008492400,0.029946155,107.099102005,871,0.945376784,15.346118992,316.398508536,491.678551603,0.018636977,0.017618966,0,1.000000000,1.000000000,1.000000000,0,0,0,1.000000000,0.000003806,0.000005767,0.000026473,0.968282206,-0.246106994,0.043138344,0.000000013,0.000000025,0.000001133,0.977726248,-0.209634921,0.010226626,0.000000000,0.034876946,0.055308129,0.243291854,0.017045118,99.431879470,0,0.023986758,0.022745372,1.000000000,105,100,5,0.096952909,30,0,0,0,0,0,0,948,30,2786,5820,1823,57,0,0,26842
