frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_retry_performed,transition_guard_conservative_selected,transition_guard_measurement_noise_scale,transition_guard_cooldown_frames_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation,lidar_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,transition_guard_conservative_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.861832380,1624181090.961721897,14,14,0,0.012873842,0.024093260,1,0,0,0,0,-0.011161683,-0.019428282,-0.003742543,-0.000021064,-0.000036275,0.000390576,0.999999923,2351,1901,0.808592088,0.014265934,0.002960613,0.002577275,0.133322665,106.357397900,1581,0.972165282,160.403386642,323.446405435,1053.143518734,0.104361799,0.101456918,0,0,0,0,1.000000000,0,0,0.002770905,0.000500052,0.002770905,0.000500052,0.100000000,0.030000000,0.849709443,0.014265934,0.000000000,0.000000626,0.000001767,0.000003747,-0.098027613,-0.995163013,0.006415994,0.000000001,0.000000002,0.000000009,-0.005342407,0.007121141,-0.999960373,0.000000000,0.157286304,0.048111411,0.037092643,0.002087798,90.743321502,0,0.122948925,0.118669067,416,406,10,0.176945980,74,0,0,0,0,0,1861,74,4140,6501,1081,0,0,18359
12,1624181091.061827421,1624181091.161813259,16,15,0,0.013076007,0.027166466,1,0,0,0,0,-0.012136247,-0.022253784,-0.004481539,-0.000010315,-0.000052095,0.000316785,0.999999948,2373,1920,0.809102402,0.014472451,0.003364934,0.002782214,0.136431627,104.276794666,1606,0.972248022,169.185783149,334.101903423,1058.142637229,0.108353079,0.105346067,0,0,0,0,1.000000000,0,0,0.003651047,0.000151197,0.003651047,0.000151197,0.100000000,0.030000000,0.907867599,0.014472451,0.000000000,0.000000752,0.000002189,0.000004737,-0.096047827,-0.995325020,0.010144904,0.000000001,0.000000002,0.000000009,-0.004862680,0.008141248,-0.999955036,0.000000000,0.155548414,0.049986008,0.040171498,0.002235381,91.871110933,0,0.121732605,0.117558817,351,338,13,0.147914033,83,0,0,0,0,0,1939,83,4240,6852,1164,0,0,20298
13,1624181091.161825180,1624181091.261812449,17,16,0,0.013256795,0.025034932,1,0,0,0,0,-0.010104494,-0.019018673,-0.004590431,-0.000001377,-0.000044393,0.000291477,0.999999957,2372,1921,0.809865093,0.014403374,0.002836731,0.002461935,0.136499729,106.620802926,1603,0.971085807,168.205163851,318.717696223,1069.727689099,0.108055828,0.104931481,0,0,0,0,1.000000000,0,0,0.005533081,0.000087414,0.005533081,0.000087414,0.100000000,0.030000000,0.910620203,0.014403374,0.000000000,0.000000615,0.000001847,0.000003859,-0.098431758,-0.995111139,0.008062875,0.000000001,0.000000002,0.000000009,-0.005973976,0.014158460,-0.999881918,0.000000000,0.154083131,0.051478478,0.043993254,0.002285999,93.005702624,0,0.120680545,0.116587483,244,236,8,0.102866779,77,0,0,0,0,0,2051,77,4302,7096,1241,0,0,22349
14,1624181091.261822701,1624181091.361767054,18,17,0,0.013420033,0.025407400,1,0,0,0,0,-0.006030655,-0.018795459,-0.004715124,-0.000008364,-0.000035560,0.000185504,0.999999982,2372,1912,0.806070826,0.014705748,0.002856662,0.002466510,0.137708148,103.064220746,1603,0.972173045,166.959626185,329.872238431,1061.561525743,0.107135738,0.104154477,0,0,0,0,1.000000000,0,0,0.003728103,0.000236237,0.003728103,0.000236237,0.100000000,0.030000000,0.908125443,0.014705748,0.000000000,0.000000617,0.000001760,0.000003588,-0.091215230,-0.995796157,0.008354417,0.000000001,0.000000002,0.000000009,-0.003300339,0.006182472,-0.999975442,0.000000000,0.152913489,0.050939083,0.048075108,0.002497944,93.724168205,0,0.119713059,0.115699411,264,258,6,0.111298482,83,0,0,0,0,0,2025,83,4375,7360,1324,0,0,24374
15,1624181091.361820221,1624181091.461771488,19,18,0,0.013218389,0.026174667,1,0,0,0,0,-0.004070628,-0.017437015,-0.004525489,0.000008465,-0.000018962,0.000181207,0.999999983,2365,1916,0.810147992,0.014052882,0.002887252,0.002498264,0.134062206,105.958123206,1602,0.971944973,166.699256447,328.394748855,1061.961841542,0.107060551,0.104056964,0,0,0,0,1.000000000,0,0,0.001091899,0.000053023,0.001091899,0.000053023,0.100000000,0.030000000,0.917478015,0.014052882,0.000000000,0.000000615,0.000001741,0.000003601,-0.103798814,-0.994584345,0.005271261,0.000000001,0.000000002,0.000000009,-0.004659584,0.013336630,-0.999900206,0.000000000,0.151656737,0.053586405,0.050467395,0.002506538,94.539765205,0,0.118869558,0.114923248,234,226,8,0.098942918,73,0,0,0,0,0,2057,74,4451,7594,1397,0,0,26431
16,1624181091.461817741,1624181091.561782360,20,19,0,0.013214105,0.025940849,1,0,0,0,0,-0.003728991,-0.015619275,-0.004186326,-0.000003054,-0.000065016,0.000138824,0.999999988,2332,1928,0.826758148,0.014091867,0.002746540,0.002428393,0.130869941,110.392186577,1623,0.973892964,170.546046534,321.743312986,1088.338921474,0.107897631,0.105080743,0,0,0,0,1.000000000,0,1,0.002097336,0.000158503,0.002097336,0.000158503,0.100000000,0.030000000,0.934943679,0.014091867,0.000000000,0.000000602,0.000001739,0.000003665,-0.102898288,-0.994689000,0.002395053,0.000000001,0.000000002,0.000000009,-0.003775955,0.009671146,-0.999946104,0.000000000,0.150357562,0.055177578,0.052347802,0.002591304,95.530541540,0,0.118183813,0.114308092,271,268,3,0.116209262,76,0,0,0,0,0,1985,76,4500,7865,1473,0,0,28416
17,1624181091.561815262,1624181091.661733627,21,20,0,0.013099342,0.025465598,1,0,0,0,0,-0.006514328,-0.015974610,-0.003997296,-0.000007619,-0.000040909,0.000339930,0.999999941,2338,1922,0.822070145,0.014309787,0.002613575,0.002339218,0.138090656,104.150479972,1617,0.972948664,169.006082418,330.623167977,1073.628739840,0.107424264,0.104518295,0,0,0,0,1.000000000,0,1,0.004514861,0.000429107,0.004514861,0.000429107,0.100000000,0.030000000,0.949597715,0.014309787,0.000000000,0.000000611,0.000001731,0.000003507,-0.087498194,-0.996163936,0.001216326,0.000000001,0.000000002,0.000000008,-0.003310297,0.011435719,-0.999929131,0.000000000,0.149635980,0.055291672,0.055162068,0.002993515,96.037596742,0,0.117550898,0.113732221,267,261,6,0.114200171,76,0,0,0,0,0,1995,76,4557,8132,1549,0,0,30411
18,1624181091.661813021,1624181091.761733532,22,21,0,0.013252483,0.024768406,1,0,0,0,0,-0.009065791,-0.017436528,-0.004206693,-0.000020593,-0.000041332,0.000306255,0.999999952,2331,1931,0.828399828,0.014916351,0.002849163,0.002546869,0.135842977,104.930374046,1617,0.973734055,163.326370818,324.299507019,1086.902089081,0.103730371,0.101005795,0,0,0,0,1.000000000,0,1,0.003068519,0.000059489,0.003068519,0.000059489,0.100000000,0.030000000,0.935800541,0.014916351,0.000000000,0.000000613,0.000001694,0.000003447,-0.086522529,-0.996234066,0.005615848,0.000000001,0.000000002,0.000000008,-0.002162542,0.011502658,-0.999931504,0.000000000,0.148869702,0.053846364,0.058110121,0.003060863,96.531639926,0,0.116783091,0.113025198,222,218,4,0.095238095,68,0,0,0,0,0,2040,69,4608,8354,1617,0,0,32451
19,1624181091.761810541,1624181091.861697197,23,22,0,0.012782362,0.025041461,1,0,0,0,0,-0.009844692,-0.019436446,-0.004570169,-0.000004839,-0.000042679,0.000211978,0.999999977,2349,1941,0.826309068,0.014097831,0.002813127,0.002435497,0.137345868,106.172531791,1619,0.972155911,160.518198597,328.792349145,1084.609871563,0.101986223,0.099146509,0,0,0,0,1.000000000,0,1,0.002221514,0.000218579,0.002221514,0.000218579,0.100000000,0.030000000,0.929984630,0.014097831,0.000000000,0.000000611,0.000001685,0.000003448,-0.086609076,-0.996214958,0.007390935,0.000000001,0.000000002,0.000000008,-0.005943087,0.013479186,-0.999891490,0.000000000,0.148263184,0.054631003,0.060286925,0.003249418,97.039055287,0,0.116004309,0.112294740,190,186,4,0.080885483,58,0,0,0,0,0,2100,59,4658,8544,1675,0,0,34551
20,1624181091.861808062,1624181091.961688757,24,23,0,0.012429259,0.024127153,1,0,0,0,1,-0.008233216,-0.023929494,-0.004979140,0.000002120,-0.000037415,0.000281455,0.999999960,2371,1958,0.825811894,0.013881052,0.002653109,0.002281559,0.135391668,106.763454273,1648,0.973055809,166.566241284,329.093207217,1107.936525234,0.103870454,0.101071748,0,0,0,0,1.000000000,0,1,0.004678385,0.000167856,0.004678385,0.000167856,0.100000000,0.030000000,0.957488736,0.013881052,0.000000000,0.000000608,0.000001692,0.000003419,-0.086708288,-0.996229195,0.003010698,0.000000001,0.000000002,0.000000008,0.002179305,-0.014168073,0.999897253,0.000000000,0.147619608,0.056054452,0.065077706,0.003388371,97.525275236,0,0.115397616,0.111733591,247,238,9,0.104175453,66,0,0,0,0,0,2058,66,4725,8791,1741,0,0,36609
21,1624181091.961805582,1624181092.061677694,25,24,0,0.014170372,0.026307695,1,0,0,0,1,-0.007981960,-0.025360352,-0.005007295,0.000018702,-0.000019163,0.000182901,0.999999983,2350,1948,0.828936170,0.014299309,0.002952597,0.002444633,0.126125796,108.364596145,1627,0.973002125,156.131645222,335.207876968,1091.734935301,0.098625585,0.095962904,0,0,0,0,1.000000000,0,1,0.000995858,0.000220694,0.000995858,0.000220694,0.100000000,0.030000000,0.909682231,0.014299309,0.000000000,0.000000609,0.000001680,0.000003530,-0.090368250,-0.995902970,0.003294585,0.000000001,0.000000002,0.000000008,-0.002937801,0.016964031,-0.999851785,0.000000000,0.145319582,0.056616632,0.059016106,0.003505954,99.592052436,0,0.112746826,0.109317500,227,220,7,0.096595745,74,0,0,0,0,0,2048,75,4790,9018,1815,0,0,38657
22,1624181092.061803102,1624181092.161735296,26,25,0,0.012538492,0.024325983,1,0,0,0,1,-0.007023611,-0.023642048,-0.004637789,-0.000007749,-0.000027121,0.000060548,0.999999998,2346,1943,0.828218244,0.013958408,0.002753026,0.002398243,0.131134937,107.940943918,1660,0.975225790,165.003478088,333.067061879,1120.804272199,0.101924792,0.099399686,0,0,0,0,1.000000000,0,1,0.003894534,0.000292013,0.003894534,0.000292013,0.100000000,0.030000000,0.940672778,0.013958408,0.000000000,0.000000607,0.000001699,0.000003514,-0.097992626,-0.995160080,0.007339014,0.000000001,0.000000002,0.000000008,-0.004390140,0.012585957,-0.999911156,0.000000000,0.142487834,0.054934085,0.058248391,0.003543901,101.325648869,0,0.110778603,0.107498445,239,238,1,0.101875533,70,0,0,0,0,0,2037,70,4829,9257,1885,0,0,40694
23,1624181092.161800861,1624181092.261734962,26,26,0,0.013360211,0.025365569,1,0,0,0,1,-0.007081518,-0.024664057,-0.004607019,0.000006571,-0.000030643,0.000125727,0.999999992,2358,1971,0.835877863,0.013901166,0.002713120,0.002334944,0.132763720,108.837584092,1646,0.973970550,159.359859642,335.591592791,1108.204072308,0.099403868,0.096816440,0,0,0,0,1.000000000,0,1,0.000727893,0.000187166,0.000727893,0.000187166,0.100000000,0.030000000,0.918667065,0.013901166,0.000000000,0.000000598,0.000001669,0.000003472,-0.099914844,-0.994974878,0.006482023,0.000000001,0.000000002,0.000000009,-0.002225789,0.009258407,-0.999954663,0.000000000,0.141008474,0.054648048,0.053374961,0.003572879,102.468809070,0,0.109241359,0.106076096,197,190,7,0.083545377,81,0,0,0,0,0,2080,81,4876,9454,1966,0,0,42774
24,1624181092.361795902,1624181092.461874962,28,27,0,0.013055496,0.024501333,1,0,0,0,1,-0.008555055,-0.023406606,-0.004412080,0.000004054,-0.000019953,0.000154370,0.999999988,2380,1972,0.828571429,0.013302528,0.002481316,0.002180161,0.129367262,108.283308621,1657,0.973942155,159.300901565,337.046982281,1117.474266725,0.098710320,0.096138142,0,0,0,0,1.000000000,0,1,0.003442109,0.000101944,0.003442109,0.000101944,0.100000000,0.030000000,0.913512231,0.013302528,0.000000000,0.000000728,0.000002116,0.000004547,-0.101633634,-0.994808800,0.005104443,0.000000001,0.000000002,0.000000008,-0.004841339,0.010162925,-0.999936636,0.000000000,0.138828522,0.052805821,0.053342706,0.003258087,103.483087207,0,0.107844528,0.104785393,199,191,8,0.083613445,59,0,0,0,0,0,2121,60,4938,9653,2025,0,0,44895
25,1624181092.461793423,1624181092.561836243,29,28,0,0.013240801,0.025563863,1,0,0,0,1,-0.007930482,-0.024475741,-0.005126206,0.000006993,-0.000041132,0.000202016,0.999999979,2348,1967,0.837734242,0.013890168,0.002841585,0.002402906,0.127891727,109.947798959,1663,0.974920072,151.237961556,336.417832952,1133.636285062,0.093282366,0.090942851,0,0,0,0,1.000000000,0,1,0.001952842,0.000120280,0.001952842,0.000120280,0.100000000,0.030000000,0.863911760,0.013890168,0.000000000,0.000000600,0.000001756,0.000003757,-0.085704985,-0.996261553,0.010843163,0.000000001,0.000000002,0.000000008,-0.002724147,0.007045569,-0.999971469,0.000000000,0.137007893,0.044091016,0.053223385,0.003155057,104.535899254,0,0.106194039,0.103232532,177,174,3,0.075383305,62,0,0,0,0,0,2108,63,4990,9830,2087,0,0,47003
26,1624181092.561790943,1624181092.661748648,30,29,0,0.012768117,0.026309971,1,0,0,0,1,-0.008811482,-0.021244437,-0.005550726,-0.000000697,-0.000023133,0.000166288,0.999999986,2386,1992,0.834870075,0.014058972,0.003026021,0.002452879,0.128938644,109.037066992,1687,0.972718928,161.740156872,333.111044377,1146.125630303,0.098563340,0.095874426,0,0,0,0,1.000000000,0,1,0.003583219,0.000128990,0.003583219,0.000128990,0.100000000,0.030000000,0.913489379,0.014058972,0.000000000,0.000000590,0.000001657,0.000003546,-0.081084194,-0.996663384,0.009351561,0.000000001,0.000000002,0.000000008,-0.004393331,0.012767748,-0.999908837,0.000000000,0.135643145,0.035037007,0.051317804,0.003226305,105.363032494,0,0.105154757,0.102248157,189,184,5,0.079212070,56,0,0,0,0,0,2140,57,5048,10019,2143,0,0,49143
27,1624181092.661788702,1624181092.761736155,31,30,0,0.012817407,0.025220177,1,0,0,0,1,-0.010815745,-0.022348721,-0.004562791,0.000002693,-0.000013914,0.000223334,0.999999975,2334,1963,0.841045416,0.013057318,0.002513046,0.002232770,0.128863263,108.282038933,1663,0.974289420,155.100674402,339.798217557,1125.344412949,0.095726780,0.093265589,0,0,0,0,1.000000000,0,1,0.003013423,0.000113146,0.003013423,0.000113146,0.100000000,0.030000000,0.889150450,0.013057318,0.000000000,0.000000597,0.000001669,0.000003496,-0.086117748,-0.996249235,0.008437725,0.000000001,0.000000002,0.000000008,-0.004790122,0.009859328,-0.999939922,0.000000000,0.134432549,0.033012688,0.051426561,0.003308633,105.978849323,0,0.104042366,0.101196550,164,163,1,0.070265638,46,0,0,0,0,0,2124,46,5090,10183,2189,0,0,51267
28,1624181092.761786222,1624181092.861739397,32,31,0,0.013719094,0.026313403,1,0,0,0,1,-0.009638676,-0.022474175,-0.004551095,0.000007485,-0.000019246,0.000210758,0.999999978,2369,1988,0.839172647,0.013392974,0.002458813,0.002165142,0.132332110,107.927775343,1660,0.975802988,151.156648240,331.625775257,1137.050536168,0.093316195,0.091058222,0,0,0,0,1.000000000,0,1,0.002476659,0.000060838,0.002476659,0.000060838,0.100000000,0.030000000,0.868669620,0.013392974,0.000000000,0.000000598,0.000001675,0.000003400,-0.082823140,-0.996535302,0.007597381,0.000000001,0.000000002,0.000000008,-0.003551876,0.011350276,-0.999929275,0.000000000,0.133559603,0.034355541,0.047564254,0.003011837,106.442431357,0,0.102937901,0.100157235,138,136,2,0.058252427,51,0,0,0,0,0,2179,52,5127,10321,2240,0,0,53446
29,1624181092.861783743,1624181092.961729527,33,32,0,0.013158441,0.025077196,1,0,0,0,1,-0.011851991,-0.021041399,-0.004762118,0.000010514,-0.000004326,0.000178230,0.999999984,2338,1959,0.837895637,0.012464360,0.002562205,0.002183547,0.120424863,116.564653232,1671,0.975493868,151.006664814,329.698058775,1149.345529345,0.092639270,0.090369039,0,0,0,0,1.000000000,0,1,0.002474357,0.000096981,0.002474357,0.000096981,0.100000000,0.030000000,0.863527857,0.012464360,0.000000000,0.000000589,0.000001710,0.000003621,-0.099968079,-0.994961557,0.007608053,0.000000001,0.000000002,0.000000009,-0.007735610,0.007846192,-0.999939297,0.000000000,0.132481048,0.040780995,0.048288820,0.002771436,107.287522808,0,0.102027531,0.099301637,161,154,7,0.068862275,48,0,0,0,0,0,2129,48,5167,10482,2288,0,0,55575
