frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,historical_anchor_count,historical_anchor_submap_points,historical_anchor_sampled_points,historical_anchor_matched_points,historical_anchor_overlap_ratio,historical_anchor_nn_rmse,historical_anchor_newest_age,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.761834860,1624181090.861717939,16,15,0,0.012294635,0.024980185,1,0,0,0,0,-0.009003114,-0.022816697,-0.003698197,0.000011492,-0.000058271,0.000139672,0.999999988,2366,1924,0.813186813,0.014871339,0.003406180,0.002966991,0.136355642,104.620116306,1589,0.972311855,160.636265785,331.619553597,1052.747718263,0.103971455,0.101092678,0,0,0,0,0,0.003938803,0.000374283,0.100000000,0.030000000,0.853084636,0.014871339,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000641,0.000001774,0.000003872,-0.105450536,-0.994390746,0.008199298,0.000000001,0.000000002,0.000000009,-0.004981006,0.014020304,-0.999889304,0.000000000,0.156408449,0.040044958,0.040151521,0.002271971,91.652841088,0,0.121989405,0.117783946,321,314,7,0.135672020,78,0,0,0,0,0,1966,79,4117,6468,1101,0,0,18383
12,1624181090.861832380,1624181090.961721897,17,16,0,0.011009573,0.023967828,1,0,0,0,0,-0.010659520,-0.021490262,-0.003947185,-0.000015862,-0.000062635,0.000320287,0.999999947,2351,1911,0.812845598,0.014806058,0.003189053,0.002785167,0.132414890,107.529401114,1595,0.972509767,159.069678118,324.533850743,1067.549549029,0.102549310,0.099730206,0,0,0,0,0,0.004076753,0.000377107,0.100000000,0.030000000,0.865844854,0.014806058,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000646,0.000001791,0.000003923,-0.102543778,-0.994701253,0.007361385,0.000000001,0.000000002,0.000000009,-0.005653834,0.015581608,-0.999862614,0.000000000,0.154408986,0.041416690,0.042288131,0.002633203,92.975887757,0,0.120369397,0.116279468,357,348,9,0.151850276,70,0,0,0,0,0,1924,70,4197,6825,1171,0,0,20307
13,1624181090.961829901,1624181091.061767101,18,17,0,0.011660920,0.024178199,1,0,0,0,0,-0.010891762,-0.021652635,-0.004691999,-0.000022454,-0.000053495,0.000350941,0.999999937,2348,1903,0.810477002,0.014345080,0.003047975,0.002614455,0.129507981,108.785173627,1592,0.973533649,157.057612630,331.085829963,1061.722126703,0.101336281,0.098654279,0,0,0,0,0,0.001634084,0.000050464,0.100000000,0.030000000,0.863322562,0.014345080,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000644,0.000001818,0.000004045,-0.116960803,-0.993102791,0.008186400,0.000000001,0.000000002,0.000000009,-0.003554491,0.013312584,-0.999905066,0.000000000,0.152493524,0.045430051,0.043085031,0.002694512,94.191986670,0,0.118905311,0.114923684,321,313,8,0.136712095,82,0,0,0,0,0,1944,83,4277,7146,1253,0,0,22251
14,1624181091.061827421,1624181091.161813259,19,18,0,0.011425135,0.026389048,1,0,0,0,0,-0.009579796,-0.019110820,-0.005428428,-0.000019150,-0.000060977,0.000164447,0.999999984,2375,1938,0.816000000,0.014154443,0.003335173,0.002608414,0.123902077,112.181390523,1605,0.972355581,161.015639925,338.310891249,1061.304176482,0.103173441,0.100321271,0,0,0,0,0,0.003774859,0.000357492,0.100000000,0.030000000,0.886976658,0.014154443,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000632,0.000001782,0.000004111,-0.107235572,-0.994189188,0.009401676,0.000000001,0.000000002,0.000000009,0.006389258,-0.015398751,0.999861018,0.000000000,0.150451277,0.049444831,0.046038741,0.003067500,95.476944088,0,0.117781606,0.113880655,274,262,12,0.115368421,83,0,0,0,0,0,2018,83,4361,7420,1336,0,0,24269
15,1624181091.161825180,1624181091.261812449,20,19,0,0.011475104,0.025034932,1,0,0,0,0,-0.008758005,-0.017715726,-0.005345340,-0.000001682,-0.000043038,0.000278648,0.999999960,2371,1933,0.815267819,0.013665000,0.003038914,0.002502114,0.120499446,116.379282907,1619,0.972793181,162.504752169,323.780343242,1088.667064379,0.103180755,0.100373534,0,0,0,0,0,0.001068178,0.000203776,0.100000000,0.030000000,0.908286233,0.013665000,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000624,0.000001803,0.000004127,-0.095555663,-0.995355438,0.011690515,0.000000001,0.000000002,0.000000009,0.006154311,-0.014716291,0.999872770,0.000000000,0.148454489,0.055853167,0.047660016,0.003295900,96.870433343,0,0.116808216,0.112980180,237,230,7,0.099957824,68,0,0,0,0,0,2066,68,4425,7657,1404,0,0,26335
16,1624181091.261822701,1624181091.361767054,21,20,0,0.012216167,0.024839441,1,0,0,0,0,-0.005829959,-0.017821359,-0.005107939,-0.000011937,-0.000032483,0.000156584,0.999999987,2371,1917,0.808519612,0.014117152,0.003103824,0.002622397,0.122383333,111.089888099,1606,0.972428178,156.908481971,334.954026065,1069.857145577,0.100471606,0.097701421,0,0,0,0,1,0.002796604,0.000278699,0.100000000,0.030000000,0.906142220,0.014117152,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000632,0.000001804,0.000004083,-0.093490009,-0.995541377,0.012529362,0.000000001,0.000000002,0.000000009,-0.004648728,0.015953075,-0.999861935,0.000000000,0.146825042,0.057432909,0.050599569,0.003540029,97.759149265,0,0.115787178,0.112025257,237,231,6,0.099957824,73,0,0,0,0,0,2061,73,4493,7894,1477,0,0,28396
17,1624181091.361820221,1624181091.461771488,22,21,0,0.011398557,0.023097979,1,0,0,0,0,-0.003141455,-0.016216889,-0.004652426,-0.000000360,-0.000026455,0.000103900,0.999999994,2364,1924,0.813874788,0.013788043,0.002931948,0.002551854,0.119532828,113.977147984,1610,0.973344937,162.082577048,330.477124362,1074.525647858,0.103429323,0.100672408,0,0,0,0,1,0.001274817,0.000064026,0.100000000,0.030000000,0.935420051,0.013788043,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000628,0.000001799,0.000004129,-0.098672715,-0.995028113,0.013518527,0.000000001,0.000000002,0.000000009,-0.007992425,0.014053708,-0.999869299,0.000000000,0.145219617,0.060249291,0.053763406,0.003645398,98.713149190,0,0.115060245,0.111357443,217,210,7,0.091793570,71,0,0,0,0,0,2075,72,4565,8111,1548,0,0,30471
18,1624181091.461817741,1624181091.561782360,23,22,0,0.011514636,0.024482986,1,0,0,0,0,-0.003296698,-0.015433399,-0.004393475,-0.000003668,-0.000066397,0.000103693,0.999999992,2333,1933,0.828546935,0.013412064,0.002886399,0.002529402,0.124277284,113.766429995,1636,0.974338304,164.836396360,329.583156161,1099.597913341,0.103409404,0.100755743,0,0,0,0,1,0.002577146,0.000079810,0.100000000,0.030000000,0.937856472,0.013412064,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000626,0.000001816,0.000004096,-0.097151050,-0.995210434,0.010856588,0.000000001,0.000000002,0.000000009,-0.006963789,0.009001779,-0.999935235,0.000000000,0.144056154,0.064469242,0.054603057,0.003645811,99.549442568,0,0.114412976,0.110768460,253,250,3,0.108444063,65,0,0,0,0,0,2015,65,4612,8364,1613,0,0,32486
19,1624181091.561815262,1624181091.661733627,24,23,0,0.011247031,0.025465598,1,0,0,0,0,-0.005747915,-0.016447315,-0.004421531,-0.000005158,-0.000054601,0.000270773,0.999999962,2338,1925,0.823353293,0.014029392,0.002834404,0.002515358,0.126590297,110.893631789,1634,0.974487569,168.016666810,335.147949545,1089.148071567,0.105517382,0.102825377,0,0,0,0,1,0.004144441,0.000335402,0.100000000,0.030000000,0.967100775,0.014029392,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000639,0.000001813,0.000003989,-0.090677406,-0.995851920,0.007520730,0.000000001,0.000000002,0.000000009,-0.005922985,0.011057394,-0.999921323,0.000000000,0.143136899,0.064725599,0.057255843,0.003979971,100.146505158,0,0.113944787,0.110350403,219,214,5,0.093669803,79,0,0,0,0,0,2040,79,4663,8583,1692,0,0,34526
20,1624181091.661813021,1624181091.761733532,25,24,0,0.011702277,0.024612001,1,0,0,0,1,-0.008813465,-0.019846893,-0.004959311,-0.000016512,-0.000064272,0.000247304,0.999999967,2330,1930,0.828326180,0.014205098,0.002873886,0.002384687,0.122099684,112.571682369,1620,0.975604377,156.131034141,325.342441083,1099.005615978,0.098787156,0.096377182,0,0,0,0,1,0.004411084,0.000050243,0.100000000,0.030000000,0.915099278,0.014205098,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000637,0.000001772,0.000004009,-0.090854885,-0.995824707,0.008862456,0.000000001,0.000000002,0.000000008,-0.007611713,0.014837273,-0.999860949,0.000000000,0.142085038,0.064254270,0.061864958,0.004026907,100.767764019,0,0.113186905,0.109651742,206,202,4,0.088412017,57,0,0,0,0,0,2066,58,4712,8789,1749,0,0,36592
21,1624181091.761810541,1624181091.861697197,26,25,0,0.011045597,0.024465265,1,0,0,0,1,-0.008178057,-0.019732093,-0.005220804,-0.000012020,-0.000076162,0.000062336,0.999999995,2348,1943,0.827512777,0.013869974,0.002971051,0.002447996,0.125253596,111.362545206,1643,0.974505066,157.878269420,334.557039039,1108.676514610,0.098605399,0.096091460,0,0,0,0,1,0.002981572,0.000412453,0.100000000,0.030000000,0.923834758,0.013869974,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000633,0.000001758,0.000003943,-0.081869558,-0.996587939,0.010481227,0.000000001,0.000000002,0.000000008,-0.005602550,0.016546142,-0.999847407,0.000000000,0.139741401,0.065906524,0.054176489,0.004360331,102.984438671,0,0.110535106,0.107242079,225,222,3,0.095826235,56,0,0,0,0,0,2066,57,4756,9014,1805,0,0,38658
22,1624181091.861808062,1624181091.961688757,27,26,0,0.010619388,0.024127153,1,0,0,0,1,-0.005217413,-0.024077255,-0.005030137,-0.000013170,-0.000088132,0.000131883,0.999999987,2372,1960,0.826306914,0.013822567,0.002834203,0.002429734,0.127341190,108.919131382,1652,0.974692972,166.098702888,333.170378293,1110.923709174,0.103154544,0.100544009,0,0,0,0,1,0.005133011,0.000183193,0.100000000,0.030000000,0.977607116,0.013822567,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000633,0.000001761,0.000003806,-0.084815354,-0.996376718,0.006307979,0.000000001,0.000000002,0.000000008,-0.006970525,0.017931104,-0.999814927,0.000000000,0.136746459,0.064977866,0.056262481,0.004275693,104.754828767,0,0.108628389,0.105480274,227,219,8,0.095699831,60,0,0,0,0,0,2085,60,4828,9241,1865,0,0,40743
23,1624181091.961805582,1624181092.061677694,28,27,0,0.012361625,0.026143180,1,0,0,0,1,-0.005142605,-0.024105039,-0.004793532,0.000000821,-0.000063095,0.000075025,0.999999995,2349,1942,0.826734781,0.014479651,0.002935329,0.002461116,0.121696475,110.711430164,1641,0.974332192,156.420339884,337.872998440,1104.585788068,0.097831248,0.095320134,0,0,0,0,1,0.002728243,0.000147355,0.100000000,0.030000000,0.933999624,0.014479651,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000641,0.000001746,0.000003921,-0.089806214,-0.995934837,0.006974517,0.000000001,0.000000002,0.000000008,-0.004088043,0.019798416,-0.999795634,0.000000000,0.134945349,0.063128810,0.049055547,0.004159398,105.892176259,0,0.107074926,0.104040986,223,217,6,0.094934014,67,0,0,0,0,0,2058,68,4889,9464,1932,0,0,42801
24,1624181092.061803102,1624181092.161735296,29,28,0,0.010913313,0.023665701,1,0,0,0,1,-0.004362067,-0.021757845,-0.004704228,-0.000008379,-0.000066399,-0.000098256,0.999999993,2346,1948,0.830349531,0.013910780,0.002771680,0.002358285,0.126351136,110.285354850,1663,0.975979604,161.634202231,330.996384352,1130.423495599,0.099586455,0.097194349,0,0,0,0,1,0.003807103,0.000406848,0.100000000,0.030000000,0.957824962,0.013910780,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000636,0.000001776,0.000003864,-0.097825478,-0.995173050,0.007795892,0.000000001,0.000000002,0.000000008,-0.004385962,0.014547944,-0.999884554,0.000000000,0.132870858,0.058283362,0.049155236,0.004146315,106.936255924,0,0.105708525,0.102785702,302,301,1,0.128729753,70,0,0,0,0,0,1974,70,4934,9766,2002,0,0,44775
25,1624181092.161800861,1624181092.261734962,30,29,0,0.012308248,0.025365569,1,0,0,0,1,-0.006712360,-0.026283616,-0.004621490,0.000011250,-0.000033545,0.000138555,0.999999990,2359,1967,0.833827893,0.013207158,0.002657214,0.002268242,0.120680512,115.178314486,1660,0.974663539,157.887551635,334.572944039,1125.480978796,0.097585453,0.095112983,0,0,0,0,1,0.005637469,0.000531557,0.100000000,0.030000000,0.941032660,0.013207158,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000618,0.000001754,0.000003942,-0.104563676,-0.994500308,0.005964422,0.000000001,0.000000002,0.000000009,-0.005957089,0.012761320,-0.999900826,0.000000000,0.130872714,0.051208307,0.051336211,0.004545652,108.253537776,0,0.104322012,0.101481631,206,197,9,0.087325138,66,0,0,0,0,0,2087,66,4982,9972,2068,0,0,46862
26,1624181092.261798382,1624181092.361763716,31,30,0,0.013096681,0.024463966,1,0,0,0,1,-0.005881417,-0.020886272,-0.004975285,0.000016306,-0.000033097,0.000013021,0.999999999,2373,1996,0.841129372,0.013665063,0.002668401,0.002277969,0.119538373,116.296332296,1678,0.976426571,152.784081601,333.185002287,1152.474702744,0.093249511,0.091051300,0,0,0,0,1,0.007418607,0.000270818,0.100000000,0.030000000,0.901577115,0.013665063,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000605,0.000001738,0.000003897,-0.105236465,-0.994430698,0.005733554,0.000000001,0.000000002,0.000000009,-0.005417683,0.012226542,-0.999910576,0.000000000,0.129207529,0.044123885,0.053397915,0.004494832,109.355430536,0,0.103062566,0.100294109,207,201,6,0.087231353,62,0,0,0,0,0,2103,63,5031,10179,2130,0,0,48965
27,1624181092.361795902,1624181092.461874962,32,31,0,0.011548446,0.024501333,1,0,0,0,1,-0.006811929,-0.019593355,-0.004487853,-0.000005332,-0.000066634,0.000015024,0.999999998,2377,1990,0.837189735,0.013309135,0.002607926,0.002263647,0.123158954,111.504804784,1665,0.976675010,154.375141274,336.178036670,1135.610713346,0.094932093,0.092717803,0,0,0,0,1,0.001062733,0.000103907,0.100000000,0.030000000,0.917933444,0.013309135,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000604,0.000001700,0.000003719,-0.093424869,-0.995610621,0.005593300,0.000000001,0.000000002,0.000000008,0.000829543,-0.014427131,0.999895579,0.000000000,0.127727568,0.041333757,0.052427109,0.004173101,110.053510348,0,0.101993153,0.099292587,206,200,6,0.086663862,46,0,0,0,0,0,2124,47,5092,10385,2176,0,0,51089
28,1624181092.461793423,1624181092.561836243,33,32,0,0.012024897,0.025088652,1,0,0,0,1,-0.006593622,-0.023076058,-0.004865475,-0.000006645,-0.000054942,0.000153817,0.999999987,2348,1983,0.844548552,0.013356360,0.002375376,0.002038159,0.117943148,116.504166156,1665,0.977045445,147.538567963,331.683992039,1147.558105728,0.090693583,0.088611753,0,0,0,0,1,0.004856894,0.000302728,0.100000000,0.030000000,0.877034194,0.013356360,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000607,0.000001737,0.000003776,-0.087769954,-0.996099245,0.009095584,0.000000001,0.000000002,0.000000008,-0.001952763,0.005734768,-0.999981649,0.000000000,0.126243947,0.037383104,0.054312407,0.004435309,110.900607311,0,0.100983911,0.098349605,160,157,3,0.068143101,60,0,0,0,0,0,2127,61,5140,10545,2236,0,0,53216
29,1624181092.561790943,1624181092.661748648,34,33,0,0.011019623,0.023274561,1,0,0,0,1,-0.007151081,-0.020439198,-0.005228538,-0.000012945,-0.000066764,0.000033051,0.999999997,2384,2015,0.845218121,0.014077751,0.002873476,0.002414248,0.119665644,114.142813632,1676,0.974955096,156.663240957,331.719994829,1145.641504640,0.095875685,0.093474487,0,0,0,0,1,0.003383019,0.000386043,0.100000000,0.030000000,0.928172817,0.014077751,1,0,0,0,0.000000000,-1.000000000,-1.000000000,0.000000614,0.000001713,0.000003844,-0.086900802,-0.996201823,0.005493422,0.000000001,0.000000002,0.000000008,-0.005613827,0.018036044,-0.999821577,0.000000000,0.124866302,0.036008219,0.049913733,0.004348183,111.543525321,0,0.100264624,0.097675711,193,189,4,0.080956376,47,0,0,0,0,0,2143,48,5198,10738,2283,0,0,55359
