frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,trusted_snapshot_active,trusted_snapshot_points,trusted_snapshot_age,trusted_snapshot_evaluation_ran,trusted_snapshot_icp_converged,trusted_snapshot_aligned_points,trusted_snapshot_matched_points,trusted_snapshot_overlap_ratio,trusted_snapshot_fitness_rmse,trusted_snapshot_correction_translation,trusted_snapshot_correction_rotation,trusted_snapshot_consistency_translation,trusted_snapshot_consistency_rotation,trusted_snapshot_consistent_streak,trusted_snapshot_candidate_accepted,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
11,1624181090.761834860,1624181090.861717939,16,15,0,0.012482532,0.024980185,1,0,0,0,0,-0.008752016,-0.021684278,-0.003520119,0.000013314,-0.000051485,0.000148317,0.999999988,2366,1928,0.814877430,0.015060780,0.003151069,0.002767624,0.140323386,102.431399351,1587,0.971758729,161.282870299,329.672195925,1051.226036896,0.104581018,0.101627518,0,0,0,0,0,0.001640197,0.000230503,0.100000000,0.030000000,0.851494320,0.015060780,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000625,0.000001722,0.000003662,-0.096613651,-0.995286429,0.008409904,0.000000001,0.000000002,0.000000008,-0.005180545,0.015148178,-0.999871839,0.000000000,0.157395413,0.043511277,0.034696516,0.001915174,91.214481838,0,0.122394135,0.118133339,325,318,7,0.137362637,88,0,0,0,0,0,1952,89,4101,6443,1101,0,0,18408
12,1624181090.861832380,1624181090.961721897,17,16,0,0.012873842,0.024093260,1,0,0,0,0,-0.009724869,-0.020646907,-0.004125812,-0.000017499,0.000014835,0.000295827,0.999999956,2352,1912,0.812925170,0.014767119,0.003032230,0.002629480,0.135432850,106.259232180,1592,0.972353582,161.189966555,324.024172128,1062.772764296,0.104128766,0.101249979,0,0,0,0,0,0.004227260,0.000337054,0.100000000,0.030000000,0.872472975,0.014767119,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000630,0.000001744,0.000003731,-0.104915695,-0.994456785,0.006956975,0.000000001,0.000000002,0.000000009,-0.002245564,0.000362191,-0.999997413,0.000000000,0.155565199,0.044397966,0.036242299,0.002210197,92.468211033,0,0.120872021,0.116726392,371,361,10,0.157738095,76,0,0,0,0,0,1905,76,4181,6814,1177,0,0,20313
13,1624181090.961829901,1624181091.061767101,18,17,0,0.013354429,0.027166466,1,0,0,0,0,-0.009956967,-0.022502972,-0.005075477,-0.000020518,-0.000030608,0.000362478,0.999999934,2348,1899,0.808773424,0.014906906,0.003462612,0.002825714,0.136563540,105.193842217,1594,0.973286652,159.626343537,331.509156046,1060.283423350,0.102890548,0.100141997,0,0,0,0,0,0.001398335,0.000161012,0.100000000,0.030000000,0.868158813,0.014906906,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000620,0.000001748,0.000003750,-0.122475184,-0.992449307,0.006648515,0.000000001,0.000000002,0.000000009,-0.005920400,0.015888856,-0.999856236,0.000000000,0.154103533,0.044117807,0.038340086,0.002343501,93.447105739,0,0.119488831,0.115450670,354,346,8,0.150766610,88,0,0,0,0,0,1905,89,4264,7168,1265,0,0,22218
14,1624181091.061827421,1624181091.161813259,19,18,0,0.012797584,0.026389048,1,0,0,0,0,-0.009886790,-0.022261153,-0.005320615,-0.000020557,-0.000048647,0.000220883,0.999999974,2374,1927,0.811710194,0.014460200,0.003505933,0.002891503,0.132399858,106.488591859,1612,0.971910648,161.166269640,335.318316086,1070.235378397,0.102868587,0.099979075,0,0,0,0,0,0.002094911,0.000253970,0.100000000,0.030000000,0.874118625,0.014460200,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000612,0.000001707,0.000003722,-0.112715158,-0.993540118,0.013165396,0.000000001,0.000000002,0.000000009,-0.000571588,0.004743618,-0.999988586,0.000000000,0.152553271,0.046010206,0.038691503,0.002626692,94.378640462,0,0.118301671,0.114345556,300,288,12,0.126368997,89,0,0,0,0,0,1985,89,4353,7468,1354,0,0,24203
15,1624181091.161825180,1624181091.261812449,20,19,0,0.013256795,0.025034932,1,0,0,0,0,-0.008385774,-0.019347137,-0.005540656,-0.000002110,-0.000037338,0.000239441,0.999999971,2373,1923,0.810366625,0.014507488,0.003451232,0.002853883,0.133026858,108.718715492,1613,0.971159045,164.356660901,323.991496117,1078.131383177,0.104921039,0.101895016,0,0,0,0,0,0.004259489,0.000026948,0.100000000,0.030000000,0.920066504,0.014507488,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000608,0.000001732,0.000003655,-0.104714626,-0.994406850,0.013779121,0.000000001,0.000000002,0.000000009,-0.004680601,0.011666913,-0.999920984,0.000000000,0.151251510,0.046974193,0.041976767,0.002663807,95.334645464,0,0.117409629,0.113515520,235,228,7,0.099030763,71,0,0,0,0,0,2067,71,4418,7703,1425,0,0,26270
16,1624181091.261822701,1624181091.361767054,21,20,0,0.012816208,0.025293114,1,0,0,0,0,-0.004276722,-0.018011867,-0.005283180,-0.000008482,-0.000026930,0.000082563,0.999999996,2371,1912,0.806410797,0.014733244,0.003213861,0.002752380,0.133859175,105.632183215,1609,0.972150570,161.874976837,336.217759161,1066.097530610,0.103488035,0.100605952,0,0,0,0,1,0.003746614,0.000339673,0.100000000,0.030000000,0.937475784,0.014733244,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000622,0.000001720,0.000003625,-0.100348765,-0.994816434,0.016443486,0.000000001,0.000000002,0.000000009,-0.001530661,-0.005435834,0.999984054,0.000000000,0.150164489,0.046628325,0.046304993,0.002977562,95.978241574,0,0.116539529,0.112708672,276,270,6,0.116406580,76,0,0,0,0,0,2019,76,4489,7979,1501,0,0,28289
17,1624181091.361820221,1624181091.461771488,22,21,0,0.012550212,0.024473717,1,0,0,0,0,-0.003090477,-0.016922526,-0.004784644,-0.000000619,-0.000008636,0.000101447,0.999999995,2365,1923,0.813107822,0.014013976,0.003030915,0.002556927,0.130302614,109.554009324,1612,0.972969946,162.535965260,335.887755675,1070.003831895,0.103629884,0.100828763,0,0,0,0,1,0.001224558,0.000095608,0.100000000,0.030000000,0.942524247,0.014013976,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000620,0.000001717,0.000003714,-0.105962155,-0.994280181,0.013376984,0.000000001,0.000000002,0.000000009,-0.004365529,0.006208832,-0.999971196,0.000000000,0.148996143,0.049683661,0.047990929,0.003015329,96.776816147,0,0.115780138,0.112009854,224,217,7,0.094714588,72,0,0,0,0,0,2068,73,4562,8203,1573,0,0,30357
18,1624181091.461817741,1624181091.561782360,23,22,0,0.013214105,0.025940849,1,0,0,0,0,-0.003126398,-0.016273767,-0.004398566,-0.000007524,-0.000052397,0.000093427,0.999999994,2332,1926,0.825900515,0.013821248,0.003038248,0.002667250,0.126435019,112.540168631,1633,0.974414505,163.079218746,327.084618321,1101.055048812,0.102486980,0.099864800,0,0,0,0,1,0.002017394,0.000097009,0.100000000,0.030000000,0.935881362,0.013821248,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000605,0.000001734,0.000003806,-0.102539826,-0.994645420,0.012886880,0.000000001,0.000000002,0.000000009,-0.003316157,0.014009630,-0.999896361,0.000000000,0.147742748,0.053030289,0.048746730,0.003031369,97.652557952,0,0.115041629,0.111335128,255,252,3,0.109348199,77,0,0,0,0,0,2000,77,4612,8458,1650,0,0,32357
19,1624181091.561815262,1624181091.661733627,24,23,0,0.012514096,0.025465598,1,0,0,0,0,-0.005462153,-0.017668318,-0.004383280,-0.000008060,-0.000048413,0.000282568,0.999999959,2338,1930,0.825491873,0.014174405,0.002984289,0.002663461,0.129100384,110.564625273,1640,0.974721303,165.968683653,332.783915169,1099.790337484,0.103824977,0.101200417,0,0,0,0,1,0.004222544,0.000392921,0.100000000,0.030000000,0.951151459,0.014174405,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000610,0.000001719,0.000003710,-0.097349070,-0.995185896,0.011322145,0.000000001,0.000000002,0.000000008,-0.002955013,0.012500078,-0.999917505,0.000000000,0.146761570,0.053789661,0.051467163,0.003409651,98.332140442,0,0.114451279,0.110801723,231,226,5,0.098802395,76,0,0,0,0,0,2031,76,4665,8689,1726,0,0,34388
20,1624181091.661813021,1624181091.761733532,25,24,0,0.012655235,0.024768406,1,0,0,0,1,-0.006482011,-0.018671128,-0.004909731,-0.000021148,-0.000017982,0.000184317,0.999999983,2330,1925,0.826180258,0.014917072,0.003048779,0.002502040,0.124306742,112.188056263,1622,0.975349776,156.004069304,326.707737347,1099.305529281,0.098610847,0.096180067,0,0,0,0,1,0.001482234,0.000192121,0.100000000,0.030000000,0.906301621,0.014917072,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000613,0.000001692,0.000003767,-0.103971879,-0.994468193,0.014928517,0.000000001,0.000000002,0.000000008,-0.002651068,0.007952697,-0.999964863,0.000000000,0.145638829,0.052530412,0.052991265,0.003606154,99.024936233,0,0.113659258,0.110070640,179,175,4,0.076824034,56,0,0,0,0,0,2094,57,4713,8868,1782,0,0,36482
21,1624181091.761810541,1624181091.861697197,26,25,0,0.012109715,0.024465265,1,0,0,0,1,-0.006626367,-0.019907094,-0.005553336,-0.000006589,-0.000032160,0.000106745,0.999999994,2351,1948,0.828583581,0.013764269,0.003001197,0.002552781,0.130189848,110.482157917,1635,0.973630941,158.373814121,331.262926316,1102.249847281,0.099488126,0.096864718,0,0,0,0,1,0.001297758,0.000190119,0.100000000,0.030000000,0.930984057,0.013764269,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000611,0.000001689,0.000003689,-0.098489172,-0.995027899,0.014810912,0.000000001,0.000000002,0.000000008,-0.002979568,0.008764118,-0.999957155,0.000000000,0.143542005,0.055880723,0.046877598,0.003681773,101.197591521,0,0.111051595,0.107699640,213,210,3,0.090599745,57,0,0,0,0,0,2080,58,4759,9081,1839,0,0,38562
22,1624181091.861808062,1624181091.961688757,27,26,0,0.011818097,0.024127153,1,0,0,0,1,-0.004830213,-0.025945754,-0.005291247,-0.000012900,-0.000063704,0.000176872,0.999999982,2372,1959,0.825885329,0.013843340,0.003398699,0.002676202,0.130715237,108.108279624,1651,0.974111135,163.471937582,330.272926720,1114.512620091,0.101645377,0.099013893,0,0,0,0,1,0.005942622,0.000187201,0.100000000,0.030000000,0.968779737,0.013843340,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000609,0.000001698,0.000003572,-0.097887800,-0.995102205,0.013768786,0.000000001,0.000000002,0.000000008,0.001950809,-0.014903183,0.999887038,0.000000000,0.140689272,0.055478454,0.050413575,0.003615273,102.939554740,0,0.109069402,0.105861296,253,245,8,0.106661046,55,0,0,0,0,0,2064,55,4828,9334,1894,0,0,40626
23,1624181091.961805582,1624181092.061677694,28,27,0,0.013632538,0.026307695,1,0,0,0,1,-0.005595171,-0.026686231,-0.004962388,0.000016432,-0.000041884,0.000132899,0.999999990,2350,1952,0.830638298,0.014341835,0.002906332,0.002462296,0.127768814,106.724073347,1642,0.974033031,155.201070400,336.960916098,1107.200250312,0.097039349,0.094519531,0,0,0,0,1,0.002640930,0.000107256,0.100000000,0.030000000,0.926380870,0.014341835,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000613,0.000001672,0.000003563,-0.091595707,-0.995666834,0.016055568,0.000000001,0.000000002,0.000000008,-0.002979668,0.014198691,-0.999894754,0.000000000,0.138960168,0.054494758,0.045630313,0.003601842,103.977039404,0,0.107413931,0.104324101,215,209,6,0.091489362,68,0,0,0,0,0,2066,69,4888,9549,1962,0,0,42692
24,1624181092.061803102,1624181092.161735296,29,28,0,0.012538492,0.024325983,1,0,0,0,1,-0.005877639,-0.026247054,-0.004751658,-0.000004527,-0.000072567,-0.000005714,0.999999997,2346,1949,0.830775789,0.014248558,0.003181458,0.002524398,0.128020894,108.192345091,1663,0.975859201,159.906431122,330.365631383,1132.581788940,0.098534092,0.096155401,0,0,0,0,1,0.002528701,0.000326843,0.100000000,0.030000000,0.942179506,0.014248558,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000607,0.000001693,0.000003541,-0.094156075,-0.995415365,0.016819165,0.000000001,0.000000002,0.000000008,-0.000021175,0.015473639,-0.999880276,0.000000000,0.136712897,0.050000605,0.044214230,0.003506988,104.986769364,0,0.106008289,0.103034260,257,256,1,0.109548167,67,0,0,0,0,0,2022,67,4928,9806,2029,0,0,44714
25,1624181092.161800861,1624181092.261734962,30,29,0,0.013360211,0.025365569,1,0,0,0,1,-0.006727712,-0.028712280,-0.004361517,0.000011366,-0.000036001,0.000112934,0.999999993,2359,1974,0.836795252,0.013678573,0.002864381,0.002451340,0.125889359,111.443968052,1660,0.974555401,158.582551016,332.890284830,1126.289130608,0.098025887,0.095531657,0,0,0,0,1,0.001562546,0.000299374,0.100000000,0.030000000,0.939351135,0.013678573,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000589,0.000001673,0.000003555,-0.094090857,-0.995461284,0.014273845,0.000000001,0.000000002,0.000000009,-0.003541860,0.006562048,-0.999972197,0.000000000,0.134792149,0.043984535,0.045302230,0.003545961,106.114389866,0,0.104594976,0.101710840,195,186,9,0.082662145,72,0,0,0,0,0,2092,72,4975,10001,2101,0,0,46806
26,1624181092.261798382,1624181092.361763716,31,30,0,0.013096681,0.024463966,1,0,0,0,1,-0.006211561,-0.026111536,-0.004238453,0.000019817,-0.000020821,0.000077146,0.999999997,2373,1995,0.840707965,0.013743673,0.002831730,0.002442563,0.124513632,112.936938796,1678,0.976050355,156.397616933,333.703277710,1147.711600983,0.095491772,0.093204778,0,0,0,0,1,0.004413514,0.000092779,0.100000000,0.030000000,0.917054672,0.013743673,0,0,-1.000000000,0,0,0,0,0.000000000,-1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0,0,0.000000591,0.000001665,0.000003571,-0.093097259,-0.995571336,0.013062006,0.000000001,0.000000002,0.000000008,-0.003329592,0.009788780,-0.999946545,0.000000000,0.133206151,0.038187913,0.046432073,0.003434615,107.136516696,0,0.103402115,0.100592983,197,192,5,0.083017278,63,0,0,0,0,0,2112,64,5025,10198,2164,0,0,48918
