sequence,method,source,sha256,manifest_hash_match,rows,first_stamp,last_stamp,max_gap_s,raw_status,adaptive_map_values,window_ready_values,runtime_source_revision,run_metadata_files
geode_tunnel4,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_no_adaptive_blind2/run01/runtime.csv,f0420afb6dda3095a50974a9d8352fcd00e9c9e40e558145a337069d9770e33d,True,2218,1706585245.6828723,1706585467.3825817,0.10289812088012695,available,0,0,not captured at run time; do not infer from current HEAD,
geode_tunnel4,ours_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel4/ours_adaptive_blind2/run02/runtime.csv,2cfee89c3adb20b4fd8da5d544e0be01fe346cddfeb8efe5aecc75adf45ad4d2,True,2218,1706585245.6828723,1706585467.3825817,0.10289812088012695,available,1,0;1,not captured at run time; do not infer from current HEAD,
geode_tunnel5,fastlio2,experiments/adaptive_map_v1/validation/geode_tunnel5/fastlio2_blind2/run01/runtime.csv,ce18abbe8c35e893bd75ef0ed812d55d763056a0e2cd02905821355282ee741d,True,2316,1706585906.2723124,1706586137.7729132,0.10528683662414551,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_tunnel5,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_no_adaptive_blind2/run01/runtime.csv,13c7a1bbac2ff09333202f69ce4c7da32587e5fb4de15897f5e29d831c1f7109,True,2299,1706585907.9729064,1706586137.7729132,0.10528683662414551,available,0,0,not captured at run time; do not infer from current HEAD,
geode_tunnel5,ours_adaptive,experiments/adaptive_map_v1/validation/geode_tunnel5/ours_adaptive_blind2/run02/runtime.csv,,False,0,,,,missing,not_logged,not_logged,unknown,
geode_waterway_short,fastlio2,experiments/adaptive_map_v1/validation/geode_waterway_short/fastlio2/run01/runtime.csv,aa8d61a6387084115870c4352dd34cf052b117a68b17f0cfbc597f142553e60b,True,4750,1706079742.9034562,1706080217.8038347,0.1213676929473877,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_waterway_short,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_no_adaptive/run01/runtime.csv,569c5a51417992557f7ca57799b2409141d2e23f1c10862fdc5ed31d524fa592,True,4733,1706079744.6026907,1706080217.8038347,0.1213676929473877,available,0,0,not captured at run time; do not infer from current HEAD,
geode_waterway_short,ours_adaptive,experiments/adaptive_map_v1/validation/geode_waterway_short/ours_adaptive/run01/runtime.csv,01b5966e100167f1de7de602002f2e04afce87fc9ec2a83f73c10b25876df85c,True,4733,1706079744.6026907,1706080217.8038347,0.1213676929473877,available,1,0;1,not captured at run time; do not infer from current HEAD,
geode_waterway_medium,fastlio2,experiments/adaptive_map_v1/validation/geode_waterway_medium/fastlio2/run01/runtime.csv,60120e4aa5f5e0fa8c2af3167afe4195f87aa06c0dad9765dae25f9f169d8a92,True,8376,1706080520.841806,1706081358.3427882,0.12134075164794922,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
geode_waterway_medium,ours_no_adaptive,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_no_adaptive/run01/runtime.csv,e5802caacd9b6e5af7af29c386ff82534a4c93324bb7230bb6188feca17e6582,True,8360,1706080522.540052,1706081358.4447622,0.12134075164794922,available,0,0,not captured at run time; do not infer from current HEAD,
geode_waterway_medium,ours_adaptive,experiments/adaptive_map_v1/validation/geode_waterway_medium/ours_adaptive/run01/runtime.csv,69f1a63c8cc772fe5f1eb0d60e2ff280edbdb38affccc0d4f78be663747a55c2,True,8359,1706080522.540052,1706081358.4447622,0.19734716415405273,available,1,0;1,not captured at run time; do not infer from current HEAD,
ntu_spms1,fastlio2,experiments/adaptive_map_v1/validation/ntu_spms1/fastlio2/run01/runtime.csv,40746a21db721845bba890074a9ef45c36d2a321767e37d71f8ece23b55b8482,True,3906,1624180454.5951178,1624180872.2856286,0.4031493663787842,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
ntu_spms1,ours_no_adaptive,experiments/adaptive_map_v1/validation/ntu_spms1/ours_no_adaptive/run01/runtime.csv,fdde7713e7e7cc74c4b616e430a5cc6f0f6501b45369d900fe698948a1d6712b,True,3617,1624180454.7105725,1624180872.3032663,0.7002205848693848,available,0,0,not captured at run time; do not infer from current HEAD,notes.md
ntu_spms1,ours_adaptive,experiments/adaptive_map_v1/validation/ntu_spms1/ours_adaptive/run01/runtime.csv,a9d1d360f8375b0980c43a59e9142123e4eb423dd6067ee77a1e6f448bbf9ee2,True,3933,1624180454.7105725,1624180872.3032663,0.3007032871246338,available,1,0;1,not captured at run time; do not infer from current HEAD,
ntu_spms2,fastlio2,experiments/adaptive_map_v1/validation/ntu_spms2/fastlio2/run01/runtime.csv,0a1b319aa40949cd585d9a53de6282cf2ebdc5af1644731027babfe499f30ba2,True,3403,1624181089.7459636,1624181454.5356164,0.5227625370025635,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
ntu_spms2,ours_no_adaptive,experiments/adaptive_map_v1/validation/ntu_spms2/ours_no_adaptive/run01/runtime.csv,32505f6c9335fe22b3fbd55b15212eeae10b046e7e6e0fe079a6d1a1188e2255,True,3523,1624181089.861757,1624181454.452959,0.30025482177734375,available,0,0,not captured at run time; do not infer from current HEAD,
ntu_spms2,ours_adaptive,experiments/adaptive_map_v1/validation/ntu_spms2/ours_adaptive/run01/runtime.csv,b0c762a393cad582e792b7b034d1d3bc1d79d5bcd2b3a0e9178d72a08015aaa4,True,3494,1624181089.861757,1624181454.452959,0.30005693435668945,available,1,0;1,not captured at run time; do not infer from current HEAD,
ntu_spms3,fastlio2,experiments/adaptive_map_v1/validation/ntu_spms3/fastlio2/run01/runtime.csv,ba9018a1fb88cdfaebd3498992f6b828dbee39f89cf3c635e9a111fb0dcbe5f5,True,3541,1624182042.6159732,1624182423.9077206,0.5237057209014893,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
ntu_spms3,ours_no_adaptive,experiments/adaptive_map_v1/validation/ntu_spms3/ours_no_adaptive/run01/runtime.csv,2c28014fd7bb1c9ff3aa42a8afa21b019476acb61fe0135682bbdf3be3361f46,True,3611,1624182042.7317038,1624182423.9215488,0.5000090599060059,available,0,0,not captured at run time; do not infer from current HEAD,
ntu_spms3,ours_adaptive,experiments/adaptive_map_v1/validation/ntu_spms3/ours_adaptive/run01/runtime.csv,5262b4a03e769829bb56d669d0ca4892ab076ec4fea784cf916d1c5fd1a3c824,True,3652,1624182042.7317038,1624182423.9215488,0.2999868392944336,available,1,0;1,not captured at run time; do not infer from current HEAD,
subt_hawkins,fastlio2,experiments/adaptive_map_v1/validation/subt_hawkins/fastlio2/run01/runtime.csv,92abdf6036d5dc273510792320c86ff179047e40e5cfa6c8ec00ea737b04984e,True,2288,1517157220.6009386,1517157498.9576292,1.1093978881835938,available,not_logged,not_logged,not captured at run time; do not infer from current HEAD,
subt_hawkins,ours_no_adaptive,experiments/adaptive_map_v1/validation/subt_hawkins/ours_no_adaptive/run01/runtime.csv,5c86db138e76131b61d63f96a2003373c897dd9ce6c5047319092c0037f6b76c,True,2540,1517157221.2060382,1517157499.1592872,0.403439998626709,available,0,0,not captured at run time; do not infer from current HEAD,
subt_hawkins,ours_adaptive,experiments/adaptive_map_v1/validation/subt_hawkins/ours_adaptive/run01/runtime.csv,459443bc983920f5b81c4781828ee1c3f905d430bfdfb537adea404ab4760ede,True,2526,1517157221.2060382,1517157499.1592872,0.40338706970214844,available,1,0;1,not captured at run time; do not infer from current HEAD,
